product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/05/319/001	Xolair	EU/1/05/319/001	25-OCT-05	EMEA/H/C/000606	75 mg	Powder and solvent for solution for injection	75 mg	Glass vial and ampoule, N1	1
EU/1/05/319/002	Xolair	EU/1/05/319/002	25-OCT-05	EMEA/H/C/000606	150 mg	Powder and solvent for solution for injection	150 mg	Glass vial and ampoule, N1	1
EU/1/05/319/003	Xolair	EU/1/05/319/003	24-APR-06	EMEA/H/C/000606	150 mg	Powder and solvent for solution for injection	150 mg	Glass vial and ampoule, N4	4
EU/1/05/319/004	Xolair	EU/1/05/319/004	24-APR-06	EMEA/H/C/000606	150 mg	Powder and solvent for solution for injection	150 mg	Glass vial and ampoule, N10	10
EU/1/05/319/005	Xolair	EU/1/05/319/005	10-FEB-09	EMEA/H/C/000606	75 mg	Solution for injection	75 mg/0,5 ml	Glass pre-filled syringe, N1	1
EU/1/05/319/006	Xolair	EU/1/05/319/006	10-FEB-09	EMEA/H/C/000606	75 mg	Solution for injection	75 mg/0,5 ml	Box, Glass pre-filled syringe, N4	4
EU/1/05/319/007	Xolair	EU/1/05/319/007	10-FEB-09	EMEA/H/C/000606	75 mg	Solution for injection	75 mg/0,5 ml	Box, Glass pre-filled syringe, N10	10
EU/1/05/319/008	Xolair	EU/1/05/319/008	10-FEB-09	EMEA/H/C/000606	150 mg	Solution for injection	150 mg/1 ml	Glass pre-filled syringe, N1	1
EU/1/05/319/009	Xolair	EU/1/05/319/009	10-FEB-09	EMEA/H/C/000606	150 mg	Solution for injection	150 mg/1 ml	Box, Glass pre-filled syringe, N4	4
EU/1/05/319/010	Xolair	EU/1/05/319/010	10-FEB-09	EMEA/H/C/000606	150 mg	Solution for injection	150 mg/1 ml	Box, Glass pre-filled syringe, N10	10
EU/1/05/319/011	Xolair	EU/1/05/319/011	25-OCT-05	EMEA/H/C/000606	150 mg	Solution for injection	150 mg/1 ml	Glass pre-filled syringe, N6	6
EU/1/05/319/012	Xolair	EU/1/05/319/012	25-OCT-05	EMEA/H/C/000606	300 mg	Solution for injection	300 mg/2 ml	Glass pre-filled syringe, N1	1
EU/1/05/319/013	Xolair	EU/1/05/319/013	25-OCT-05	EMEA/H/C/000606	300 mg	Solution for injection	300 mg/2 ml	Glass pre-filled syringe, N3	3
EU/1/05/319/014	Xolair	EU/1/05/319/014	25-OCT-05	EMEA/H/C/000606	300 mg	Solution for injection	300 mg/2 ml	Glass pre-filled syringe, N6	6
EU/1/05/319/015	Xolair	EU/1/05/319/015	25-OCT-05	EMEA/H/C/000606	300 mg	Solution for injection	300 mg/2 ml	Glass pre-filled pen, N1	1
EU/1/05/319/016	Xolair	EU/1/05/319/016	25-OCT-05	EMEA/H/C/000606	300 mg	Solution for injection	300 mg/2 ml	Glass pre-filled pen, N3	3
EU/1/05/319/017	Xolair	EU/1/05/319/017	25-OCT-05	EMEA/H/C/000606	300 mg	Solution for injection	300 mg/2 ml	Glass pre-filled pen, N6	6
EU/1/05/319/018	Xolair	EU/1/05/319/018	25-OCT-05	EMEA/H/C/000606	75 mg	Solution for injection	75 mg/0,5 ml	Glass pre-filled syringe, N1	1
EU/1/05/319/019	Xolair	EU/1/05/319/019	25-OCT-05	EMEA/H/C/000606	75 mg	Solution for injection	75 mg/0,5 ml	Glass pre-filled syringe, N3	3
EU/1/05/319/020	Xolair	EU/1/05/319/020	25-OCT-05	EMEA/H/C/000606	75 mg	Solution for injection	75 mg/0,5 ml	Glass pre-filled syringe, N6	6
EU/1/05/319/021	Xolair	EU/1/05/319/021	25-OCT-05	EMEA/H/C/000606	75 mg	Solution for injection	75 mg/0,5 ml	Glass pre-filled pen, N1	1
EU/1/05/319/022	Xolair	EU/1/05/319/022	25-OCT-05	EMEA/H/C/000606	75 mg	Solution for injection	75 mg/0,5 ml	Glass pre-filled pen, N3	3
EU/1/05/319/023	Xolair	EU/1/05/319/023	25-OCT-05	EMEA/H/C/000606	75 mg	Solution for injection	75 mg/0,5 ml	Glass pre-filled pen, N6	6
EU/1/05/319/024	Xolair	EU/1/05/319/024	25-OCT-05	EMEA/H/C/000606	150 mg	Solution for injection	150 mg/1 ml	Glass pre-filled syringe, N1	1
EU/1/05/319/025	Xolair	EU/1/05/319/025	25-OCT-05	EMEA/H/C/000606	150 mg	Solution for injection	150 mg/1 ml	Glass pre-filled syringe, N3	3
EU/1/05/319/026	Xolair	EU/1/05/319/026	25-OCT-05	EMEA/H/C/000606	150 mg	Solution for injection	150 mg/1 ml	Glass pre-filled syringe, N6	6
EU/1/05/319/027	Xolair	EU/1/05/319/027	25-OCT-05	EMEA/H/C/000606	150 mg	Solution for injection	150 mg/1 ml	Glass pre-filled pen, N1	1
EU/1/05/319/028	Xolair	EU/1/05/319/028	25-OCT-05	EMEA/H/C/000606	150 mg	Solution for injection	150 mg/1 ml	Glass pre-filled pen, N3	3
EU/1/05/319/029	Xolair	EU/1/05/319/029	25-OCT-05	EMEA/H/C/000606	150 mg	Solution for injection	150 mg/1 ml	Glass pre-filled pen, N6	6
