product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
23-0076-01	19070869	ondansetron 2 MG/ML Injectable Solution	283504				
23-0076-02	19070869	ondansetron 2 MG/ML Injectable Solution	283504				
23-0076-03	19070869	ondansetron 2 MG/ML Injectable Solution	283504				
23-0076-04	19070869	ondansetron 2 MG/ML Injectable Solution	283504				
23-0075-01							
23-0075-02							
23-0075-03							
23-0075-04							
23-0075-05							
23-0075-06							
23-0075-07							
23-0075-08							
