product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
98-0356-01	Panadol 500 mg film-coated tablets	98-0356	16-JUN-98	98-0356	500 mg	Film-coated tablet	500 mg	PVC/Al blister, N4	4
98-0356-02	Panadol 500 mg film-coated tablets	98-0356	16-JUN-98	98-0356	500 mg	Film-coated tablet	500 mg	PVC/Al blister, N6	6
98-0356-03	Panadol 500 mg film-coated tablets	98-0356	16-JUN-98	98-0356	500 mg	Film-coated tablet	500 mg	PVC/Al blister, N12	12
98-0356-04	Panadol 500 mg film-coated tablets	98-0356	16-JUN-98	98-0356	500 mg	Film-coated tablet	500 mg	PVC/Al blister, N24	24
98-0356-05	Panadol 500 mg film-coated tablets	98-0356	16-JUN-98	98-0356	500 mg	Film-coated tablet	500 mg	PVC/Al blister, N30	30
98-0356-06	Panadol 500 mg film-coated tablets	98-0356	16-JUN-98	98-0356	500 mg	Film-coated tablet	500 mg	PVC/Al blister, N48	48
98-0356-07	Panadol 500 mg film-coated tablets	98-0356	16-JUN-98	98-0356	500 mg	Film-coated tablet	500 mg	PVC/Al blister, N50	50
98-0356-08	Panadol 500 mg film-coated tablets	98-0356	16-JUN-98	98-0356	500 mg	Film-coated tablet	500 mg	PVC/Al blister, N60	60
98-0356-09	Panadol 500 mg film-coated tablets	98-0356	16-JUN-98	98-0356	500 mg	Film-coated tablet	500 mg	PVC/Al blister, N96	96
98-0356-10	Panadol 500 mg film-coated tablets	98-0356	16-JUN-98	98-0356	500 mg	Film-coated tablet	500 mg	PVC/Al blister, N100	100
98-0356-11	Panadol 500 mg film-coated tablets	98-0356	16-JUN-98	98-0356	500 mg	Film-coated tablet	500 mg	PVC/Al blister, N64	64
98-0356-12	Panadol 500 mg film-coated tablets	98-0356	16-JUN-98	98-0356	500 mg	Film-coated tablet	500 mg	PVC/Al blister, N20	20
98-0356-13	Panadol 500 mg film-coated tablets	98-0356	16-JUN-98	98-0356	500 mg	Film-coated tablet	500 mg	PVC/Al blister, N10	10
98-0356-14	Panadol 500 mg film-coated tablets	98-0356	16-JUN-98	98-0356	500 mg	Film-coated tablet	500 mg	PVC/Al blister, N8	8
98-0699-01	Panadol 24 mg/ml oral suspension	98-0699	11-NOV-98	98-0699	24 mg/ml	Oral suspension	2400 mg/100 ml	Carton box, Glass bottle, N1	1
