product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
05-0263-01	21041304	Perindopril 5 MG Oral Tablet	OMOP331762	EXACT			2026-04-07
05-0263-02	21041304	Perindopril 5 MG Oral Tablet	OMOP331762	EXACT			2026-04-07
05-0263-03	21041304	Perindopril 5 MG Oral Tablet	OMOP331762	EXACT			2026-04-07
05-0263-04	21041304	Perindopril 5 MG Oral Tablet	OMOP331762	EXACT			2026-04-07
05-0263-05	21041304	Perindopril 5 MG Oral Tablet	OMOP331762	EXACT			2026-04-07
05-0263-06	21041304	Perindopril 5 MG Oral Tablet	OMOP331762	EXACT			2026-04-07
05-0263-07	21041304	Perindopril 5 MG Oral Tablet	OMOP331762	EXACT			2026-04-07
05-0263-08	21041304	Perindopril 5 MG Oral Tablet	OMOP331762	EXACT			2026-04-07
05-0263-09	21041304	Perindopril 5 MG Oral Tablet	OMOP331762	EXACT			2026-04-07
05-0263-10	21041304	Perindopril 5 MG Oral Tablet	OMOP331762	EXACT			2026-04-07
05-0263-11	21041304	Perindopril 5 MG Oral Tablet	OMOP331762	EXACT			2026-04-07
05-0263-12	21041304	Perindopril 5 MG Oral Tablet	OMOP331762	EXACT			2026-04-07
05-0263-13	21041304	Perindopril 5 MG Oral Tablet	OMOP331762	EXACT			2026-04-07
05-0264-01	21056210	Perindopril 10 MG Oral Tablet	OMOP265884	EXACT			2026-04-07
05-0264-02	21056210	Perindopril 10 MG Oral Tablet	OMOP265884	EXACT			2026-04-07
05-0264-03	21056210	Perindopril 10 MG Oral Tablet	OMOP265884	EXACT			2026-04-07
05-0264-04	21056210	Perindopril 10 MG Oral Tablet	OMOP265884	EXACT			2026-04-07
05-0264-05	21056210	Perindopril 10 MG Oral Tablet	OMOP265884	EXACT			2026-04-07
05-0264-06	21056210	Perindopril 10 MG Oral Tablet	OMOP265884	EXACT			2026-04-07
05-0264-07	21056210	Perindopril 10 MG Oral Tablet	OMOP265884	EXACT			2026-04-07
05-0264-08	21056210	Perindopril 10 MG Oral Tablet	OMOP265884	EXACT			2026-04-07
05-0264-09	21056210	Perindopril 10 MG Oral Tablet	OMOP265884	EXACT			2026-04-07
