product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/24/1831/001	Pomalidomide Accord	EU/1/24/1831/001	26-JUL-24	EMEA/H/C/006273	1 mg	Capsule, hard	1 mg	OPA/Al/PVC/Al blister, N7	7
EU/1/24/1831/002	Pomalidomide Accord	EU/1/24/1831/002	26-JUL-24	EMEA/H/C/006273	1 mg	Capsule, hard	1 mg	OPA/Al/PVC/Al blister, N14	14
EU/1/24/1831/003	Pomalidomide Accord	EU/1/24/1831/003	26-JUL-24	EMEA/H/C/006273	1 mg	Capsule, hard	1 mg	OPA/Al/PVC/Al blister, N21	21
EU/1/24/1831/004	Pomalidomide Accord	EU/1/24/1831/004	26-JUL-24	EMEA/H/C/006273	1 mg	Capsule, hard	1 mg	OPA/Al/PVC/Al blister, N7	7
EU/1/24/1831/005	Pomalidomide Accord	EU/1/24/1831/005	26-JUL-24	EMEA/H/C/006273	1 mg	Capsule, hard	1 mg	OPA/Al/PVC/Al blister, N14	14
EU/1/24/1831/006	Pomalidomide Accord	EU/1/24/1831/006	26-JUL-24	EMEA/H/C/006273	1 mg	Capsule, hard	1 mg	OPA/Al/PVC/Al blister, N21	21
EU/1/24/1831/007	Pomalidomide Accord	EU/1/24/1831/007	26-JUL-24	EMEA/H/C/006273	2 mg	Capsule, hard	2 mg	OPA/Al/PVC/Al blister, N7	7
EU/1/24/1831/008	Pomalidomide Accord	EU/1/24/1831/008	26-JUL-24	EMEA/H/C/006273	2 mg	Capsule, hard	2 mg	OPA/Al/PVC/Al blister, N14	14
EU/1/24/1831/009	Pomalidomide Accord	EU/1/24/1831/009	26-JUL-24	EMEA/H/C/006273	2 mg	Capsule, hard	2 mg	OPA/Al/PVC/Al blister, N21	21
EU/1/24/1831/010	Pomalidomide Accord	EU/1/24/1831/010	26-JUL-24	EMEA/H/C/006273	2 mg	Capsule, hard	2 mg	OPA/Al/PVC/Al blister, N7	7
EU/1/24/1831/011	Pomalidomide Accord	EU/1/24/1831/011	26-JUL-24	EMEA/H/C/006273	2 mg	Capsule, hard	2 mg	OPA/Al/PVC/Al blister, N14	14
EU/1/24/1831/012	Pomalidomide Accord	EU/1/24/1831/012	26-JUL-24	EMEA/H/C/006273	2 mg	Capsule, hard	2 mg	OPA/Al/PVC/Al blister, N21	21
EU/1/24/1831/013	Pomalidomide Accord	EU/1/24/1831/013	26-JUL-24	EMEA/H/C/006273	3 mg	Capsule, hard	3 mg	OPA/Al/PVC/Al blister, N7	7
EU/1/24/1831/014	Pomalidomide Accord	EU/1/24/1831/014	26-JUL-24	EMEA/H/C/006273	3 mg	Capsule, hard	3 mg	OPA/Al/PVC/Al blister, N14	14
EU/1/24/1831/015	Pomalidomide Accord	EU/1/24/1831/015	26-JUL-24	EMEA/H/C/006273	3 mg	Capsule, hard	3 mg	OPA/Al/PVC/Al blister, N21	21
EU/1/24/1831/016	Pomalidomide Accord	EU/1/24/1831/016	26-JUL-24	EMEA/H/C/006273	3 mg	Capsule, hard	3 mg	OPA/Al/PVC/Al blister, N7	7
EU/1/24/1831/017	Pomalidomide Accord	EU/1/24/1831/017	26-JUL-24	EMEA/H/C/006273	3 mg	Capsule, hard	3 mg	OPA/Al/PVC/Al blister, N14	14
EU/1/24/1831/018	Pomalidomide Accord	EU/1/24/1831/018	26-JUL-24	EMEA/H/C/006273	3 mg	Capsule, hard	3 mg	OPA/Al/PVC/Al blister, N21	21
EU/1/24/1831/019	Pomalidomide Accord	EU/1/24/1831/019	26-JUL-24	EMEA/H/C/006273	4 mg	Capsule, hard	4 mg	OPA/Al/PVC/Al blister, N7	7
EU/1/24/1831/020	Pomalidomide Accord	EU/1/24/1831/020	26-JUL-24	EMEA/H/C/006273	4 mg	Capsule, hard	4 mg	OPA/Al/PVC/Al blister, N14	14
EU/1/24/1831/021	Pomalidomide Accord	EU/1/24/1831/021	26-JUL-24	EMEA/H/C/006273	4 mg	Capsule, hard	4 mg	OPA/Al/PVC/Al blister, N21	21
EU/1/24/1831/022	Pomalidomide Accord	EU/1/24/1831/022	26-JUL-24	EMEA/H/C/006273	4 mg	Capsule, hard	4 mg	OPA/Al/PVC/Al blister, N7	7
EU/1/24/1831/023	Pomalidomide Accord	EU/1/24/1831/023	26-JUL-24	EMEA/H/C/006273	4 mg	Capsule, hard	4 mg	OPA/Al/PVC/Al blister, N14	14
EU/1/24/1831/024	Pomalidomide Accord	EU/1/24/1831/024	26-JUL-24	EMEA/H/C/006273	4 mg	Capsule, hard	4 mg	OPA/Al/PVC/Al blister, N21	21
