product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
24-0315-01	43014239	pomalidomide 1 MG Oral Capsule	1369718	EXACT			2026-04-07
24-0315-02	43014239	pomalidomide 1 MG Oral Capsule	1369718	EXACT			2026-04-07
24-0315-03	43014239	pomalidomide 1 MG Oral Capsule	1369718	EXACT			2026-04-07
24-0315-04	43014239	pomalidomide 1 MG Oral Capsule	1369718	EXACT			2026-04-07
24-0316-01	43014243	pomalidomide 2 MG Oral Capsule	1369726	EXACT			2026-04-07
24-0316-02	43014243	pomalidomide 2 MG Oral Capsule	1369726	EXACT			2026-04-07
24-0316-03	43014243	pomalidomide 2 MG Oral Capsule	1369726	EXACT			2026-04-07
24-0316-04	43014243	pomalidomide 2 MG Oral Capsule	1369726	EXACT			2026-04-07
24-0317-01	43014247	pomalidomide 3 MG Oral Capsule	1369730	EXACT			2026-04-07
24-0317-02	43014247	pomalidomide 3 MG Oral Capsule	1369730	EXACT			2026-04-07
24-0317-03	43014247	pomalidomide 3 MG Oral Capsule	1369730	EXACT			2026-04-07
24-0317-04	43014247	pomalidomide 3 MG Oral Capsule	1369730	EXACT			2026-04-07
24-0318-01	43014251	pomalidomide 4 MG Oral Capsule	1369734	EXACT			2026-04-07
24-0318-02	43014251	pomalidomide 4 MG Oral Capsule	1369734	EXACT			2026-04-07
24-0318-03	43014251	pomalidomide 4 MG Oral Capsule	1369734	EXACT			2026-04-07
24-0318-04	43014251	pomalidomide 4 MG Oral Capsule	1369734	EXACT			2026-04-07
