product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
24-0214-01	43014239	pomalidomide 1 MG Oral Capsule	1369718				
24-0214-02	43014239	pomalidomide 1 MG Oral Capsule	1369718				
24-0214-03	43014239	pomalidomide 1 MG Oral Capsule	1369718				
24-0214-04	43014239	pomalidomide 1 MG Oral Capsule	1369718				
24-0214-05	43014239	pomalidomide 1 MG Oral Capsule	1369718				
24-0214-06	43014239	pomalidomide 1 MG Oral Capsule	1369718				
24-0215-01	43014243	pomalidomide 2 MG Oral Capsule	1369726				
24-0215-02	43014243	pomalidomide 2 MG Oral Capsule	1369726				
24-0215-03	43014243	pomalidomide 2 MG Oral Capsule	1369726				
24-0215-04	43014243	pomalidomide 2 MG Oral Capsule	1369726				
24-0215-05	43014243	pomalidomide 2 MG Oral Capsule	1369726				
24-0215-06	43014243	pomalidomide 2 MG Oral Capsule	1369726				
24-0216-01	43014247	pomalidomide 3 MG Oral Capsule	1369730				
24-0216-02	43014247	pomalidomide 3 MG Oral Capsule	1369730				
24-0216-03	43014247	pomalidomide 3 MG Oral Capsule	1369730				
24-0216-04	43014247	pomalidomide 3 MG Oral Capsule	1369730				
24-0216-05	43014247	pomalidomide 3 MG Oral Capsule	1369730				
24-0216-06	43014247	pomalidomide 3 MG Oral Capsule	1369730				
24-0217-01	43014251	pomalidomide 4 MG Oral Capsule	1369734				
24-0217-02	43014251	pomalidomide 4 MG Oral Capsule	1369734				
24-0217-03	43014251	pomalidomide 4 MG Oral Capsule	1369734				
24-0217-04	43014251	pomalidomide 4 MG Oral Capsule	1369734				
24-0217-05	43014251	pomalidomide 4 MG Oral Capsule	1369734				
24-0217-06	43014251	pomalidomide 4 MG Oral Capsule	1369734				
