product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
15-0190-01	Brieka 75 mg hard capsules	15-0190	09-SEP-15	SE/H/1399/003	75 mg	Capsule, hard	75 mg	Carton box, HDPE bottle, N100	100
15-0190-02	Brieka 75 mg hard capsules	15-0190	09-SEP-15	SE/H/1399/003	75 mg	Capsule, hard	75 mg	Carton box, PVC/Al blister, N14	14
15-0190-03	Brieka 75 mg hard capsules	15-0190	09-SEP-15	SE/H/1399/003	75 mg	Capsule, hard	75 mg	Carton box, PVC/Al blister, N21	21
15-0190-04	Brieka 75 mg hard capsules	15-0190	09-SEP-15	SE/H/1399/003	75 mg	Capsule, hard	75 mg	Carton box, PVC/Al blister, N30	30
15-0190-05	Brieka 75 mg hard capsules	15-0190	09-SEP-15	SE/H/1399/003	75 mg	Capsule, hard	75 mg	Carton box, PVC/Al blister, N56	56
15-0190-06	Brieka 75 mg hard capsules	15-0190	09-SEP-15	SE/H/1399/003	75 mg	Capsule, hard	75 mg	Carton box, PVC/Al blister, N60	60
15-0190-07	Brieka 75 mg hard capsules	15-0190	09-SEP-15	SE/H/1399/003	75 mg	Capsule, hard	75 mg	Carton box, PVC/Al blister, N84	84
15-0190-08	Brieka 75 mg hard capsules	15-0190	09-SEP-15	SE/H/1399/003	75 mg	Capsule, hard	75 mg	Carton box, PVC/Al blister, N90	90
15-0190-09	Brieka 75 mg hard capsules	15-0190	09-SEP-15	SE/H/1399/003	75 mg	Capsule, hard	75 mg	Carton box, PVC/Al blister, N100	100
15-0191-01	Brieka 150 mg hard capsules	15-0191	09-SEP-15	SE/H/1399/005	150 mg	Capsule, hard	150 mg	Carton box, HDPE bottle, N100	100
15-0191-02	Brieka 150 mg hard capsules	15-0191	09-SEP-15	SE/H/1399/005	150 mg	Capsule, hard	150 mg	Carton box, PVC/Al blister, N14	14
15-0191-03	Brieka 150 mg hard capsules	15-0191	09-SEP-15	SE/H/1399/005	150 mg	Capsule, hard	150 mg	Carton box, PVC/Al blister, N30	30
15-0191-04	Brieka 150 mg hard capsules	15-0191	09-SEP-15	SE/H/1399/005	150 mg	Capsule, hard	150 mg	Carton box, PVC/Al blister, N56	56
15-0191-05	Brieka 150 mg hard capsules	15-0191	09-SEP-15	SE/H/1399/005	150 mg	Capsule, hard	150 mg	Carton box, PVC/Al blister, N60	60
15-0191-06	Brieka 150 mg hard capsules	15-0191	09-SEP-15	SE/H/1399/005	150 mg	Capsule, hard	150 mg	Carton box, PVC/Al blister, N100	100
