product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
15-0190-01	19112671	pregabalin 75 MG Oral Capsule	483450				
15-0190-02	19112671	pregabalin 75 MG Oral Capsule	483450				
15-0190-03	19112671	pregabalin 75 MG Oral Capsule	483450				
15-0190-04	19112671	pregabalin 75 MG Oral Capsule	483450				
15-0190-05	19112671	pregabalin 75 MG Oral Capsule	483450				
15-0190-06	19112671	pregabalin 75 MG Oral Capsule	483450				
15-0190-07	19112671	pregabalin 75 MG Oral Capsule	483450				
15-0190-08	19112671	pregabalin 75 MG Oral Capsule	483450				
15-0190-09	19112671	pregabalin 75 MG Oral Capsule	483450				
15-0191-01	19112670	pregabalin 150 MG Oral Capsule	483440				
15-0191-02	19112670	pregabalin 150 MG Oral Capsule	483440				
15-0191-03	19112670	pregabalin 150 MG Oral Capsule	483440				
15-0191-04	19112670	pregabalin 150 MG Oral Capsule	483440				
15-0191-05	19112670	pregabalin 150 MG Oral Capsule	483440				
15-0191-06	19112670	pregabalin 150 MG Oral Capsule	483440				
