product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/15/1027/001	Pregabalin Accord	EU/1/15/1027/001	28-AUG-15	EMEA/H/C/004024	25 mg	Capsule, hard	25 mg	PVC/Al blister, N14	14
EU/1/15/1027/002	Pregabalin Accord	EU/1/15/1027/002	28-AUG-15	EMEA/H/C/004024	25 mg	Capsule, hard	25 mg	PVC/Al blister, N21	21
EU/1/15/1027/003	Pregabalin Accord	EU/1/15/1027/003	28-AUG-15	EMEA/H/C/004024	25 mg	Capsule, hard	25 mg	PVC/Al blister, N56	56
EU/1/15/1027/004	Pregabalin Accord	EU/1/15/1027/004	28-AUG-15	EMEA/H/C/004024	25 mg	Capsule, hard	25 mg	PVC/Al blister, N60	60
EU/1/15/1027/005	Pregabalin Accord	EU/1/15/1027/005	28-AUG-15	EMEA/H/C/004024	25 mg	Capsule, hard	25 mg	PVC/Al blister, N84	84
EU/1/15/1027/006	Pregabalin Accord	EU/1/15/1027/006	28-AUG-15	EMEA/H/C/004024	25 mg	Capsule, hard	25 mg	PVC/Al blister, N90	90
EU/1/15/1027/007	Pregabalin Accord	EU/1/15/1027/007	28-AUG-15	EMEA/H/C/004024	25 mg	Capsule, hard	25 mg	PVC/Al blister, N100	100
EU/1/15/1027/008	Pregabalin Accord	EU/1/15/1027/008	28-AUG-15	EMEA/H/C/004024	25 mg	Capsule, hard	25 mg	PVC/Al blister, N112	112
EU/1/15/1027/009	Pregabalin Accord	EU/1/15/1027/009	28-AUG-15	EMEA/H/C/004024	25 mg	Capsule, hard	25 mg	PVC/Al unit-dose blister, N100	100
EU/1/15/1027/010	Pregabalin Accord	EU/1/15/1027/010	28-AUG-15	EMEA/H/C/004024	25 mg	Capsule, hard	25 mg	HDPE bottle, N30	30
EU/1/15/1027/011	Pregabalin Accord	EU/1/15/1027/011	28-AUG-15	EMEA/H/C/004024	25 mg	Capsule, hard	25 mg	HDPE bottle, N200	200
EU/1/15/1027/012	Pregabalin Accord	EU/1/15/1027/012	28-AUG-15	EMEA/H/C/004024	50 mg	Capsule, hard	50 mg	PVC/Al blister, N14	14
EU/1/15/1027/013	Pregabalin Accord	EU/1/15/1027/013	28-AUG-15	EMEA/H/C/004024	50 mg	Capsule, hard	50 mg	PVC/Al blister, N21	21
EU/1/15/1027/014	Pregabalin Accord	EU/1/15/1027/014	28-AUG-15	EMEA/H/C/004024	50 mg	Capsule, hard	50 mg	PVC/Al blister, N56	56
EU/1/15/1027/015	Pregabalin Accord	EU/1/15/1027/015	28-AUG-15	EMEA/H/C/004024	50 mg	Capsule, hard	50 mg	PVC/Al blister, N60	60
EU/1/15/1027/016	Pregabalin Accord	EU/1/15/1027/016	28-AUG-15	EMEA/H/C/004024	50 mg	Capsule, hard	50 mg	PVC/Al blister, N84	84
EU/1/15/1027/017	Pregabalin Accord	EU/1/15/1027/017	28-AUG-15	EMEA/H/C/004024	50 mg	Capsule, hard	50 mg	PVC/Al blister, N90	90
EU/1/15/1027/018	Pregabalin Accord	EU/1/15/1027/018	28-AUG-15	EMEA/H/C/004024	50 mg	Capsule, hard	50 mg	PVC/Al blister, N100	100
EU/1/15/1027/019	Pregabalin Accord	EU/1/15/1027/019	28-AUG-15	EMEA/H/C/004024	50 mg	Capsule, hard	50 mg	PVC/Al blister, N112	112
EU/1/15/1027/020	Pregabalin Accord	EU/1/15/1027/020	28-AUG-15	EMEA/H/C/004024	50 mg	Capsule, hard	50 mg	PVC/Al unit-dose blister, N100	100
EU/1/15/1027/021	Pregabalin Accord	EU/1/15/1027/021	28-AUG-15	EMEA/H/C/004024	50 mg	Capsule, hard	50 mg	HDPE bottle, N30	30
EU/1/15/1027/022	Pregabalin Accord	EU/1/15/1027/022	28-AUG-15	EMEA/H/C/004024	50 mg	Capsule, hard	50 mg	HDPE bottle, N200	200
EU/1/15/1027/023	Pregabalin Accord	EU/1/15/1027/023	28-AUG-15	EMEA/H/C/004024	75 mg	Capsule, hard	75 mg	PVC/Al blister, N14	14
EU/1/15/1027/024	Pregabalin Accord	EU/1/15/1027/024	28-AUG-15	EMEA/H/C/004024	75 mg	Capsule, hard	75 mg	PVC/Al blister, N21	21
EU/1/15/1027/025	Pregabalin Accord	EU/1/15/1027/025	28-AUG-15	EMEA/H/C/004024	75 mg	Capsule, hard	75 mg	PVC/Al blister, N56	56
EU/1/15/1027/026	Pregabalin Accord	EU/1/15/1027/026	28-AUG-15	EMEA/H/C/004024	75 mg	Capsule, hard	75 mg	PVC/Al blister, N60	60
EU/1/15/1027/027	Pregabalin Accord	EU/1/15/1027/027	28-AUG-15	EMEA/H/C/004024	75 mg	Capsule, hard	75 mg	PVC/Al blister, N84	84
EU/1/15/1027/028	Pregabalin Accord	EU/1/15/1027/028	28-AUG-15	EMEA/H/C/004024	75 mg	Capsule, hard	75 mg	PVC/Al blister, N90	90
EU/1/15/1027/029	Pregabalin Accord	EU/1/15/1027/029	28-AUG-15	EMEA/H/C/004024	75 mg	Capsule, hard	75 mg	PVC/Al blister, N100	100
EU/1/15/1027/030	Pregabalin Accord	EU/1/15/1027/030	28-AUG-15	EMEA/H/C/004024	75 mg	Capsule, hard	75 mg	PVC/Al blister, N112	112
EU/1/15/1027/031	Pregabalin Accord	EU/1/15/1027/031	28-AUG-15	EMEA/H/C/004024	75 mg	Capsule, hard	75 mg	PVC/Al unit-dose blister, N100	100
EU/1/15/1027/032	Pregabalin Accord	EU/1/15/1027/032	28-AUG-15	EMEA/H/C/004024	75 mg	Capsule, hard	75 mg	HDPE bottle, N30	30
EU/1/15/1027/033	Pregabalin Accord	EU/1/15/1027/033	28-AUG-15	EMEA/H/C/004024	75 mg	Capsule, hard	75 mg	HDPE bottle, N200	200
EU/1/15/1027/034	Pregabalin Accord	EU/1/15/1027/034	28-AUG-15	EMEA/H/C/004024	100 mg	Capsule, hard	100 mg	PVC/Al blister, N14	14
EU/1/15/1027/035	Pregabalin Accord	EU/1/15/1027/035	28-AUG-15	EMEA/H/C/004024	100 mg	Capsule, hard	100 mg	PVC/Al blister, N21	21
EU/1/15/1027/036	Pregabalin Accord	EU/1/15/1027/036	28-AUG-15	EMEA/H/C/004024	100 mg	Capsule, hard	100 mg	PVC/Al blister, N56	56
EU/1/15/1027/037	Pregabalin Accord	EU/1/15/1027/037	28-AUG-15	EMEA/H/C/004024	100 mg	Capsule, hard	100 mg	PVC/Al blister, N60	60
EU/1/15/1027/038	Pregabalin Accord	EU/1/15/1027/038	28-AUG-15	EMEA/H/C/004024	100 mg	Capsule, hard	100 mg	PVC/Al blister, N84	84
EU/1/15/1027/039	Pregabalin Accord	EU/1/15/1027/039	28-AUG-15	EMEA/H/C/004024	100 mg	Capsule, hard	100 mg	PVC/Al blister, N90	90
EU/1/15/1027/040	Pregabalin Accord	EU/1/15/1027/040	28-AUG-15	EMEA/H/C/004024	100 mg	Capsule, hard	100 mg	PVC/Al blister, N100	100
EU/1/15/1027/041	Pregabalin Accord	EU/1/15/1027/041	28-AUG-15	EMEA/H/C/004024	100 mg	Capsule, hard	112 mg	PVC/Al blister, N112	112
EU/1/15/1027/042	Pregabalin Accord	EU/1/15/1027/042	28-AUG-15	EMEA/H/C/004024	100 mg	Capsule, hard	100 mg	PVC/Al unit-dose blister, N100	100
EU/1/15/1027/043	Pregabalin Accord	EU/1/15/1027/043	28-AUG-15	EMEA/H/C/004024	100 mg	Capsule, hard	100 mg	HDPE bottle, N30	30
