product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
07-0083-01	Hartil HCT 5 mg/25 mg tablets	07-0083	14-MAR-07	NL/H/0722/002	5 mg/25 mg	Tablet	5 mg/25 mg	Carton box, PVC/PCTFE/AL blister, N7	7
07-0083-02	Hartil HCT 5 mg/25 mg tablets	07-0083	14-MAR-07	NL/H/0722/002	5 mg/25 mg	Tablet	5 mg/25 mg	Carton box, PVC/PCTFE/AL blister, N10	10
07-0083-03	Hartil HCT 5 mg/25 mg tablets	07-0083	14-MAR-07	NL/H/0722/002	5 mg/25 mg	Tablet	5 mg/25 mg	Carton box, PVC/PCTFE/AL blister, N14	14
07-0083-04	Hartil HCT 5 mg/25 mg tablets	07-0083	14-MAR-07	NL/H/0722/002	5 mg/25 mg	Tablet	5 mg/25 mg	Carton box, PVC/PCTFE/AL blister, N20	20
07-0083-05	Hartil HCT 5 mg/25 mg tablets	07-0083	14-MAR-07	NL/H/0722/002	5 mg/25 mg	Tablet	5 mg/25 mg	Carton box, PVC/PCTFE/AL blister, N28	28
07-0083-06	Hartil HCT 5 mg/25 mg tablets	07-0083	14-MAR-07	NL/H/0722/002	5 mg/25 mg	Tablet	5 mg/25 mg	Carton box, PVC/PCTFE/AL blister, N50	50
07-0083-07	Hartil HCT 5 mg/25 mg tablets	07-0083	14-MAR-07	NL/H/0722/002	5 mg/25 mg	Tablet	5 mg/25 mg	Carton box, PVC/PCTFE/AL blister, N98	98
07-0083-08	Hartil HCT 5 mg/25 mg tablets	07-0083	14-MAR-07	NL/H/0722/002	5 mg/25 mg	Tablet	5 mg/25 mg	Carton box, PVC/PCTFE/AL blister, N100	100
07-0083-09	Hartil HCT 5 mg/25 mg tablets	07-0083	14-MAR-07	NL/H/0722/002	5 mg/25 mg	Tablet	5 mg/25 mg	Carton box, PVC/PCTFE/AL blister, N300	300
07-0083-10	Hartil HCT 5 mg/25 mg tablets	07-0083	14-MAR-07	NL/H/0722/002	5 mg/25 mg	Tablet	5 mg/25 mg	Carton box, PVC/PCTFE/AL blister, N28	28
