product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
13-0200-01	Ramipril TAD 2.5 mg tablets	13-0200	25-SEP-13	NL/H/2488/002	2.5 mg	Tablet	2,5 mg	Carton box, OPA/Al/PVC/Al blister, N10	10
13-0200-02	Ramipril TAD 2.5 mg tablets	13-0200	25-SEP-13	NL/H/2488/002	2.5 mg	Tablet	2,5 mg	Carton box, OPA/Al/PVC/Al blister, N14	14
13-0200-03	Ramipril TAD 2.5 mg tablets	13-0200	25-SEP-13	NL/H/2488/002	2.5 mg	Tablet	2,5 mg	Carton box, OPA/Al/PVC/Al blister, N20	20
13-0200-04	Ramipril TAD 2.5 mg tablets	13-0200	25-SEP-13	NL/H/2488/002	2.5 mg	Tablet	2,5 mg	Carton box, OPA/Al/PVC/Al blister, N28	28
13-0200-05	Ramipril TAD 2.5 mg tablets	13-0200	25-SEP-13	NL/H/2488/002	2.5 mg	Tablet	2,5 mg	Carton box, OPA/Al/PVC/Al blister, N30	30
13-0200-06	Ramipril TAD 2.5 mg tablets	13-0200	25-SEP-13	NL/H/2488/002	2.5 mg	Tablet	2,5 mg	Carton box, OPA/Al/PVC/Al blister, N50	50
13-0200-07	Ramipril TAD 2.5 mg tablets	13-0200	25-SEP-13	NL/H/2488/002	2.5 mg	Tablet	2,5 mg	Carton box, OPA/Al/PVC/Al blister, N60	60
13-0200-08	Ramipril TAD 2.5 mg tablets	13-0200	25-SEP-13	NL/H/2488/002	2.5 mg	Tablet	2,5 mg	Carton box, OPA/Al/PVC/Al blister, N90	90
13-0200-09	Ramipril TAD 2.5 mg tablets	13-0200	25-SEP-13	NL/H/2488/002	2.5 mg	Tablet	2,5 mg	Carton box, OPA/Al/PVC/Al blister, N100	100
13-0201-01	Ramipril TAD 5 mg tablets	13-0201	25-SEP-13	NL/H/2488/003	5 mg	Tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N10	10
13-0201-02	Ramipril TAD 5 mg tablets	13-0201	25-SEP-13	NL/H/2488/003	5 mg	Tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N14	14
13-0201-03	Ramipril TAD 5 mg tablets	13-0201	25-SEP-13	NL/H/2488/003	5 mg	Tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N20	20
13-0201-04	Ramipril TAD 5 mg tablets	13-0201	25-SEP-13	NL/H/2488/003	5 mg	Tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N28	28
13-0201-05	Ramipril TAD 5 mg tablets	13-0201	25-SEP-13	NL/H/2488/003	5 mg	Tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N30	30
13-0201-06	Ramipril TAD 5 mg tablets	13-0201	25-SEP-13	NL/H/2488/003	5 mg	Tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N50	50
13-0201-07	Ramipril TAD 5 mg tablets	13-0201	25-SEP-13	NL/H/2488/003	5 mg	Tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N60	60
13-0201-08	Ramipril TAD 5 mg tablets	13-0201	25-SEP-13	NL/H/2488/003	5 mg	Tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N90	90
13-0201-09	Ramipril TAD 5 mg tablets	13-0201	25-SEP-13	NL/H/2488/003	5 mg	Tablet	5 mg	Carton box, OPA/Al/PVC/Al blister, N100	100
13-0202-01	Ramipril TAD 10 mg tablets	13-0202	25-SEP-13	NL/H/2488/004	10 mg	Tablet	10 mg	Carton box, OPA/Al/PVC/Al blister, N10	10
13-0202-02	Ramipril TAD 10 mg tablets	13-0202	25-SEP-13	NL/H/2488/004	10 mg	Tablet	10 mg	Carton box, OPA/Al/PVC/Al blister, N14	14
13-0202-03	Ramipril TAD 10 mg tablets	13-0202	25-SEP-13	NL/H/2488/004	10 mg	Tablet	10 mg	Carton box, OPA/Al/PVC/Al blister, N20	20
13-0202-04	Ramipril TAD 10 mg tablets	13-0202	25-SEP-13	NL/H/2488/004	10 mg	Tablet	10 mg	Carton box, OPA/Al/PVC/Al blister, N28	28
13-0202-05	Ramipril TAD 10 mg tablets	13-0202	25-SEP-13	NL/H/2488/004	10 mg	Tablet	10 mg	Carton box, OPA/Al/PVC/Al blister, N30	30
13-0202-06	Ramipril TAD 10 mg tablets	13-0202	25-SEP-13	NL/H/2488/004	10 mg	Tablet	10 mg	Carton box, OPA/Al/PVC/Al blister, N50	50
13-0202-07	Ramipril TAD 10 mg tablets	13-0202	25-SEP-13	NL/H/2488/004	10 mg	Tablet	10 mg	Carton box, OPA/Al/PVC/Al blister, N60	60
13-0202-08	Ramipril TAD 10 mg tablets	13-0202	25-SEP-13	NL/H/2488/004	10 mg	Tablet	10 mg	Carton box, OPA/Al/PVC/Al blister, N90	90
13-0202-09	Ramipril TAD 10 mg tablets	13-0202	25-SEP-13	NL/H/2488/004	10 mg	Tablet	10 mg	Carton box, OPA/Al/PVC/Al blister, N100	100
