product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/11/743/001	Repaglinide Accord	EU/1/11/743/001	22-DEC-11	EMEA/H/C/002318	0.5 mg	Tablet	0,5 mg	Al/Al blister, N30	30
EU/1/11/743/002	Repaglinide Accord	EU/1/11/743/002	22-DEC-11	EMEA/H/C/002318	0.5 mg	Tablet	0,5 mg	Al/Al blister, N90	90
EU/1/11/743/003	Repaglinide Accord	EU/1/11/743/003	22-DEC-11	EMEA/H/C/002318	0.5 mg	Tablet	0,5 mg	Al/Al blister, N120	120
EU/1/11/743/004	Repaglinide Accord	EU/1/11/743/004	22-DEC-11	EMEA/H/C/002318	0.5 mg	Tablet	0,5 mg	Al/Al blister, N270	270
EU/1/11/743/005	Repaglinide Accord	EU/1/11/743/005	22-DEC-11	EMEA/H/C/002318	0.5 mg	Tablet	0,5 mg	HDPE bottle, N100	100
EU/1/11/743/006	Repaglinide Accord	EU/1/11/743/006	22-DEC-11	EMEA/H/C/002318	1 mg	Tablet	1 mg	Al/Al blister, N30	30
EU/1/11/743/007	Repaglinide Accord	EU/1/11/743/007	22-DEC-11	EMEA/H/C/002318	1 mg	Tablet	1 mg	Al/Al blister, N90	90
EU/1/11/743/008	Repaglinide Accord	EU/1/11/743/008	22-DEC-11	EMEA/H/C/002318	1 mg	Tablet	1 mg	Al/Al blister, N120	120
EU/1/11/743/009	Repaglinide Accord	EU/1/11/743/009	22-DEC-11	EMEA/H/C/002318	1 mg	Tablet	1 mg	Al/Al blister, N270	270
EU/1/11/743/010	Repaglinide Accord	EU/1/11/743/010	22-DEC-11	EMEA/H/C/002318	1 mg	Tablet	1 mg	HDPE bottle, N100	100
EU/1/11/743/011	Repaglinide Accord	EU/1/11/743/011	22-DEC-11	EMEA/H/C/002318	2 mg	Tablet	2 mg	Al/Al blister, N30	30
EU/1/11/743/012	Repaglinide Accord	EU/1/11/743/012	22-DEC-11	EMEA/H/C/002318	2 mg	Tablet	2 mg	Al/Al blister, N90	90
EU/1/11/743/013	Repaglinide Accord	EU/1/11/743/013	22-DEC-11	EMEA/H/C/002318	2 mg	Tablet	2 mg	Al/Al blister, N120	120
EU/1/11/743/014	Repaglinide Accord	EU/1/11/743/014	22-DEC-11	EMEA/H/C/002318	2 mg	Tablet	2 mg	Al/Al blister, N270	270
EU/1/11/743/015	Repaglinide Accord	EU/1/11/743/015	22-DEC-11	EMEA/H/C/002318	2 mg	Tablet	2 mg	HDPE bottle, N100	100
EU/1/11/743/016	Repaglinide Accord	EU/1/11/743/016	22-NOV-11	EMEA/H/C/002318	0.5 mg	Tablet	0,5 mg	Al/Al blister, N180	180
EU/1/11/743/017	Repaglinide Accord	EU/1/11/743/017	22-NOV-11	EMEA/H/C/002318	1 mg	Tablet	1 mg	Al/Al blister, N180	180
EU/1/11/743/018	Repaglinide Accord	EU/1/11/743/018	22-NOV-11	EMEA/H/C/002318	2 mg	Tablet	2 mg	Al/Al blister, N180	180
