product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/17/1221/001	Kisqali	EU/1/17/1221/001	22-AUG-17	EMEA/H/C/004213	200 mg	Film-coated tablet	200 mg	PCTFE/PVC blister, N21	21
EU/1/17/1221/002	Kisqali	EU/1/17/1221/002	22-AUG-17	EMEA/H/C/004213	200 mg	Film-coated tablet	200 mg	PA/Al/PVC blister, N21	21
EU/1/17/1221/003	Kisqali	EU/1/17/1221/003	22-AUG-17	EMEA/H/C/004213	200 mg	Film-coated tablet	200 mg	PCTFE/PVC blister, N42	42
EU/1/17/1221/004	Kisqali	EU/1/17/1221/004	22-AUG-17	EMEA/H/C/004213	200 mg	Film-coated tablet	200 mg	PA/Al/PVC blister, N42	42
EU/1/17/1221/005	Kisqali	EU/1/17/1221/005	22-AUG-17	EMEA/H/C/004213	200 mg	Film-coated tablet	200 mg	PCTFE/PVC blister, N63	63
EU/1/17/1221/006	Kisqali	EU/1/17/1221/006	22-AUG-17	EMEA/H/C/004213	200 mg	Film-coated tablet	200 mg	PA/Al/PVC blister, N63	63
EU/1/17/1221/007	Kisqali	EU/1/17/1221/007	22-AUG-17	EMEA/H/C/004213	200 mg	Film-coated tablet	200 mg	PCTFE/PVC blister, N63	63
EU/1/17/1221/008	Kisqali	EU/1/17/1221/008	22-AUG-17	EMEA/H/C/004213	200 mg	Film-coated tablet	200 mg	PA/Al/PVC blister, N63	63
EU/1/17/1221/009	Kisqali	EU/1/17/1221/009	22-AUG-17	EMEA/H/C/004213	200 mg	Film-coated tablet	200 mg	PCTFE/PVC blister, N126	126
EU/1/17/1221/010	Kisqali	EU/1/17/1221/010	22-AUG-17	EMEA/H/C/004213	200 mg	Film-coated tablet	200 mg	PA/Al/PVC blister, N126	126
EU/1/17/1221/011	Kisqali	EU/1/17/1221/011	22-AUG-17	EMEA/H/C/004213	200 mg	Film-coated tablet	200 mg	PCTFE/PVC blister, N189	189
EU/1/17/1221/012	Kisqali	EU/1/17/1221/012	22-AUG-17	EMEA/H/C/004213	200 mg	Film-coated tablet	200 mg	PA/Al/PVC blister, N189	189
