product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/13/907/001	Adempas	EU/1/13/907/001	27-MAR-14	EMEA/H/C/002737	0.5 mg	Film-coated tablet	0,5 mg	PP/Al blister, N42	42
EU/1/13/907/002	Adempas	EU/1/13/907/002	27-MAR-14	EMEA/H/C/002737	0.5 mg	Film-coated tablet	0,5 mg	PP/Al blister, N84	84
EU/1/13/907/003	Adempas	EU/1/13/907/003	27-MAR-14	EMEA/H/C/002737	0.5 mg	Film-coated tablet	0,5 mg	PP/Al blister, N90	90
EU/1/13/907/004	Adempas	EU/1/13/907/004	27-MAR-14	EMEA/H/C/002737	1 mg	Film-coated tablet	1 mg	PP/Al blister, N42	42
EU/1/13/907/005	Adempas	EU/1/13/907/005	27-MAR-14	EMEA/H/C/002737	1 mg	Film-coated tablet	1 mg	PP/Al blister, N84	84
EU/1/13/907/006	Adempas	EU/1/13/907/006	27-MAR-14	EMEA/H/C/002737	1 mg	Film-coated tablet	1 mg	PP/Al blister, N90	90
EU/1/13/907/007	Adempas	EU/1/13/907/007	27-MAR-14	EMEA/H/C/002737	1.5 mg	Film-coated tablet	1,5 mg	PP/Al blister, N42	42
EU/1/13/907/008	Adempas	EU/1/13/907/008	27-MAR-14	EMEA/H/C/002737	1.5 mg	Film-coated tablet	1,5 mg	PP/Al blister, N84	84
EU/1/13/907/009	Adempas	EU/1/13/907/009	27-MAR-14	EMEA/H/C/002737	1.5 mg	Film-coated tablet	1,5 mg	PP/Al blister, N90	90
EU/1/13/907/010	Adempas	EU/1/13/907/010	27-MAR-14	EMEA/H/C/002737	2 mg	Film-coated tablet	2 mg	PP/Al blister, N42	42
EU/1/13/907/011	Adempas	EU/1/13/907/011	27-MAR-14	EMEA/H/C/002737	2 mg	Film-coated tablet	2 mg	PP/Al blister, N84	84
EU/1/13/907/012	Adempas	EU/1/13/907/012	27-MAR-14	EMEA/H/C/002737	2 mg	Film-coated tablet	2 mg	PP/Al blister, N90	90
EU/1/13/907/013	Adempas	EU/1/13/907/013	27-MAR-14	EMEA/H/C/002737	2.5 mg	Film-coated tablet	2,5 mg	PP/Al blister, N42	42
EU/1/13/907/014	Adempas	EU/1/13/907/014	27-MAR-14	EMEA/H/C/002737	2.5 mg	Film-coated tablet	2,5 mg	PP/Al blister, N84	84
EU/1/13/907/015	Adempas	EU/1/13/907/015	27-MAR-14	EMEA/H/C/002737	2.5 mg	Film-coated tablet	2,5 mg	PP/Al blister, N90	90
EU/1/13/907/016	Adempas	EU/1/13/907/016	27-MAR-14	EMEA/H/C/002737	0.5 mg	Film-coated tablet	0,5 mg	PP/Al blister, N294	294
EU/1/13/907/017	Adempas	EU/1/13/907/017	27-MAR-14	EMEA/H/C/002737	1 mg	Film-coated tablet	1 mg	PP/Al blister, N294	294
EU/1/13/907/018	Adempas	EU/1/13/907/018	27-MAR-14	EMEA/H/C/002737	1.5 mg	Film-coated tablet	1,5 mg	PP/Al blister, N294	294
EU/1/13/907/019	Adempas	EU/1/13/907/019	27-MAR-14	EMEA/H/C/002737	2 mg	Film-coated tablet	2 mg	PP/Al blister, N294	294
EU/1/13/907/020	Adempas	EU/1/13/907/020	27-MAR-14	EMEA/H/C/002737	2.5 mg	Film-coated tablet	2,5 mg	PP/Al blister, N294	294
EU/1/13/907/021	Adempas	EU/1/13/907/021	27-MAR-14	EMEA/H/C/002737	0.15 mg/ml	Granules for oral suspension	31,2 mg/208 ml	Carton box, Glass bottle, N1	1
