product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
21-0073-01	40241333	rivaroxaban 10 MG Oral Tablet	1114198	EXACT			2026-02-17
21-0073-02	40241333	rivaroxaban 10 MG Oral Tablet	1114198	EXACT			2026-02-17
21-0073-03	40241333	rivaroxaban 10 MG Oral Tablet	1114198	EXACT			2026-02-17
21-0073-04	40241333	rivaroxaban 10 MG Oral Tablet	1114198	EXACT			2026-02-17
21-0073-05	40241333	rivaroxaban 10 MG Oral Tablet	1114198	EXACT			2026-02-17
21-0073-06	40241333	rivaroxaban 10 MG Oral Tablet	1114198	EXACT			2026-02-17
21-0073-07	40241333	rivaroxaban 10 MG Oral Tablet	1114198	EXACT			2026-02-17
21-0073-08	40241333	rivaroxaban 10 MG Oral Tablet	1114198	EXACT			2026-02-17
21-0073-09	40241333	rivaroxaban 10 MG Oral Tablet	1114198	EXACT			2026-02-17
21-0073-10	40241333	rivaroxaban 10 MG Oral Tablet	1114198	EXACT			2026-02-17
21-0074-01	40244444	rivaroxaban 15 MG Oral Tablet	1232082	EXACT			2026-02-17
21-0074-02	40244444	rivaroxaban 15 MG Oral Tablet	1232082	EXACT			2026-02-17
21-0074-03	40244444	rivaroxaban 15 MG Oral Tablet	1232082	EXACT			2026-02-17
21-0074-04	40244444	rivaroxaban 15 MG Oral Tablet	1232082	EXACT			2026-02-17
21-0074-05	40244444	rivaroxaban 15 MG Oral Tablet	1232082	EXACT			2026-02-17
21-0074-06	40244444	rivaroxaban 15 MG Oral Tablet	1232082	EXACT			2026-02-17
21-0074-07	40244444	rivaroxaban 15 MG Oral Tablet	1232082	EXACT			2026-02-17
21-0074-08	40244444	rivaroxaban 15 MG Oral Tablet	1232082	EXACT			2026-02-17
21-0074-09	40244444	rivaroxaban 15 MG Oral Tablet	1232082	EXACT			2026-02-17
21-0074-10	40244444	rivaroxaban 15 MG Oral Tablet	1232082	EXACT			2026-02-17
21-0074-11	40244444	rivaroxaban 15 MG Oral Tablet	1232082	EXACT			2026-02-17
21-0075-01	40244448	rivaroxaban 20 MG Oral Tablet	1232086	EXACT			2026-02-17
21-0075-02	40244448	rivaroxaban 20 MG Oral Tablet	1232086	EXACT			2026-02-17
21-0075-03	40244448	rivaroxaban 20 MG Oral Tablet	1232086	EXACT			2026-02-17
21-0075-04	40244448	rivaroxaban 20 MG Oral Tablet	1232086	EXACT			2026-02-17
21-0075-05	40244448	rivaroxaban 20 MG Oral Tablet	1232086	EXACT			2026-02-17
21-0075-06	40244448	rivaroxaban 20 MG Oral Tablet	1232086	EXACT			2026-02-17
21-0075-07	40244448	rivaroxaban 20 MG Oral Tablet	1232086	EXACT			2026-02-17
21-0075-08	40244448	rivaroxaban 20 MG Oral Tablet	1232086	EXACT			2026-02-17
21-0075-09	40244448	rivaroxaban 20 MG Oral Tablet	1232086	EXACT			2026-02-17
21-0075-10	40244448	rivaroxaban 20 MG Oral Tablet	1232086	EXACT			2026-02-17
