product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/09/585/001	Rivastigmine 1 A Pharma	EU/1/09/585/001	11-DEC-09	EMEA/H/C/001181	1.5 mg	Capsule, hard	1,5 mg	Carton box, PVC/Al blister, N28	28
EU/1/09/585/002	Rivastigmine 1 A Pharma	EU/1/09/585/002	11-DEC-09	EMEA/H/C/001181	1.5 mg	Capsule, hard	1,5 mg	Carton box, PVC/Al blister, N56	56
EU/1/09/585/003	Rivastigmine 1 A Pharma	EU/1/09/585/003	11-DEC-09	EMEA/H/C/001181	1.5 mg	Capsule, hard	1,5 mg	Carton box, PVC/Al blister, N112	112
EU/1/09/585/004	Rivastigmine 1 A Pharma	EU/1/09/585/004	11-DEC-09	EMEA/H/C/001181	1.5 mg	Capsule, hard	1,5 mg	Carton box, HDPE bottle, N250	250
EU/1/09/585/005	Rivastigmine 1 A Pharma	EU/1/09/585/005	11-DEC-09	EMEA/H/C/001181	3 mg	Capsule, hard	3 mg	Carton box, PVC/Al blister, N28	28
EU/1/09/585/006	Rivastigmine 1 A Pharma	EU/1/09/585/006	11-DEC-09	EMEA/H/C/001181	3 mg	Capsule, hard	3 mg	Carton box, PVC/Al blister, N56	56
EU/1/09/585/007	Rivastigmine 1 A Pharma	EU/1/09/585/007	11-DEC-09	EMEA/H/C/001181	3 mg	Capsule, hard	3 mg	Carton box, PVC/Al blister, N112	112
EU/1/09/585/008	Rivastigmine 1 A Pharma	EU/1/09/585/008	11-DEC-09	EMEA/H/C/001181	3 mg	Capsule, hard	3 mg	Carton box, HDPE bottle, N250	250
EU/1/09/585/009	Rivastigmine 1 A Pharma	EU/1/09/585/009	11-DEC-09	EMEA/H/C/001181	4.5 mg	Capsule, hard	4,5 mg	Carton box, PVC/Al blister, N28	28
EU/1/09/585/010	Rivastigmine 1 A Pharma	EU/1/09/585/010	11-DEC-09	EMEA/H/C/001181	4.5 mg	Capsule, hard	4,5 mg	Carton box, PVC/Al blister, N56	56
EU/1/09/585/011	Rivastigmine 1 A Pharma	EU/1/09/585/011	11-DEC-09	EMEA/H/C/001181	4.5 mg	Capsule, hard	4,5 mg	Carton box, PVC/Al blister, N112	112
EU/1/09/585/012	Rivastigmine 1 A Pharma	EU/1/09/585/012	11-DEC-09	EMEA/H/C/001181	4.5 mg	Capsule, hard	4,5 mg	Carton box, HDPE bottle, N250	250
EU/1/09/585/013	Rivastigmine 1 A Pharma	EU/1/09/585/013	11-DEC-09	EMEA/H/C/001181	6 mg	Capsule, hard	6 mg	Carton box, PVC/Al blister, N28	28
EU/1/09/585/014	Rivastigmine 1 A Pharma	EU/1/09/585/014	11-DEC-09	EMEA/H/C/001181	6 mg	Capsule, hard	4,5 mg	Carton box, PVC/Al blister, N56	56
EU/1/09/585/015	Rivastigmine 1 A Pharma	EU/1/09/585/015	11-DEC-09	EMEA/H/C/001181	6 mg	Capsule, hard	6 mg	Carton box, PVC/Al blister, N112	112
EU/1/09/585/016	Rivastigmine 1 A Pharma	EU/1/09/585/016	11-DEC-09	EMEA/H/C/001181	6 mg	Capsule, hard	6 mg	Carton box, HDPE bottle, N250	250
EU/1/09/585/017	Rivastigmine 1 A Pharma	EU/1/09/585/017	11-DEC-09	EMEA/H/C/001181	2 mg/ml	Oral solution	100 mg/50 ml	Carton box, Glass bottle (amber), N1	1
EU/1/09/585/018	Rivastigmine 1 A Pharma	EU/1/09/585/018	11-DEC-09	EMEA/H/C/001181	2 mg/ml	Oral solution	240 mg/120 ml	Carton box, Glass bottle (amber), N1	1
