product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
18-0133-01				NO_MAPPING		rosuvastatin 10 MG / perindopril 4 MG / indapamide 1.25 MG Oral Tablet	2026-04-05
18-0133-02				NO_MAPPING		rosuvastatin 10 MG / perindopril 4 MG / indapamide 1.25 MG Oral Tablet	2026-04-05
18-0133-03				NO_MAPPING		rosuvastatin 10 MG / perindopril 4 MG / indapamide 1.25 MG Oral Tablet	2026-04-05
18-0133-04				NO_MAPPING		rosuvastatin 10 MG / perindopril 4 MG / indapamide 1.25 MG Oral Tablet	2026-04-05
18-0133-05				NO_MAPPING		rosuvastatin 10 MG / perindopril 4 MG / indapamide 1.25 MG Oral Tablet	2026-04-05
18-0133-06				NO_MAPPING		rosuvastatin 10 MG / perindopril 4 MG / indapamide 1.25 MG Oral Tablet	2026-04-05
18-0134-01				NO_MAPPING		rosuvastatin 20 MG / perindopril 4 MG / indapamide 1.25 MG Oral Tablet	2026-04-05
18-0134-02				NO_MAPPING		rosuvastatin 20 MG / perindopril 4 MG / indapamide 1.25 MG Oral Tablet	2026-04-05
18-0134-03				NO_MAPPING		rosuvastatin 20 MG / perindopril 4 MG / indapamide 1.25 MG Oral Tablet	2026-04-05
18-0134-04				NO_MAPPING		rosuvastatin 20 MG / perindopril 4 MG / indapamide 1.25 MG Oral Tablet	2026-04-05
18-0134-05				NO_MAPPING		rosuvastatin 20 MG / perindopril 4 MG / indapamide 1.25 MG Oral Tablet	2026-04-05
18-0134-06				NO_MAPPING		rosuvastatin 20 MG / perindopril 4 MG / indapamide 1.25 MG Oral Tablet	2026-04-05
18-0135-01				NO_MAPPING		rosuvastatin 10 MG / perindopril 8 MG / indapamide 2.5 MG Oral Tablet	2026-04-05
18-0135-02				NO_MAPPING		rosuvastatin 10 MG / perindopril 8 MG / indapamide 2.5 MG Oral Tablet	2026-04-05
18-0135-03				NO_MAPPING		rosuvastatin 10 MG / perindopril 8 MG / indapamide 2.5 MG Oral Tablet	2026-04-05
18-0135-04				NO_MAPPING		rosuvastatin 10 MG / perindopril 8 MG / indapamide 2.5 MG Oral Tablet	2026-04-05
18-0135-05				NO_MAPPING		rosuvastatin 10 MG / perindopril 8 MG / indapamide 2.5 MG Oral Tablet	2026-04-05
18-0135-06				NO_MAPPING		rosuvastatin 10 MG / perindopril 8 MG / indapamide 2.5 MG Oral Tablet	2026-04-05
18-0136-01				NO_MAPPING		rosuvastatin 20 MG / perindopril 8 MG / indapamide 2.5 MG Oral Tablet	2026-04-05
18-0136-02				NO_MAPPING		rosuvastatin 20 MG / perindopril 8 MG / indapamide 2.5 MG Oral Tablet	2026-04-05
18-0136-03				NO_MAPPING		rosuvastatin 20 MG / perindopril 8 MG / indapamide 2.5 MG Oral Tablet	2026-04-05
18-0136-04				NO_MAPPING		rosuvastatin 20 MG / perindopril 8 MG / indapamide 2.5 MG Oral Tablet	2026-04-05
18-0136-05				NO_MAPPING		rosuvastatin 20 MG / perindopril 8 MG / indapamide 2.5 MG Oral Tablet	2026-04-05
18-0136-06				NO_MAPPING		rosuvastatin 20 MG / perindopril 8 MG / indapamide 2.5 MG Oral Tablet	2026-04-05
