product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
25-0273-01	40165261	rosuvastatin calcium 5 MG Oral Tablet	859424	EXACT			2026-04-05
25-0273-02	40165261	rosuvastatin calcium 5 MG Oral Tablet	859424	EXACT			2026-04-05
25-0273-03	40165261	rosuvastatin calcium 5 MG Oral Tablet	859424	EXACT			2026-04-05
25-0273-04	40165261	rosuvastatin calcium 5 MG Oral Tablet	859424	EXACT			2026-04-05
25-0274-01	40165245	rosuvastatin calcium 10 MG Oral Tablet	859747	EXACT			2026-04-05
25-0274-02	40165245	rosuvastatin calcium 10 MG Oral Tablet	859747	EXACT			2026-04-05
25-0274-03	40165245	rosuvastatin calcium 10 MG Oral Tablet	859747	EXACT			2026-04-05
25-0274-04	40165245	rosuvastatin calcium 10 MG Oral Tablet	859747	EXACT			2026-04-05
25-0275-01	40165253	rosuvastatin calcium 20 MG Oral Tablet	859751	EXACT			2026-04-05
25-0275-02	40165253	rosuvastatin calcium 20 MG Oral Tablet	859751	EXACT			2026-04-05
25-0275-03	40165253	rosuvastatin calcium 20 MG Oral Tablet	859751	EXACT			2026-04-05
25-0275-04	40165253	rosuvastatin calcium 20 MG Oral Tablet	859751	EXACT			2026-04-05
25-0276-01	40165257	rosuvastatin calcium 40 MG Oral Tablet	859419	EXACT			2026-04-05
25-0276-02	40165257	rosuvastatin calcium 40 MG Oral Tablet	859419	EXACT			2026-04-05
25-0276-03	40165257	rosuvastatin calcium 40 MG Oral Tablet	859419	EXACT			2026-04-05
25-0276-04	40165257	rosuvastatin calcium 40 MG Oral Tablet	859419	EXACT			2026-04-05
