product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/17/1247/001	Adynovi	EU/1/17/1247/001	08-JAN-18	EMEA/H/C/004195	250 IU	Powder and solvent for solution for injection	250 IU/2 ml	Glass vial and vial, N1	1
EU/1/17/1247/002	Adynovi	EU/1/17/1247/002	08-JAN-18	EMEA/H/C/004195	250 IU	Powder and solvent for solution for injection	250 IU/2 ml	Glass vial and vial, N1	1
EU/1/17/1247/003	Adynovi	EU/1/17/1247/003	08-JAN-18	EMEA/H/C/004195	250 IU	Powder and solvent for solution for injection	250 IU/5 ml	Glass vial and vial, N1	1
EU/1/17/1247/004	Adynovi	EU/1/17/1247/004	08-JAN-18	EMEA/H/C/004195	250 IU	Powder and solvent for solution for injection	250 IU/5 ml	Glass vial and vial, N1	1
EU/1/17/1247/005	Adynovi	EU/1/17/1247/005	08-JAN-18	EMEA/H/C/004195	500 IU	Powder and solvent for solution for injection	500 IU/2 ml	Glass vial and vial, N1	1
EU/1/17/1247/006	Adynovi	EU/1/17/1247/006	08-JAN-18	EMEA/H/C/004195	500 IU	Powder and solvent for solution for injection	500 IU/2 ml	Glass vial and vial, N1	1
EU/1/17/1247/007	Adynovi	EU/1/17/1247/007	08-JAN-18	EMEA/H/C/004195	500 IU	Powder and solvent for solution for injection	500 IU/5 ml	Glass vial and vial, N1	1
EU/1/17/1247/008	Adynovi	EU/1/17/1247/008	08-JAN-18	EMEA/H/C/004195	500 IU	Powder and solvent for solution for injection	500 IU/5 ml	Glass vial and vial, N1	1
EU/1/17/1247/009	Adynovi	EU/1/17/1247/009	08-JAN-18	EMEA/H/C/004195	1000 IU	Powder and solvent for solution for injection	1000 IU/2 ml	Glass vial and vial, N1	1
EU/1/17/1247/010	Adynovi	EU/1/17/1247/010	08-JAN-18	EMEA/H/C/004195	1000 IU	Powder and solvent for solution for injection	1000 IU/2 ml	Glass vial and vial, N1	1
EU/1/17/1247/011	Adynovi	EU/1/17/1247/011	08-JAN-18	EMEA/H/C/004195	1000 IU	Powder and solvent for solution for injection	1000 IU/5 ml	Glass vial and vial, N1	1
EU/1/17/1247/012	Adynovi	EU/1/17/1247/012	08-JAN-18	EMEA/H/C/004195	1000 IU	Powder and solvent for solution for injection	1000 IU/5 ml	Glass vial and vial, N1	1
EU/1/17/1247/013	Adynovi	EU/1/17/1247/013	08-JAN-18	EMEA/H/C/004195	2000 IU	Powder and solvent for solution for injection	2000 IU/5 ml	Glass vial and vial, N1	1
EU/1/17/1247/014	Adynovi	EU/1/17/1247/014	08-JAN-18	EMEA/H/C/004195	2000 IU	Powder and solvent for solution for injection	2000 IU/5 ml	Glass vial and vial, N1	1
EU/1/17/1247/015	Adynovi	EU/1/17/1247/015	08-JAN-18	EMEA/H/C/004195	3000 IU	Powder and solvent for solution for injection	3000 IU/5 ml	Glass vial and vial, N1	1
EU/1/17/1247/016	Adynovi	EU/1/17/1247/016	08-JAN-18	EMEA/H/C/004195	3000 IU	Powder and solvent for solution for injection	3000 IU/5 ml	Glass vial and vial, N1	1
