product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/15/1058/001	Entresto	EU/1/15/1058/001	19-NOV-15	EMEA/H/C/004062	24 mg/26 mg	Film-coated tablet	24 mg/26 mg	PVC/PVDC blister, N28	28
EU/1/15/1058/002	Entresto	EU/1/15/1058/002	19-NOV-15	EMEA/H/C/004062	49 mg/51 mg	Film-coated tablet	49 mg/51 mg	PVC/PVDC blister, N28	28
EU/1/15/1058/003	Entresto	EU/1/15/1058/003	19-NOV-15	EMEA/H/C/004062	49 mg/51 mg	Film-coated tablet	49 mg/51 mg	PVC/PVDC blister, N56	56
EU/1/15/1058/004	Entresto	EU/1/15/1058/004	19-NOV-15	EMEA/H/C/004062	49 mg/51 mg	Film-coated tablet	49 mg/51 mg	PVC/PVDC blister, N168	168
EU/1/15/1058/005	Entresto	EU/1/15/1058/005	19-NOV-15	EMEA/H/C/004062	97 mg/103 mg	Film-coated tablet	97 mg/103 mg	PVC/PVDC blister, N28	28
EU/1/15/1058/006	Entresto	EU/1/15/1058/006	19-NOV-15	EMEA/H/C/004062	97 mg/103 mg	Film-coated tablet	97 mg/103 mg	PVC/PVDC blister, N56	56
EU/1/15/1058/007	Entresto	EU/1/15/1058/007	19-NOV-15	EMEA/H/C/004062	97 mg/103 mg	Film-coated tablet	97 mg/103 mg	PVC/PVDC blister, N168	168
EU/1/15/1058/008	Entresto	EU/1/15/1058/008	19-NOV-15	EMEA/H/C/004062	24 mg/26 mg	Film-coated tablet	24 mg/26 mg	PVC/PVDC blister, N14	14
EU/1/15/1058/009	Entresto	EU/1/15/1058/009	19-NOV-15	EMEA/H/C/004062	24 mg/26 mg	Film-coated tablet	24 mg/26 mg	PVC/PVDC blister, N20	20
EU/1/15/1058/010	Entresto	EU/1/15/1058/010	19-NOV-15	EMEA/H/C/004062	24 mg/26 mg	Film-coated tablet	24 mg/26 mg	PVC/PVDC blister, N56	56
EU/1/15/1058/011	Entresto	EU/1/15/1058/011	19-NOV-15	EMEA/H/C/004062	49 mg/51 mg	Film-coated tablet	49 mg/51 mg	PVC/PVDC blister, N14	14
EU/1/15/1058/012	Entresto	EU/1/15/1058/012	19-NOV-15	EMEA/H/C/004062	49 mg/51 mg	Film-coated tablet	49 mg/51 mg	PVC/PVDC blister, N20	20
EU/1/15/1058/013	Entresto	EU/1/15/1058/013	19-NOV-15	EMEA/H/C/004062	49 mg/51 mg	Film-coated tablet	49 mg/51 mg	PVC/PVDC blister, N196	196
EU/1/15/1058/014	Entresto	EU/1/15/1058/014	19-NOV-15	EMEA/H/C/004062	97 mg/103 mg	Film-coated tablet	97 mg/103 mg	PVC/PVDC blister, N14	14
EU/1/15/1058/015	Entresto	EU/1/15/1058/015	19-NOV-15	EMEA/H/C/004062	97 mg/103 mg	Film-coated tablet	97 mg/103 mg	PVC/PVDC blister, N20	20
EU/1/15/1058/016	Entresto	EU/1/15/1058/016	19-NOV-15	EMEA/H/C/004062	97 mg/103 mg	Film-coated tablet	97 mg/103 mg	PVC/PVDC blister, N196	196
EU/1/15/1058/017	Entresto	EU/1/15/1058/017	19-NOV-15	EMEA/H/C/004062	24 mg/26 mg	Film-coated tablet	24 mg/26 mg	PVC/PVDC blister, N196	196
EU/1/15/1058/018	Entresto	EU/1/15/1058/018	19-NOV-15	EMEA/H/C/004062	24 mg/26 mg	Film-coated tablet	24 mg/26 mg	PVC/PVDC blister, N196	196
EU/1/15/1058/019	Entresto	EU/1/15/1058/019	19-NOV-15	EMEA/H/C/004062	49 mg/51 mg	Film-coated tablet	49 mg/51 mg	PVC/PVDC blister, N168	168
EU/1/15/1058/020	Entresto	EU/1/15/1058/020	19-NOV-15	EMEA/H/C/004062	49 mg/51 mg	Film-coated tablet	49 mg/51 mg	PVC/PVDC blister, N196	196
EU/1/15/1058/021	Entresto	EU/1/15/1058/021	19-NOV-15	EMEA/H/C/004062	97 mg/103 mg	Film-coated tablet	97 mg/103 mg	PVC/PVDC blister, N168	168
EU/1/15/1058/022	Entresto	EU/1/15/1058/022	19-NOV-15	EMEA/H/C/004062	97 mg/103 mg	Film-coated tablet	97 mg/103 mg	PVC/PVDC blister, N196	196
EU/1/15/1058/023	Entresto	EU/1/15/1058/023	19-NOV-15	EMEA/H/C/004062	6 mg/6 mg	Granules in capsules for opening	6 mg/6 mg	Carton box, PA/Al/PVC blister, N60	60
EU/1/15/1058/024	Entresto	EU/1/15/1058/024	19-NOV-15	EMEA/H/C/004062	15 mg/16 mg	Granules in capsules for opening	15 mg/16 mg	Carton box, PA/Al/PVC blister, N60	60
