product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
18-0072-01	Salflumix Easyhaler 50 microgram/250 microgram/dose inhalation powder	18-0072	17-APR-18	SE/H/1692/001	50 µg/250 µg/dose	Inhalation powder	50 µg/250 µg/dose	Carton box, Inhaler, N1	1
18-0072-02	Salflumix Easyhaler 50 microgram/250 microgram/dose inhalation powder	18-0072	17-APR-18	SE/H/1692/001	50 µg/250 µg/dose	Inhalation powder	50 µg/250 µg/dose	Carton box, Inhaler, N2	2
18-0072-03	Salflumix Easyhaler 50 microgram/250 microgram/dose inhalation powder	18-0072	17-APR-18	SE/H/1692/001	50 µg/250 µg/dose	Inhalation powder	50 µg/250 µg/dose	Carton box, Inhaler, N3	3
18-0072-04	Salflumix Easyhaler 50 microgram/250 microgram/dose inhalation powder	18-0072	17-APR-18	SE/H/1692/001	50 µg/250 µg/dose	Inhalation powder	50 µg/250 µg/dose	Carton box, Inhaler and protective cover, N1	1
18-0072-05	Salflumix Easyhaler 50 microgram/250 microgram/dose inhalation powder	18-0072	17-APR-18	SE/H/1692/001	50 µg/250 µg/dose	Inhalation powder	50 µg/250 µg/dose	Carton box, Inhaler and protective cover, N2	2
18-0072-06	Salflumix Easyhaler 50 microgram/250 microgram/dose inhalation powder	18-0072	17-APR-18	SE/H/1692/001	50 µg/250 µg/dose	Inhalation powder	50 µg/250 µg/dose	Carton box, Inhaler and protective cover, N3	3
18-0073-01	Salflumix Easyhaler 50 microgram/500 microgram/dose inhalation powder	18-0073	17-APR-18	SE/H/1692/002	50 µg/500 µg/dose	Inhalation powder	50 µg/500 µg/dose	Carton box, Inhaler, N1	1
18-0073-02	Salflumix Easyhaler 50 microgram/500 microgram/dose inhalation powder	18-0073	17-APR-18	SE/H/1692/002	50 µg/500 µg/dose	Inhalation powder	50 µg/500 µg/dose	Carton box, Inhaler, N2	2
18-0073-03	Salflumix Easyhaler 50 microgram/500 microgram/dose inhalation powder	18-0073	17-APR-18	SE/H/1692/002	50 µg/500 µg/dose	Inhalation powder	50 µg/500 µg/dose	Carton box, Inhaler, N3	3
18-0073-04	Salflumix Easyhaler 50 microgram/500 microgram/dose inhalation powder	18-0073	17-APR-18	SE/H/1692/002	50 µg/500 µg/dose	Inhalation powder	50 µg/500 µg/dose	Carton box, Inhaler and protective cover, N1	1
18-0073-05	Salflumix Easyhaler 50 microgram/500 microgram/dose inhalation powder	18-0073	17-APR-18	SE/H/1692/002	50 µg/500 µg/dose	Inhalation powder	50 µg/500 µg/dose	Carton box, Inhaler and protective cover, N2	2
18-0073-06	Salflumix Easyhaler 50 microgram/500 microgram/dose inhalation powder	18-0073	17-APR-18	SE/H/1692/002	50 µg/500 µg/dose	Inhalation powder	50 µg/500 µg/dose	Carton box, Inhaler and protective cover, N3	3
