product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
EU/1/11/731/007	40231391	metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet	1043568		No RxNorm concept for immediate-release saxagliptin/metformin 1000 MG; only Extended Release exists in RxNorm (Kombiglyze XR)	metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Oral Tablet [Komboglyze]	2026-02-17
EU/1/11/731/008	40231391	metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet	1043568		No RxNorm concept for immediate-release saxagliptin/metformin 1000 MG; only Extended Release exists in RxNorm (Kombiglyze XR)	metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Oral Tablet [Komboglyze]	2026-02-17
EU/1/11/731/009	40231391	metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet	1043568		No RxNorm concept for immediate-release saxagliptin/metformin 1000 MG; only Extended Release exists in RxNorm (Kombiglyze XR)	metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Oral Tablet [Komboglyze]	2026-02-17
EU/1/11/731/010	40231391	metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet	1043568		No RxNorm concept for immediate-release saxagliptin/metformin 1000 MG; only Extended Release exists in RxNorm (Kombiglyze XR)	metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Oral Tablet [Komboglyze]	2026-02-17
EU/1/11/731/011	40231391	metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet	1043568		No RxNorm concept for immediate-release saxagliptin/metformin 1000 MG; only Extended Release exists in RxNorm (Kombiglyze XR)	metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Oral Tablet [Komboglyze]	2026-02-17
EU/1/11/731/012	40231391	metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet	1043568		No RxNorm concept for immediate-release saxagliptin/metformin 1000 MG; only Extended Release exists in RxNorm (Kombiglyze XR)	metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Oral Tablet [Komboglyze]	2026-02-17
EU/1/11/731/014	40231391	metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Extended Release Oral Tablet	1043568		No RxNorm concept for immediate-release saxagliptin/metformin 1000 MG; only Extended Release exists in RxNorm (Kombiglyze XR)	metformin hydrochloride 1000 MG / saxagliptin 2.5 MG Oral Tablet [Komboglyze]	2026-02-17
EU/1/11/731/001					No RxNorm concept for immediate-release saxagliptin/metformin 850 MG	metformin hydrochloride 850 MG / saxagliptin 2.5 MG Oral Tablet [Komboglyze]	2026-02-17
EU/1/11/731/002					No RxNorm concept for immediate-release saxagliptin/metformin 850 MG	metformin hydrochloride 850 MG / saxagliptin 2.5 MG Oral Tablet [Komboglyze]	2026-02-17
EU/1/11/731/003					No RxNorm concept for immediate-release saxagliptin/metformin 850 MG	metformin hydrochloride 850 MG / saxagliptin 2.5 MG Oral Tablet [Komboglyze]	2026-02-17
EU/1/11/731/004					No RxNorm concept for immediate-release saxagliptin/metformin 850 MG	metformin hydrochloride 850 MG / saxagliptin 2.5 MG Oral Tablet [Komboglyze]	2026-02-17
EU/1/11/731/005					No RxNorm concept for immediate-release saxagliptin/metformin 850 MG	metformin hydrochloride 850 MG / saxagliptin 2.5 MG Oral Tablet [Komboglyze]	2026-02-17
EU/1/11/731/006					No RxNorm concept for immediate-release saxagliptin/metformin 850 MG	metformin hydrochloride 850 MG / saxagliptin 2.5 MG Oral Tablet [Komboglyze]	2026-02-17
EU/1/11/731/013					No RxNorm concept for immediate-release saxagliptin/metformin 850 MG	metformin hydrochloride 850 MG / saxagliptin 2.5 MG Oral Tablet [Komboglyze]	2026-02-17
