product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/15/1083/001	Uptravi	EU/1/15/1083/001	12-MAY-16	EMEA/H/C/003774	200 μg	Film-coated tablet	200 µg	PA/AL/HDPE/PE/AL blister, N10	10
EU/1/15/1083/002	Uptravi	EU/1/15/1083/002	12-MAY-16	EMEA/H/C/003774	200 μg	Film-coated tablet	200 µg	PA/AL/HDPE/PE/AL blister, N60	60
EU/1/15/1083/003	Uptravi	EU/1/15/1083/003	12-MAY-16	EMEA/H/C/003774	200 μg	Film-coated tablet	200 µg	PA/AL/HDPE/PE/AL blister, N140	140
EU/1/15/1083/004	Uptravi	EU/1/15/1083/004	12-MAY-16	EMEA/H/C/003774	400 μg	Film-coated tablet	400 µg	PA/AL/HDPE/PE/AL blister, N60	60
EU/1/15/1083/005	Uptravi	EU/1/15/1083/005	12-MAY-16	EMEA/H/C/003774	600 μg	Film-coated tablet	600 µg	PA/AL/HDPE/PE/AL blister, N60	60
EU/1/15/1083/006	Uptravi	EU/1/15/1083/006	12-MAY-16	EMEA/H/C/003774	800 μg	Film-coated tablet	800 µg	PA/AL/HDPE/PE/AL blister, N60	60
EU/1/15/1083/007	Uptravi	EU/1/15/1083/007	12-MAY-16	EMEA/H/C/003774	1000 μg	Film-coated tablet	1000 µg	PA/AL/HDPE/PE/AL blister, N60	60
EU/1/15/1083/008	Uptravi	EU/1/15/1083/008	12-MAY-16	EMEA/H/C/003774	1200 μg	Film-coated tablet	1200 µg	PA/AL/HDPE/PE/AL blister, N60	60
EU/1/15/1083/009	Uptravi	EU/1/15/1083/009	12-MAY-16	EMEA/H/C/003774	1400 μg	Film-coated tablet	1400 µg	PA/AL/HDPE/PE/AL blister, N60	60
EU/1/15/1083/010	Uptravi	EU/1/15/1083/010	12-MAY-16	EMEA/H/C/003774	1600 μg	Film-coated tablet	1600 µg	PA/AL/HDPE/PE/AL blister, N60	60
EU/1/15/1083/011	Uptravi	EU/1/15/1083/011	12-MAY-16	EMEA/H/C/003774	200 μg	Film-coated tablet	200 µg	PA/AL/HDPE/PE/AL blister, N60	60
