product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
EU/1/18/1343/001	19012929	silodosin 4 MG Oral Capsule	826612	EXACT			2026-02-17
EU/1/18/1343/002	19012929	silodosin 4 MG Oral Capsule	826612	EXACT			2026-02-17
EU/1/18/1343/003	19012929	silodosin 4 MG Oral Capsule	826612	EXACT			2026-02-17
EU/1/18/1343/004	19012929	silodosin 4 MG Oral Capsule	826612	EXACT			2026-02-17
EU/1/18/1343/005	19012929	silodosin 4 MG Oral Capsule	826612	EXACT			2026-02-17
EU/1/18/1343/006	19012929	silodosin 4 MG Oral Capsule	826612	EXACT			2026-02-17
EU/1/18/1343/007	19132775	silodosin 8 MG Oral Capsule	809477	EXACT			2026-02-17
EU/1/18/1343/008	19132775	silodosin 8 MG Oral Capsule	809477	EXACT			2026-02-17
EU/1/18/1343/009	19132775	silodosin 8 MG Oral Capsule	809477	EXACT			2026-02-17
EU/1/18/1343/010	19132775	silodosin 8 MG Oral Capsule	809477	EXACT			2026-02-17
EU/1/18/1343/011	19132775	silodosin 8 MG Oral Capsule	809477	EXACT			2026-02-17
EU/1/18/1343/012	19132775	silodosin 8 MG Oral Capsule	809477	EXACT			2026-02-17
