product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
23-0009-01	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, OPA/Al/PVC/Al calendar blister, N14	14
23-0009-02	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, OPA/Al/PVC/Al calendar blister, N28	28
23-0009-03	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, OPA/Al/PVC/Al calendar blister, N56	56
23-0009-04	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, OPA/Al/PVC/Al calendar blister, N196	196
23-0009-05	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, OPA/Al/PVC/Al blister, N10	10
23-0009-06	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, OPA/Al/PVC/Al blister, N14	14
23-0009-07	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, OPA/Al/PVC/Al blister, N28	28
23-0009-08	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, OPA/Al/PVC/Al blister, N30	30
23-0009-09	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, OPA/Al/PVC/Al blister, N56	56
23-0009-10	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, OPA/Al/PVC/Al blister, N60	60
23-0009-11	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, OPA/Al/PVC/Al blister, N90	90
23-0009-12	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, OPA/Al/PVC/Al blister, N196	196
23-0009-13	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, OPA/Al/PVC/Al blister, N200	200
23-0009-14	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al calendar blister, N14	14
23-0009-15	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al calendar blister, N28	28
23-0009-16	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al calendar blister, N56	56
23-0009-17	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al calendar blister, N196	196
23-0009-18	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al blister, N10	10
23-0009-19	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al blister, N14	14
23-0009-20	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al blister, N28	28
23-0009-21	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al blister, N30	30
23-0009-22	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al blister, N56	56
23-0009-23	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al blister, N60	60
23-0009-24	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al blister, N90	90
23-0009-25	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al blister, N196	196
23-0009-26	Asigefort 50 mg/850 mg film-coated tablets	23-0009	20-JAN-23	SK/H/0285/001	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al blister, N200	200
23-0010-01	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, OPA/Al/PVC/Al calendar blister, N14	14
23-0010-02	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, OPA/Al/PVC/Al calendar blister, N28	28
23-0010-03	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, OPA/Al/PVC/Al calendar blister, N56	56
23-0010-04	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, OPA/Al/PVC/Al calendar blister, N196	196
23-0010-05	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, OPA/Al/PVC/Al blister, N10	10
23-0010-06	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, OPA/Al/PVC/Al blister, N14	14
23-0010-07	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, OPA/Al/PVC/Al blister, N28	28
23-0010-08	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, OPA/Al/PVC/Al blister, N30	30
23-0010-09	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, OPA/Al/PVC/Al blister, N56	56
23-0010-10	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, OPA/Al/PVC/Al blister, N60	60
23-0010-11	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, OPA/Al/PVC/Al blister, N90	90
23-0010-12	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, OPA/Al/PVC/Al blister, N196	196
23-0010-13	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, OPA/Al/PVC/Al blister, N200	200
23-0010-14	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al calendar blister, N14	14
23-0010-15	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al calendar blister, N28	28
23-0010-16	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al calendar blister, N56	56
23-0010-17	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al calendar blister, N196	196
23-0010-18	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al blister, N10	10
23-0010-19	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al blister, N14	14
23-0010-20	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al blister, N28	28
23-0010-21	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al blister, N30	30
23-0010-22	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al blister, N56	56
23-0010-23	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al blister, N60	60
23-0010-24	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al blister, N90	90
23-0010-25	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al blister, N196	196
23-0010-26	Asigefort 50 mg/1000 mg film-coated tablets	23-0010	20-JAN-23	SK/H/0285/002	50 mg/1000 mg	Film-coated tablet	50 mg/1000 mg	Carton box, PVC/PE/PVDC/PE/PVC/Al blister, N200	200
