product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/22/1661/001	Sitagliptin/Metformin Hydrochloride Accord	EU/1/22/1661/001		EMEA/H/C/005850	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVAC blister, N10	10
EU/1/22/1661/002	Sitagliptin/Metformin Hydrochloride Accord	EU/1/22/1661/002		EMEA/H/C/005850	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVDC/Al blister, N28	28
EU/1/22/1661/003	Sitagliptin/Metformin Hydrochloride Accord	EU/1/22/1661/003		EMEA/H/C/005850	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVDC/Al blister, N30	30
EU/1/22/1661/004	Sitagliptin/Metformin Hydrochloride Accord	EU/1/22/1661/004		EMEA/H/C/005850	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVDC/Al blister, N56	56
EU/1/22/1661/005	Sitagliptin/Metformin Hydrochloride Accord	EU/1/22/1661/005		EMEA/H/C/005850	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVDC/Al blister, N84	84
EU/1/22/1661/006	Sitagliptin/Metformin Hydrochloride Accord	EU/1/22/1661/006		EMEA/H/C/005850	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVDC/Al blister, N168	168
EU/1/22/1661/007	Sitagliptin/Metformin Hydrochloride Accord	EU/1/22/1661/007		EMEA/H/C/005850	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVDC/Al blister, N196	196
EU/1/22/1661/008	Sitagliptin/Metformin Hydrochloride Accord	EU/1/22/1661/008		EMEA/H/C/005850	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, PVC/PE/PVDC/Al blister, N200	200
EU/1/22/1661/009	Sitagliptin/Metformin Hydrochloride Accord	EU/1/22/1661/009		EMEA/H/C/005850	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, Al/Al blister, N10	10
EU/1/22/1661/010	Sitagliptin/Metformin Hydrochloride Accord	EU/1/22/1661/010		EMEA/H/C/005850	50 mg/850 mg	Film-coated tablet	50 mg/850 mg	Carton box, Al/Al blister, N28	28
