product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
25-0009-01	Sitagliptin GeneriNobel 25 mg film-coated tablets	25-0009	03-JAN-25	DE/H/7297/001	25 mg	Film-coated tablet	25 mg	Carton box, PVC/PE/PVDC/Al blister, N14	14
25-0009-02	Sitagliptin GeneriNobel 25 mg film-coated tablets	25-0009	03-JAN-25	DE/H/7297/001	25 mg	Film-coated tablet	25 mg	Carton box, PVC/PE/PVDC/Al blister, N28	28
25-0009-03	Sitagliptin GeneriNobel 25 mg film-coated tablets	25-0009	03-JAN-25	DE/H/7297/001	25 mg	Film-coated tablet	25 mg	Carton box, PVC/PE/PVDC/Al blister, N30	30
25-0009-04	Sitagliptin GeneriNobel 25 mg film-coated tablets	25-0009	03-JAN-25	DE/H/7297/001	25 mg	Film-coated tablet	25 mg	Carton box, PVC/PE/PVDC/Al blister, N56	56
25-0009-05	Sitagliptin GeneriNobel 25 mg film-coated tablets	25-0009	03-JAN-25	DE/H/7297/001	25 mg	Film-coated tablet	25 mg	Carton box, PVC/PE/PVDC/Al blister, N84	84
25-0009-06	Sitagliptin GeneriNobel 25 mg film-coated tablets	25-0009	03-JAN-25	DE/H/7297/001	25 mg	Film-coated tablet	25 mg	Carton box, PVC/PE/PVDC/Al blister, N90	90
25-0009-07	Sitagliptin GeneriNobel 25 mg film-coated tablets	25-0009	03-JAN-25	DE/H/7297/001	25 mg	Film-coated tablet	25 mg	Carton box, PVC/PE/PVDC/Al blister, N98	98
25-0009-08	Sitagliptin GeneriNobel 25 mg film-coated tablets	25-0009	03-JAN-25	DE/H/7297/001	25 mg	Film-coated tablet	25 mg	Carton box, PVC/PE/PVDC/Al perforated unit dose blister, N50	50
25-0010-01	Sitagliptin GeneriNobel 50 mg film-coated tablets	25-0010	03-JAN-25	DE/H/7297/002	50 mg	Film-coated tablet	50 mg	Carton box, PVC/PE/PVDC/Al blister, N14	14
25-0010-02	Sitagliptin GeneriNobel 50 mg film-coated tablets	25-0010	03-JAN-25	DE/H/7297/002	50 mg	Film-coated tablet	50 mg	Carton box, PVC/PE/PVDC/Al blister, N28	28
25-0010-03	Sitagliptin GeneriNobel 50 mg film-coated tablets	25-0010	03-JAN-25	DE/H/7297/002	50 mg	Film-coated tablet	50 mg	Carton box, PVC/PE/PVDC/Al blister, N30	30
25-0010-04	Sitagliptin GeneriNobel 50 mg film-coated tablets	25-0010	03-JAN-25	DE/H/7297/002	50 mg	Film-coated tablet	50 mg	Carton box, PVC/PE/PVDC/Al blister, N56	56
25-0010-05	Sitagliptin GeneriNobel 50 mg film-coated tablets	25-0010	03-JAN-25	DE/H/7297/002	50 mg	Film-coated tablet	50 mg	Carton box, PVC/PE/PVDC/Al blister, N84	84
25-0010-06	Sitagliptin GeneriNobel 50 mg film-coated tablets	25-0010	03-JAN-25	DE/H/7297/002	50 mg	Film-coated tablet	50 mg	Carton box, PVC/PE/PVDC/Al blister, N90	90
25-0010-07	Sitagliptin GeneriNobel 50 mg film-coated tablets	25-0010	03-JAN-25	DE/H/7297/002	50 mg	Film-coated tablet	50 mg	Carton box, PVC/PE/PVDC/Al blister, N98	98
25-0010-08	Sitagliptin GeneriNobel 50 mg film-coated tablets	25-0010	03-JAN-25	DE/H/7297/002	50 mg	Film-coated tablet	50 mg	Carton box, PVC/PE/PVDC/Al perforated unit dose blister, N50	50
25-0011-01	Sitagliptin GeneriNobel 100 mg film-coated tablets	25-0011	03-JAN-25	DE/H/7297/003	100 mg	Film-coated tablet	100 mg	Carton box, PVC/PE/PVDC/Al blister, N14	14
25-0011-02	Sitagliptin GeneriNobel 100 mg film-coated tablets	25-0011	03-JAN-25	DE/H/7297/003	100 mg	Film-coated tablet	100 mg	Carton box, PVC/PE/PVDC/Al blister, N28	28
25-0011-03	Sitagliptin GeneriNobel 100 mg film-coated tablets	25-0011	03-JAN-25	DE/H/7297/003	100 mg	Film-coated tablet	100 mg	Carton box, PVC/PE/PVDC/Al blister, N30	30
25-0011-04	Sitagliptin GeneriNobel 100 mg film-coated tablets	25-0011	03-JAN-25	DE/H/7297/003	100 mg	Film-coated tablet	100 mg	Carton box, PVC/PE/PVDC/Al blister, N56	56
25-0011-05	Sitagliptin GeneriNobel 100 mg film-coated tablets	25-0011	03-JAN-25	DE/H/7297/003	100 mg	Film-coated tablet	100 mg	Carton box, PVC/PE/PVDC/Al blister, N84	84
25-0011-06	Sitagliptin GeneriNobel 100 mg film-coated tablets	25-0011	03-JAN-25	DE/H/7297/003	100 mg	Film-coated tablet	100 mg	Carton box, PVC/PE/PVDC/Al blister, N90	90
25-0011-07	Sitagliptin GeneriNobel 100 mg film-coated tablets	25-0011	03-JAN-25	DE/H/7297/003	100 mg	Film-coated tablet	100 mg	Carton box, PVC/PE/PVDC/Al blister, N98	98
25-0011-08	Sitagliptin GeneriNobel 100 mg film-coated tablets	25-0011	03-JAN-25	DE/H/7297/003	100 mg	Film-coated tablet	100 mg	Carton box, PVC/PE/PVDC/Al perforated unit dose blister, N50	50
