product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/21/1598/001	Sitagliptin SUN	EU/1/21/1598/001	09-DEC-21	EMEA/H/C/005741	25 mg	Film-coated tablet	25 mg	PA/AL/PE/desiccant/HDPE blister, N28	28
EU/1/21/1598/002	Sitagliptin SUN	EU/1/21/1598/002	09-DEC-21	EMEA/H/C/005741	25 mg	Film-coated tablet	25 mg	PA/AL/PE/desiccant/HDPE blister, N56	56
EU/1/21/1598/003	Sitagliptin SUN	EU/1/21/1598/003	09-DEC-21	EMEA/H/C/005741	25 mg	Film-coated tablet	25 mg	PA/AL/PE/desiccant/HDPE blister, N98	98
EU/1/21/1598/004	Sitagliptin SUN	EU/1/21/1598/004	09-DEC-21	EMEA/H/C/005741	25 mg	Film-coated tablet	25 mg	HDPE bottle, N90	90
EU/1/21/1598/005	Sitagliptin SUN	EU/1/21/1598/005	09-DEC-21	EMEA/H/C/005741	50 mg	Film-coated tablet	50 mg	PA/AL/PE/desiccant/HDPE blister, N28	28
EU/1/21/1598/006	Sitagliptin SUN	EU/1/21/1598/006	09-DEC-21	EMEA/H/C/005741	50 mg	Film-coated tablet	50 mg	PA/AL/PE/desiccant/HDPE blister, N56	56
EU/1/21/1598/007	Sitagliptin SUN	EU/1/21/1598/007	09-DEC-21	EMEA/H/C/005741	50 mg	Film-coated tablet	50 mg	PA/AL/PE/desiccant/HDPE blister, N98	98
EU/1/21/1598/008	Sitagliptin SUN	EU/1/21/1598/008	09-DEC-21	EMEA/H/C/005741	50 mg	Film-coated tablet	50 mg	HDPE bottle, N90	90
EU/1/21/1598/009	Sitagliptin SUN	EU/1/21/1598/009	09-DEC-21	EMEA/H/C/005741	100 mg	Film-coated tablet	100 mg	PA/AL/PE/desiccant/HDPE blister, N28	28
EU/1/21/1598/010	Sitagliptin SUN	EU/1/21/1598/010	09-DEC-21	EMEA/H/C/005741	100 mg	Film-coated tablet	100 mg	PA/AL/PE/desiccant/HDPE blister, N56	56
EU/1/21/1598/011	Sitagliptin SUN	EU/1/21/1598/011	09-DEC-21	EMEA/H/C/005741	100 mg	Film-coated tablet	100 mg	PA/AL/PE/desiccant/HDPE blister, N98	98
EU/1/21/1598/012	Sitagliptin SUN	EU/1/21/1598/012	09-DEC-21	EMEA/H/C/005741	100 mg	Film-coated tablet	100 mg	HDPE bottle, N90	90
