product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
19-0014-01	1363389	sorafenib 200 MG Oral Tablet	597747	EXACT			2026-03-22
19-0014-02	1363389	sorafenib 200 MG Oral Tablet	597747	EXACT			2026-03-22
19-0014-03	1363389	sorafenib 200 MG Oral Tablet	597747	EXACT			2026-03-22
19-0014-04	1363389	sorafenib 200 MG Oral Tablet	597747	EXACT			2026-03-22
19-0014-05	1363389	sorafenib 200 MG Oral Tablet	597747	EXACT			2026-03-22
19-0014-06	1363389	sorafenib 200 MG Oral Tablet	597747	EXACT			2026-03-22
19-0014-07	1363389	sorafenib 200 MG Oral Tablet	597747	EXACT			2026-03-22
19-0014-08	1363389	sorafenib 200 MG Oral Tablet	597747	EXACT			2026-03-22
19-0014-09	1363389	sorafenib 200 MG Oral Tablet	597747	EXACT			2026-03-22
19-0014-10	1363389	sorafenib 200 MG Oral Tablet	597747	EXACT			2026-03-22
