product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
EU/1/98/091/001	Kinzalmono	EU/1/98/091/001	16-DEC-98	EMEA/H/C/000211	40 mg	Tablet	40 mg	Carton box, PA/Al/PVC blister, N14	14
EU/1/98/091/002	Kinzalmono	EU/1/98/091/002	16-DEC-98	EMEA/H/C/000211	40 mg	Tablet	40 mg	Carton box, PA/Al/PVC blister, N28	28
EU/1/98/091/003	Kinzalmono	EU/1/98/091/003	16-DEC-98	EMEA/H/C/000211	40 mg	Tablet	40 mg	Carton box, PA/Al/PVC blister, N56	56
EU/1/98/091/004	Kinzalmono	EU/1/98/091/004	16-DEC-98	EMEA/H/C/000211	40 mg	Tablet	40 mg	Carton box, PA/Al/PVC blister, N98	98
EU/1/98/091/005	Kinzalmono	EU/1/98/091/005	16-DEC-98	EMEA/H/C/000211	80 mg	Tablet	80 mg	Carton box, PA/Al/PVC blister, N14	14
EU/1/98/091/006	Kinzalmono	EU/1/98/091/006	16-DEC-98	EMEA/H/C/000211	80 mg	Tablet	80 mg	Carton box, PA/Al/PVC blister, N28	28
EU/1/98/091/007	Kinzalmono	EU/1/98/091/007	16-DEC-98	EMEA/H/C/000211	80 mg	Tablet	80 mg	Carton box, PA/Al/PVC blister, N56	56
EU/1/98/091/008	Kinzalmono	EU/1/98/091/008	16-DEC-98	EMEA/H/C/000211	80 mg	Tablet	80 mg	Carton box, PA/Al/PVC blister, N98	98
EU/1/98/091/009	Kinzalmono	EU/1/98/091/009	07-SEP-99	EMEA/H/C/000211	20 mg	Tablet	20 mg	Carton box, PA/Al/PVC blister, N14	14
EU/1/98/091/010	Kinzalmono	EU/1/98/091/010	07-SEP-99	EMEA/H/C/000211	20 mg	Tablet	20 mg	Carton box, PA/Al/PVC blister, N28	28
EU/1/98/091/011	Kinzalmono	EU/1/98/091/011	07-SEP-99	EMEA/H/C/000211	20 mg	Tablet	20 mg	Carton box, PA/Al/PVC blister, N56	56
EU/1/98/091/012	Kinzalmono	EU/1/98/091/012	07-SEP-99	EMEA/H/C/000211	20 mg	Tablet	20 mg	Carton box, PA/Al/PVC blister, N98	98
EU/1/98/091/013	Kinzalmono	EU/1/98/091/013	19-OCT-01	EMEA/H/C/000211	40 mg	Tablet	40 mg	Carton box, PA/Al/PVC blister, N28	28
EU/1/98/091/014	Kinzalmono	EU/1/98/091/014	19-OCT-01	EMEA/H/C/000211	80 mg	Tablet	80 mg	Carton box, PA/Al/PVC blister, N28	28
