product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
20-0161-01	Atixarso 60 mg film-coated tablets	20-0161	05-SEP-25	HU/H/0662/001	60 mg	Film-coated tablet	60 mg	Carton box, PVC/PVDC/Al blister, N14	14
20-0161-02	Atixarso 60 mg film-coated tablets	20-0161	05-SEP-25	HU/H/0662/001	60 mg	Film-coated tablet	60 mg	Carton box, PVC/PVDC/Al blister, N56	56
20-0161-03	Atixarso 60 mg film-coated tablets	20-0161	05-SEP-25	HU/H/0662/001	60 mg	Film-coated tablet	60 mg	Carton box, PVC/PVDC/Al blister, N60	60
20-0161-04	Atixarso 60 mg film-coated tablets	20-0161	05-SEP-25	HU/H/0662/001	60 mg	Film-coated tablet	60 mg	Carton box, PVC/PVDC/Al blister, N168	168
20-0161-05	Atixarso 60 mg film-coated tablets	20-0161	05-SEP-25	HU/H/0662/001	60 mg	Film-coated tablet	60 mg	Carton box, PVC/PVDC/Al blister, N180	180
20-0162-01	Atixarso 90 mg film-coated tablets	20-0162	05-SEP-25	HU/H/0662/002	90 mg	Film-coated tablet	90 mg	Carton box, PVC/PVDC/Al blister, N14	14
20-0162-02	Atixarso 90 mg film-coated tablets	20-0162	05-SEP-25	HU/H/0662/002	90 mg	Film-coated tablet	90 mg	Carton box, PVC/PVDC/Al blister, N56	56
20-0162-03	Atixarso 90 mg film-coated tablets	20-0162	05-SEP-25	HU/H/0662/002	90 mg	Film-coated tablet	90 mg	Carton box, PVC/PVDC/Al blister, N60	60
20-0162-04	Atixarso 90 mg film-coated tablets	20-0162	05-SEP-25	HU/H/0662/002	90 mg	Film-coated tablet	90 mg	Carton box, PVC/PVDC/Al blister, N100	100
20-0162-05	Atixarso 90 mg film-coated tablets	20-0162	05-SEP-25	HU/H/0662/002	90 mg	Film-coated tablet	90 mg	Carton box, PVC/PVDC/Al blister, N168	168
20-0162-06	Atixarso 90 mg film-coated tablets	20-0162	05-SEP-25	HU/H/0662/002	90 mg	Film-coated tablet	90 mg	Carton box, PVC/PVDC/Al blister, N180	180
