product_id	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
24-0100-01	46287538	ticagrelor 60 MG Oral Tablet	1666332				
24-0100-02	46287538	ticagrelor 60 MG Oral Tablet	1666332				
24-0100-03	46287538	ticagrelor 60 MG Oral Tablet	1666332				
24-0100-04	46287538	ticagrelor 60 MG Oral Tablet	1666332				
24-0100-05	46287538	ticagrelor 60 MG Oral Tablet	1666332				
24-0101-01	40241188	ticagrelor 90 MG Oral Tablet	1116635				
24-0101-02	40241188	ticagrelor 90 MG Oral Tablet	1116635				
24-0101-03	40241188	ticagrelor 90 MG Oral Tablet	1116635				
24-0101-04	40241188	ticagrelor 90 MG Oral Tablet	1116635				
24-0101-05	40241188	ticagrelor 90 MG Oral Tablet	1116635				
