product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
05-0268-01	Tobrex 3 mg/g eye ointment	05-0268	20-JUL-05	05-0268	3 mg/g	Eye ointment	10,5 mg/3,5 g	Carton, Tube, N1	1
99-1060-01	Tobrex 3 mg/ml eye drops, solution	99-1060	28-DEC-99	99-1060	3 mg/ml	Eye drops, solution	15 mg/5 ml	Carton, Vial, N1	1
I000596-01	Tobrex 0,3% eye ointment	I000596	11-SEP-15	I000596-001	3 mg/g	Eye ointment	10,5 mg/3,5 g	Carton, Tube, N1	1
I000942-01	Tobrex 3 mg/ml eye drops, solution	I000942	12-APR-18	I000942-001	3 mg/ml	Eye drops, solution	15 mg/5 ml	Carton, Vial, N1	1
I000959-01	Tobrex 0.3% eye drops, solution	I000959	11-MAY-18	I000959-001	3 mg/ml	Eye drops, solution	15 mg/5 ml	Carton, Vial, N1	1
I001160-01	Tobrex 3 mg/g eye ointment	I001160	17-FEB-20	I001160-001	3 mg/g	Eye ointment	10,5 mg/3,5 g	Carton box, Tube, N1	1
I001717-01	TOBREX 3 mg/ml eye drops, solution	I001717	10-MAR-25	I001717-001	3 mg/ml	Eye drops, solution	15 mg/5 ml	Carton box, Vial, N1	1
I001796-01	Tobrex 0.3% eye drops, solution	I001796	07-NOV-25	I001796-001	3 mg/ml	Eye drops, solution	15 mg/5 ml	Carton box, Vial, N1	1
I001805-01	TOBREX 3 mg/ml eye drops, solution	I001805	27-NOV-25	I001805-001	3 mg/ml	Eye drops, solution	15 mg/5 ml	Carton, Vial, N1	1
I001845-01	Tobrex 3 mg/g eye ointment	I001845	14-APR-26	I001845-001	3 mg/g	Eye ointment	10,5 mg/3,5 g	Carton, Tube, N1	1
