product_id	original_name	authorisation_no	date_of_authorisation	inter_code	strength	pharmaceutical_form	product_strength	package_en	package_size
05-0424-01	Zolsana 10 mg coated tablets	05-0424	19-OCT-05	EE/H/0369/002	10 mg	Coated tablet	10 mg	PVDC/PE/PVC/Al blister, N10	10
05-0424-02	Zolsana 10 mg coated tablets	05-0424	19-OCT-05	EE/H/0369/002	10 mg	Coated tablet	10 mg	PVDC/PE/PVC/Al blister, N20	20
05-0424-03	Zolsana 10 mg coated tablets	05-0424	19-OCT-05	EE/H/0369/002	10 mg	Coated tablet	10 mg	PVDC/PE/PVC/Al blister, N14	14
05-0424-04	Zolsana 10 mg coated tablets	05-0424	19-OCT-05	EE/H/0369/002	10 mg	Coated tablet	10 mg	PVDC/PE/PVC/Al blister, N15	15
05-0424-05	Zolsana 10 mg coated tablets	05-0424	19-OCT-05	EE/H/0369/002	10 mg	Coated tablet	10 mg	PVDC/PE/PVC/Al blister, N28	28
05-0424-06	Zolsana 10 mg coated tablets	05-0424	19-OCT-05	EE/H/0369/002	10 mg	Coated tablet	10 mg	PVDC/PE/PVC/Al blister, N30	30
05-0424-07	Zolsana 10 mg coated tablets	05-0424	19-OCT-05	EE/H/0369/002	10 mg	Coated tablet	10 mg	PVDC/PE/PVC/Al blister, N50	50
05-0424-08	Zolsana 10 mg coated tablets	05-0424	19-OCT-05	EE/H/0369/002	10 mg	Coated tablet	10 mg	PVDC/PE/PVC/Al blister, N100	100
05-0424-09	Zolsana 10 mg coated tablets	05-0424	19-OCT-05	EE/H/0369/002	10 mg	Coated tablet	10 mg	HDPE bottle, N30	30
05-0424-10	Zolsana 10 mg coated tablets	05-0424	19-OCT-05	EE/H/0369/002	10 mg	Coated tablet	10 mg	HDPE bottle, N100	100
05-0424-11	Zolsana 10 mg coated tablets	05-0424	19-OCT-05	EE/H/0369/002	10 mg	Coated tablet	10 mg	HDPE bottle, N500	500
