cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
711415	81012	19122306	abacavir 600 MG / lamivudine 300 MG Oral Tablet	602393				
712262	81176	19122306	abacavir 600 MG / lamivudine 300 MG Oral Tablet	602393				
715527	81926	19122306	abacavir 600 MG / lamivudine 300 MG Oral Tablet	602393				
719707	82591	19122306	abacavir 600 MG / lamivudine 300 MG Oral Tablet	602393				
721596	83074	19122306	abacavir 600 MG / lamivudine 300 MG Oral Tablet	602393				
725917	84182	19122306	abacavir 600 MG / lamivudine 300 MG Oral Tablet	602393				
725918	84182	19122306	abacavir 600 MG / lamivudine 300 MG Oral Tablet	602393				
730479	85810	19122306	abacavir 600 MG / lamivudine 300 MG Oral Tablet	602393				
730480	85810	19122306	abacavir 600 MG / lamivudine 300 MG Oral Tablet	602393				
733207	86488	19122306	abacavir 600 MG / lamivudine 300 MG Oral Tablet	602393				
733208	86488	19122306	abacavir 600 MG / lamivudine 300 MG Oral Tablet	602393				
