cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
604450	62736	1703687	acyclovir	281	BROAD			
606913	62297	1703743	acyclovir 800 MG Oral Tablet	197313				
606921	62298	1703745	acyclovir 200 MG Oral Tablet	199524				
607384	81361	1703836	acyclovir 50 MG/ML Injectable Solution	313812	EXACT			
611913	62294	1703745	acyclovir 200 MG Oral Tablet	199524				
611988	62295	1703743	acyclovir 800 MG Oral Tablet	197313				
625525	65238	1703836	acyclovir 50 MG/ML Injectable Solution	313812	EXACT			
650227	62294	1703745	acyclovir 200 MG Oral Tablet	199524				
650228	62295	1703743	acyclovir 800 MG Oral Tablet	197313				
652075	67012	1703743	acyclovir 800 MG Oral Tablet	197313				
653280	62128	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
653288	62128	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
658190	68296	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
658465	68463	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
658466	68463	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
658914	62127	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
659885	63530	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
665331	63530	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
682682	62741	1703687	acyclovir	281	BROAD			
705668	61721	1703745	acyclovir 200 MG Oral Tablet	199524				
705669	61722	1703743	acyclovir 800 MG Oral Tablet	197313				
706363	56780	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
713422	81361	1703836	acyclovir 50 MG/ML Injectable Solution	313812	EXACT			
719676	82577	1703745	acyclovir 200 MG Oral Tablet	199524				
719677	82578	1703743	acyclovir 800 MG Oral Tablet	197313				
726290	84316	1703745	acyclovir 200 MG Oral Tablet	199524				
726291	84317	1703743	acyclovir 800 MG Oral Tablet	197313				
726759	84468	1703745	acyclovir 200 MG Oral Tablet	199524				
727853	84832	1703744	acyclovir 0.03 MG/MG Ophthalmic Ointment	199413	EXACT			
728460	85061	1703743	acyclovir 800 MG Oral Tablet	197313				
728804	85183	1703744	acyclovir 0.03 MG/MG Ophthalmic Ointment	199413	EXACT			
729053	62298	1703745	acyclovir 200 MG Oral Tablet	199524				
729095	62297	1703743	acyclovir 800 MG Oral Tablet	197313				
729103	62127	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
731064	85222	19061193	acyclovir 25 MG/ML Injectable Solution	248108				
741306	56970	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
758823	88229	1703745	acyclovir 200 MG Oral Tablet	199524				
758824	88230	1703743	acyclovir 800 MG Oral Tablet	197313				
760579	62478	1703687	acyclovir	281	BROAD			
764796	67012	1703743	acyclovir 800 MG Oral Tablet	197313				
806687	62685	1703745	acyclovir 200 MG Oral Tablet	199524				
807024	62686	1703743	acyclovir 800 MG Oral Tablet	197313				
815407	62736	1703687	acyclovir	281	BROAD			
815563	62737	1703687	acyclovir	281	BROAD			
815621	62738	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
815639	62738	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
815647	62739	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
815993	62739	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
816165	62740	1703687	acyclovir	281	BROAD			
817585	62751	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
817718	62751	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
850586	62881	1703687	acyclovir	281	BROAD			
855080	63759	1703745	acyclovir 200 MG Oral Tablet	199524				
856369	63760	1703743	acyclovir 800 MG Oral Tablet	197313				
875708	65490	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
875716	65490	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
884304	59226	19002897	acyclovir 80 MG/ML Oral Suspension	103859	EXACT			
884312	59226	19002897	acyclovir 80 MG/ML Oral Suspension	103859	EXACT			
902650	63333	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
902668	63333	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
909432	62882	1703687	acyclovir	281	BROAD			
937771	63444	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
937789	63444	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
966333	56779	1703687	acyclovir	281	BROAD			
966341	56780	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
969659	56780	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
999756	56970	1703869	acyclovir 50 MG/ML Topical Cream [Zovirax]	825321	EXACT			
