cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
605120	40498	BIOPLAK 125 mg COMPRIMIDOS	Ácido acetilsalicílico 125 mg comprimido	125 mg	Blister	500	comprimido	ACETILSALICILICO ACIDO 125 mg	VÍA ORAL	COMPRIMIDO	1	B01AC06 - Acido acetilsalicilico	LABORATORIOS ERN S.A.	1965-02-01	0	2014-05-01	Autorizado	1965-02-01	1	0	0	0
605913	76223	ACIDO ACETILSALICILICO KERN PHARMA 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	500	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	KERN PHARMA S.L.	2012-07-20	1	2012-10-17	Autorizado	2012-07-20	1	0	0	0
605990	62825	ADIRO 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	500	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	BAYER HISPANIA S.L.	1999-12-10	0	2019-06-28	Autorizado	2012-08-07	1	0	0	0
605991	62824	ADIRO 300MG comprimidos gastrorresistentes EFG	Ácido acetilsalicílico 300 mg comprimido	300 mg	Blister	500	comprimido	ACETILSALICILICO ACIDO 300 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	BAYER HISPANIA S.L.	1999-12-10	0	2025-03-18	Anulado	2025-03-18	1	0	0	0
606126	77483	ACIDO ACETILSALICILICO PENSA 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	500	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	TOWA PHARMACEUTICAL S.A.	2013-04-30	0	2014-02-19	Autorizado	2013-04-30	1	0	0	0
607110	62825	ADIRO 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	100	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	BAYER HISPANIA S.L.	1999-12-10	1	2019-06-13	Autorizado	2012-08-07	1	0	0	0
640144	58791	TROMALYT 300, CAPSULAS DURAS DE LIBERACION PROLONGADA	Ácido acetilsalicílico 300 mg cápsula liberación modificada	300 mg	Blister	500	cápsula	ACETILSALICILICO ACIDO 300 mg	VÍA ORAL	CÁPSULA DURA DE LIBERACIÓN PROLONGADA	1	B01AC06 - Acido acetilsalicilico	VIATRIS HEALTHCARE LIMITED	1990-07-01	0	2025-07-31	Autorizado	1990-07-01	1	0	0	0
642793	59210	TROMALYT 150, CAPSULAS DURAS DE LIBERACION PROLONGADA	Ácido acetilsalicílico 150 mg cápsula liberación modificada	150 mg	Blister	500	cápsula	ACETILSALICILICO ACIDO 150 mg	VÍA ORAL	CÁPSULA DURA DE LIBERACIÓN PROLONGADA	1	B01AC06 - Acido acetilsalicilico	VIATRIS HEALTHCARE LIMITED	1992-05-01	1	2026-02-15	Autorizado	1992-05-01	1	0	0	0
654571	67875	ASPIRINA 500 mg GRANULADO	Ácido acetilsalicílico 500 mg solución/suspensión oral sobre	500 mg	Sobre	10	sobre	ACETILSALICILICO ACIDO 500 mg	VÍA ORAL	GRANULADO	1	N02BA01 - Acido acetilsalicilico	BAYER HISPANIA S.L.	2006-06-19	1	2011-10-11	Autorizado	2006-06-19	0	0	0	0
660370	67268	ASPIRINA 500 mg COMPRIMIDOS EFERVESCENTES	Ácido acetilsalicílico 500 mg comprimido efervescente	500 mg	Tiras	20	comprimido	ACETILSALICILICO ACIDO 500 mg	VÍA ORAL	COMPRIMIDO EFERVESCENTE	1	N02BA01 - Acido acetilsalicilico	BAYER HISPANIA S.L.	2005-11-23	1	2011-10-11	Autorizado	2005-11-23	0	0	0	0
661523	67875	ASPIRINA 500 mg GRANULADO	Ácido acetilsalicílico 500 mg solución/suspensión oral sobre	500 mg	Sobre	20	sobre	ACETILSALICILICO ACIDO 500 mg	VÍA ORAL	GRANULADO	1	N02BA01 - Acido acetilsalicilico	BAYER HISPANIA S.L.	2006-06-19	1	2011-10-11	Autorizado	2006-06-19	0	0	0	0
672099	40499	BIOPLAK 250 mg COMPRIMIDOS	Ácido acetilsalicílico 250 mg comprimido	250 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 250 mg	VÍA ORAL	COMPRIMIDO	1	B01AC06 - Acido acetilsalicilico	LABORATORIOS ERN S.A.	1965-02-01	1	2011-09-09	Autorizado	1965-02-01	1	0	0	0
672976	40498	BIOPLAK 125 mg COMPRIMIDOS	Ácido acetilsalicílico 125 mg comprimido	125 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 125 mg	VÍA ORAL	COMPRIMIDO	1	B01AC06 - Acido acetilsalicilico	LABORATORIOS ERN S.A.	1965-02-01	1	2011-09-09	Autorizado	1965-02-01	1	0	0	0
681342	74266	ACIDO ACETILSALICILICO CINFA 100 mg COMPRIMIDOS GASTRORRESISTENTES EFG	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	LABORATORIOS CINFA S.A.	2011-06-17	0	2022-11-28	Suspenso	2024-10-11	1	0	0	0
681372	74275	ACIDO ACETILSALICILICO AUROVITAS SPAIN 100 mg COMPRIMIDOS GASTRORRESISTENTES	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	AUROVITAS SPAIN, S.A.U.	2011-11-17	1	2012-10-22	Autorizado	2011-11-17	1	0	0	0
686580	42991	A.A.S. 100 mg COMPRIMIDOS	Ácido acetilsalicílico 100 mg comprimido	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO	1	B01AC06 - Acido acetilsalicilico	LABORATORIO STADA S.L.	1966-04-01	1	2012-10-11	Autorizado	1966-04-01	1	0	0	0
692274	76223	ACIDO ACETILSALICILICO KERN PHARMA 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	KERN PHARMA S.L.	2012-07-20	1	2012-10-17	Autorizado	2012-07-20	1	0	0	0
692309	76237	ACIDO ACETILSALICILICO STADA 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	LABORATORIO STADA S.L.	2012-07-20	1	2012-10-25	Autorizado	2012-07-20	1	0	0	0
692432	76287	ACIDO ACETILSALICILICO CINFAMED 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	LABORATORIOS CINFA S.A.	2012-07-31	1	2022-06-06	Autorizado	2012-07-31	1	0	0	0
697897	77482	ACIDO ACETILSALICILICO RATIO 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	TEVA PHARMA S.L.U.	2013-04-30	1	2013-12-18	Autorizado	2013-04-30	1	0	0	0
697898	77483	ACIDO ACETILSALICILICO PENSA 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	TOWA PHARMACEUTICAL S.A.	2013-04-30	1	2013-11-04	Autorizado	2013-04-30	1	0	0	0
697899	77484	ACIDO ACETILSALICILICO MYLAN 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	MYLAN PHARMACEUTICALS S.L.	2013-04-30	0	2025-09-03	Anulado	2025-09-03	1	0	0	0
697900	77485	ACIDO ACETILSALICILICO TEVA 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	TEVA PHARMA S.L.U.	2013-04-30	1	2013-10-11	Autorizado	2013-04-30	1	0	0	0
700340	78184	ACIDO ACETILSALICILICO FARMALIDER 75 MG COMPRIMIDOS GASTRORRESISTENTES	Ácido acetilsalicílico 75 mg comprimido	75 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 75 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	FARMALIDER S.A.	2013-11-14	1	2021-12-21	Autorizado	2013-11-14	1	0	0	0
700693	42956	A.A.S. 500 mg COMPRIMIDOS	Ácido acetilsalicílico 500 mg comprimido	500 mg	Blister	20	comprimido	ACETILSALICILICO ACIDO 500 mg	VÍA ORAL	COMPRIMIDO	1	N02BA01 - Acido acetilsalicilico	LABORATORIO STADA S.L.	1966-04-01	1	2011-06-09	Autorizado	1966-04-01	0	0	0	0
704983	79464	ACIDO ACETILSALICILICO ACCORD 100 MG COMPRIMIDOS GASTRORRESISTENTES	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	CÁPSULA GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	ACCORD HEALTHCARE S.L.U.	2015-02-02	0	2023-09-29	Anulado	2023-09-29	1	0	0	0
710265	80714	ACIDO ACETILSALICILICO ARISTO 100 MG COMPRIMIDOS GASTRORRESISTENTES	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	ARISTO PHARMA IBERIA S.L.	2016-03-07	1	2016-05-12	Autorizado	2016-03-07	1	0	0	0
710266	80714	ACIDO ACETILSALICILICO ARISTO 100 MG COMPRIMIDOS GASTRORRESISTENTES	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	100	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	ARISTO PHARMA IBERIA S.L.	2016-03-07	1	2016-11-03	Autorizado	2016-03-07	1	0	0	0
712511	81214	ACIDO ACETILSALICILICO TARBIS 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	TARBIS FARMA S.L.	2016-09-19	1	2017-04-10	Autorizado	2016-09-20	1	0	0	0
712512	81215	ACIDO ACETILSALICILICO LIDERFEN 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	FARMALIDER S.A.	2016-09-19	1	2021-02-04	Autorizado	2016-09-20	1	0	0	0
712513	81216	ACIDO ACETILSALICILICO ALTER 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	LABORATORIOS ALTER S.A.	2016-09-19	1	2018-09-03	Autorizado	2016-09-20	1	0	0	0
712786	2011	ASPIRINA 500 mg COMPRIMIDOS	Ácido acetilsalicílico 500 mg comprimido	500 mg	Blister	20	comprimido	ACETILSALICILICO ACIDO 500 mg	VÍA ORAL	COMPRIMIDO	1	N02BA01 - Acido acetilsalicilico	BAYER HISPANIA S.L.	1922-07-01	1	2011-10-11	Autorizado	1922-07-01	0	0	0	0
712884	95-0312	ASPIRINA 500MG COMPRIMIDOS	Ácido acetilsalicílico 500 mg comprimido	500 mg	Blister	20	comprimido	ACETILSALICILICO ACIDO 500 mg	VÍA ORAL	COMPRIMIDO	1	N02BA01 - Acido acetilsalicilico	BAYER UAB	2016-10-10	1	2017-05-11	Autorizado	2016-10-11	0	0	0	0
715018	81793	ACIDO ACETILSALICILICO KRKA 100 MG COMPRIMIDOS GASTRORRESISTENTES	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	KRKA D.D. NOVO MESTO	2017-02-22	1	2017-07-07	Autorizado	2017-02-23	1	0	0	0
715020	81795	BARTAL 100 MG COMPRIMIDOS GASTRORRESISTENTES	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	KRKA D.D. NOVO MESTO	2017-02-22	0	2024-01-02	Anulado	2024-01-02	1	0	0	0
723798	62825	ADIRO 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	BAYER HISPANIA S.L.	1999-12-10	1	2018-11-12	Autorizado	2012-08-07	1	0	0	0
731447	86129	ACIDO ACETILSALICILICO VIATRIS 100 MG COMPRIMIDOS GASTRORRESISTENTES	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	VIATRIS LIMITED	2021-08-05	1	2022-05-12	Autorizado	2021-08-06	1	0	0	0
733224	86705	ACIDO ACETILSALICILICO TECNIGEN 100 MG COMPRIMIDOS GASTRORRESISTENTES	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.	2022-03-28	1	2022-03-30	Autorizado	2022-03-29	1	0	0	0
751933	62828	ÁCIDO ACETILSALICÍLICO BAYFARMA 100 mg COMPRIMIDOS GASTRORRESISTENTES	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	BAYER HISPANIA S.L.	1999-12-10	0	2023-12-15	Anulado	2023-12-15	1	0	0	0
752253	62826	ÁCIDO ACETILSALICÍLICO BAYFARMA 300 mg COMPRIMIDOS GASTRORRESISTENTES	Ácido acetilsalicílico 300 mg comprimido	300 mg	Blister	30	comprimido	ACETILSALICILICO ACIDO 300 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	BAYER HISPANIA S.L.	1999-12-10	0	2023-12-15	Anulado	2023-12-15	1	0	0	0
763744	81214	ACIDO ACETILSALICILICO TARBIS 100 MG COMPRIMIDOS GASTRORRESISTENTES EFG	Ácido acetilsalicílico 100 mg comprimido gastrorresistente	100 mg	Blister	100	comprimido	ACETILSALICILICO ACIDO 100 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	B01AC06 - Acido acetilsalicilico	TARBIS FARMA S.L.	2016-09-19	1	2026-02-04	Autorizado	2016-09-20	1	0	0	0
