cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
656746	05310002	FOSAVANCE 70 MG/2.800 UI COMPRIMIDOS	Ácido alendrónico/Colecalciferol 70 mg/2.800 UI comprimido	70 mg/2.800 UI	Blister	4	comprimido	ALENDRONICO ACIDO 70 mg|COLECALCIFEROL 2800 UI	VÍA ORAL	COMPRIMIDO	2	M05BB03 - Acido alendronico y colecalciferol	ORGANON N.V.	2005-09-05	1	2011-03-21	Autorizado	2005-09-05	1	0	0	0
658667	06364002	ADROVANCE 70 MG/2.800 UI COMPRIMIDOS	Ácido alendrónico/Colecalciferol 70 mg/2.800 UI comprimido	70 mg/2.800 UI	Blister	4	comprimido	ALENDRONATO SODIO TRIHIDRATO 70 mg|COLECALCIFEROL 2800 UI	VÍA ORAL	COMPRIMIDO	2	M05BB03 - Acido alendronico y colecalciferol	ORGANON N.V.	2007-03-05	1	2011-03-21	Autorizado	2007-03-05	1	0	0	0
660088	05310007	FOSAVANCE 70 MG/5.600 UI COMPRIMIDOS	Ácido alendrónico/Colecalciferol 70 mg/5.600 UI comprimido	70 mg/5.600 UI	Blister	4	comprimido	ALENDRONATO SODIO TRIHIDRATO 70 mg|COLECALCIFEROL 5600 UI	VÍA ORAL	COMPRIMIDO	2	M05BB03 - Acido alendronico y colecalciferol	ORGANON N.V.	2007-11-23	1	2011-03-21	Autorizado	2007-11-23	1	0	0	0
660438	06364007	ADROVANCE 70 MG/5.600 UI COMPRIMIDOS	Ácido alendrónico/Colecalciferol 70 mg/5.600 UI comprimido	70 mg/5.600 UI	Blister	4	comprimido	ALENDRONATO SODIO TRIHIDRATO 70 mg|COLECALCIFEROL 5600 UI	VÍA ORAL	COMPRIMIDO	2	M05BB03 - Acido alendronico y colecalciferol	ORGANON N.V.	2008-02-05	1	2011-03-21	Autorizado	2008-02-05	1	0	0	0
661126	05310002IP	FOSAVANCE 70 mg/2.800 UI COMPRIMIDOS	Ácido alendrónico/Colecalciferol 70 mg/2.800 UI comprimido	70 mg/2.800 UI	Blister	4	comprimido	ALENDRONICO ACIDO 70 mg|COLECALCIFEROL 2800 UI	VÍA ORAL	COMPRIMIDO	2	M05BB03 - Acido alendronico y colecalciferol	MERCK SHARP & DOHME (UK) LIMITED	2008-11-27	1	2019-12-04	Autorizado	2008-11-27	1	0	0	0
702483	78794	ACIDO ALENDRONICO/COLECALCIFEROL TEVAGEN 70 mg/2.800 UI COMPRIMIDOS	Ácido alendrónico/Colecalciferol 70 mg/2.800 UI comprimido	70 mg/2.800 UI	Blister	4	comprimido	ALENDRONATO SODIO MONOHIDRATO 70 mg|COLECALCIFEROL 2800 UI	VÍA ORAL	COMPRIMIDO	2	M05BB03 - Acido alendronico y colecalciferol	TEVA PHARMA S.L.U.	2014-11-13	1	2016-06-13	Autorizado	2014-11-13	1	0	0	0
702490	78795	ACIDO ALENDRONICO/COLECALCIFEROL TEVAGEN 70 MG/5.600 UI COMPRIMIDOS	Ácido alendrónico/Colecalciferol 70 mg/5.600 UI comprimido	70 mg/5.600 UI	Blister	4	comprimido	ALENDRONATO SODIO MONOHIDRATO 70 mg|COLECALCIFEROL 5600 UI	VÍA ORAL	COMPRIMIDO	2	M05BB03 - Acido alendronico y colecalciferol	TEVA PHARMA S.L.U.	2014-11-13	1	2016-06-13	Autorizado	2014-11-13	1	0	0	0
702497	78796	ACIDO ALENDRONICO/COLECALCIFEROL RATIOPHARM 70MG/2.800 UI COMPRIMIDOS	Ácido alendrónico/Colecalciferol 70 mg/2.800 UI comprimido	70 mg/2.800 UI	Blister	4	comprimido	ALENDRONATO SODIO MONOHIDRATO 70 mg|COLECALCIFEROL 2800 UI	VÍA ORAL	COMPRIMIDO	2	M05BB03 - Acido alendronico y colecalciferol	TEVA PHARMA S.L.U.	2014-11-13	0	2023-03-06	Autorizado	2014-11-13	1	0	0	0
702507	78797	ACIDO ALENDRONICO/COLECALCIFEROL RATIOPHARM 70 MG/5.600 UI COMPRIMIDOS	Ácido alendrónico/Colecalciferol 70 mg/5.600 UI comprimido	70 mg/5.600 UI	Blister	4	comprimido	ALENDRONATO SODIO MONOHIDRATO 70 mg|COLECALCIFEROL 5600 UI	VÍA ORAL	COMPRIMIDO	2	M05BB03 - Acido alendronico y colecalciferol	TEVA PHARMA S.L.U.	2014-11-13	0	2023-03-06	Autorizado	2014-11-13	1	0	0	0
708780	05310007IP	FOSAVANCE 70mg/5600UI comprimidos	Ácido alendrónico/Colecalciferol 70 mg/5.600 UI comprimido	70 mg/5.600 UI	Blister	4	comprimido	ALENDRONATO SODIO TRIHIDRATO 70 mg|COLECALCIFEROL 5600 UI	VÍA ORAL	COMPRIMIDO	2	M05BB03 - Acido alendronico y colecalciferol	MERCK SHARP & DOHME (UK) LIMITED	2015-11-20	1	2019-12-04	Autorizado	2015-11-20	1	0	0	0
