cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
656245	68110	MUCOSAN 6 MG/ML JARABE	Ambroxol 6 mg/ml solución/suspensión oral	6 mg/ml	Frasco	250	ml	AMBROXOL HIDROCLORURO 6 mg	VÍA ORAL	JARABE	1	R05CB06 - Ambroxol	OPELLA HEALTHCARE SPAIN S.L.	2006-10-26	1	2011-10-25	Autorizado	2006-10-26	0	0	0	0
661210	69937	MUCOSAN 15 mg PASTILLAS DE GOMA	Ambroxol 15 mg comprimido	15 mg	Blister	40	pastilla	AMBROXOL HIDROCLORURO 15 mg	VÍA ORAL	PASTILLA DE GOMA	1	R05CB06 - Ambroxol	SANOFI AVENTIS S.A.	2008-07-07	0	2021-03-26	Anulado	2021-03-26	0	0	0	0
674788	63590	MUXIMED JARABE EFG	Ambroxol 3 mg/ml solución/suspensión oral	3 mg/ml	Frasco	200	ml	AMBROXOL HIDROCLORURO 3 mg	VÍA ORAL	JARABE	1	R05CB06 - Ambroxol	AMNEAL PHARMA SPAIN S.L.	2001-01-16	1	2016-05-30	Autorizado	2001-01-16	0	0	0	0
678649	63626	AMBROXOL CINFA 3 MG/ML JARABE EFG	Ambroxol 3 mg/ml solución/suspensión oral	3 mg/ml	Frasco	200	ml	AMBROXOL HIDROCLORURO 3 mg	VÍA ORAL	JARABE	1	R05CB06 - Ambroxol	LABORATORIOS CINFA S.A.	2001-01-26	1	2011-10-19	Autorizado	2001-01-26	0	0	0	0
689206	75763	LIZIPAINA AMBROXOL 20 MG PASTILLAS PARA CHUPAR	Ambroxol 20 mg comprimido bucal/para chupar	20 mg	Blister	18	pastilla	AMBROXOL HIDROCLORURO 20 mg	Vía bucal (buccal use)	PASTILLA PARA CHUPAR	1	R05CB06 - Ambroxol	OPELLA HEALTHCARE SPAIN S.L.	2012-06-07	0	2023-08-09	Anulado	2023-08-09	0	0	0	0
693251	76499	FORMULAMUCOL 6 MG/ML SOLUCION ORAL EFG	Ambroxol 6 mg/ml solución/suspensión oral	6 mg/ml	Frasco	100	ml	AMBROXOL HIDROCLORURO 6 mg	VÍA ORAL	SOLUCIÓN ORAL	1	R05CB06 - Ambroxol	LABORATORIOS VICKS S.L.	2012-09-21	0	2019-10-29	Anulado	2019-10-29	0	0	0	0
693321	60102	MUCOSAN RETARD 75 mg CAPSULAS DE LIBERACION PROLONGADA	Ambroxol 75 mg cápsula liberación modificada	75 mg	Blister	10	cápsula	AMBROXOL HIDROCLORURO 75 mg	VÍA ORAL	CÁPSULA DURA DE LIBERACIÓN MODIFICADA	1	R05CB06 - Ambroxol	OPELLA HEALTHCARE SPAIN S.L.	1994-06-01	1	2024-05-06	Autorizado	1994-06-01	0	0	0	0
696148	62248	Ambroxol SANDOZ CARE 3 mg/ml jarabe EFG	Ambroxol 3 mg/ml solución/suspensión oral	3 mg/ml	Frasco	125	ml	AMBROXOL HIDROCLORURO 3 mg	VÍA ORAL	JARABE	1	R05CB06 - Ambroxol	SANDOZ FARMACEUTICA S.A.	1998-10-01	0	2022-08-08	Anulado	2022-08-08	0	0	0	0
696260	60103	MOTOSOL RETARD 75 MG CAPSULAS DE LIBERACION PROLONGADA	Ambroxol 75 mg cápsula liberación modificada	75 mg	Blister	30	cápsula	AMBROXOL HIDROCLORURO 75 mg	VÍA ORAL	CÁPSULA DURA DE LIBERACIÓN MODIFICADA	1	R05CB06 - Ambroxol	SANOFI AVENTIS S.A.	1994-06-01	0	2020-12-03	Anulado	2020-12-03	0	0	0	0
696278	60102	MUCOSAN RETARD 75 mg CAPSULAS DE LIBERACION PROLONGADA	Ambroxol 75 mg cápsula liberación modificada	75 mg	Blister	30	cápsula	AMBROXOL HIDROCLORURO 75 mg	VÍA ORAL	CÁPSULA DURA DE LIBERACIÓN MODIFICADA	1	R05CB06 - Ambroxol	OPELLA HEALTHCARE SPAIN S.L.	1994-06-01	0	2025-02-28	Autorizado	1994-06-01	0	0	0	0
705704	78669	LIZIPAINA AMBROXOL 17,86 MG/ML SOLUCIÓN PARA PULVERIZACIÓN BUCAL	Ambroxol 2,5 mg/dosis (17,86 mg/ml) pulverización bucal	2,5 mg/dosis (17,86 mg/ml)	Frasco	20	ml	AMBROXOL HIDROCLORURO 17,86 mg	USO BUCOFARÍNGEO	SOLUCIÓN PARA PULVERIZACIÓN BUCAL	1	R05CB06 - Ambroxol	OPELLA HEALTHCARE SPAIN S.L.	2014-04-10	0	2021-08-11	Anulado	2021-08-11	0	0	0	0
707797	80208	BUCOXON 20 MG PASTILLAS PARA CHUPAR SABOR MENTA	Ambroxol 20 mg comprimido bucal/para chupar	20 mg	Blister	18	pastilla	AMBROXOL HIDROCLORURO 20 mg	USO BUCOFARÍNGEO	PASTILLA PARA CHUPAR	1	R05CB06 - Ambroxol	LABORATORIOS CINFA S.A.	2015-09-30	1	2016-08-18	Autorizado	2015-09-30	0	0	0	0
708949	80439	BUCOXON 20 MG PASTILLAS PARA CHUPAR SABOR REGALIZ	Ambroxol 20 mg comprimido bucal/para chupar	20 mg	Blister	18	pastilla	AMBROXOL HIDROCLORURO 20 mg	USO BUCOFARÍNGEO	PASTILLA PARA CHUPAR	1	R05CB06 - Ambroxol	LABORATORIOS CINFA S.A.	2015-11-24	1	2016-08-18	Autorizado	2015-11-24	0	0	0	0
720018	63626	AMBROXOL CINFA 3 MG/ML JARABE EFG	Ambroxol 3 mg/ml solución/suspensión oral	3 mg/ml	Frasco	200	ml	AMBROXOL HIDROCLORURO 3 mg	VÍA ORAL	JARABE	1	R05CB06 - Ambroxol	LABORATORIOS CINFA S.A.	2001-01-26	1	2018-10-30	Autorizado	2001-01-26	0	0	0	0
722321	83276	MUCIBRON FORTE 6 MG/ML SOLUCION ORAL	Ambroxol 6 mg/ml solución/suspensión oral	6 mg/ml	Frasco	250	ml	AMBROXOL HIDROCLORURO 6 mg	VÍA ORAL	SOLUCIÓN ORAL	1	R05CB06 - Ambroxol	LABORATORIOS NORMON S.A.	2018-07-04	1	2018-09-14	Autorizado	2018-07-05	0	0	0	0
725865	84165	AMBROXOL STADA 6 MG/ML JARABE EFG	Ambroxol 6 mg/ml solución/suspensión oral	6 mg/ml	Frasco	250	ml	AMBROXOL HIDROCLORURO 6 mg	VÍA ORAL	JARABE	1	R05CB06 - Ambroxol	LABORATORIO STADA S.L.	2019-05-24	1	2019-12-05	Autorizado	2019-05-25	1	0	0	0
729041	85305	AMBROXOL ALDO-UNION 15 MG/2 ML SOLUCION ORAL O CONCENTRADO PARA INHALACION POR NEBULIZADOR	Ambroxol 7,5 mg/ml solución/suspensión oral/inhalación pulmonar	15 mg/2 ml	Ampolla	30	ml	AMBROXOL HIDROCLORURO 7,5 mg	VÍA ORAL|VÍA INHALATORIA	SOLUCIÓN ORAL O CONCENTRADO PARA INHALACIÓN POR NEBULIZADOR	1	R05CB06 - Ambroxol	LABORATORIO ALDO UNION S.L.	2020-07-29	1	2021-02-10	Autorizado	2020-07-30	1	0	0	0
731723	68110	MUCOSAN 6 MG/ML JARABE	Ambroxol 6 mg/ml solución/suspensión oral	6 mg/ml	Frasco	100	ml	AMBROXOL HIDROCLORURO 6 mg	VÍA ORAL	JARABE	1	R05CB06 - Ambroxol	OPELLA HEALTHCARE SPAIN S.L.	2006-10-26	0	2023-11-29	Autorizado	2006-10-26	0	0	0	0
