cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
603472	62437	AMOXICILINA NORMON 500 MG CÁPSULAS DURAS EFG	Amoxicilina 500 mg cápsula	500 mg	Blister	500	cápsula	AMOXICILINA TRIHIDRATO 500 mg	VÍA ORAL	CÁPSULA DURA	1	J01CA04 - Amoxicilina	LABORATORIOS NORMON S.A.	1999-02-01	1	2011-10-20	Autorizado	1999-02-01	1	0	0	0
605675	64388	AMOXICILINA NORMON 500 MG COMPRIMIDOS EFG	Amoxicilina 500 mg comprimido	500 mg	Blister	500	comprimido	AMOXICILINA TRIHIDRATO 500 mg	VÍA ORAL	COMPRIMIDO	1	J01CA04 - Amoxicilina	LABORATORIOS NORMON S.A.	2001-11-21	1	2011-10-20	Autorizado	2001-11-21	1	0	0	0
605683	64389	AMOXICILINA NORMON 750 MG COMPRIMIDOS EFG	Amoxicilina 750 mg comprimido	750 mg	Blister	500	comprimido	AMOXICILINA TRIHIDRATO 750 mg	VÍA ORAL	COMPRIMIDO	1	J01CA04 - Amoxicilina	LABORATORIOS NORMON S.A.	2001-11-20	1	2011-10-20	Autorizado	2001-11-20	1	0	0	0
605733	64390	AMOXICILINA NORMON 1000 MG COMPRIMIDOS EFG	Amoxicilina 1.000 mg comprimido	1.000 mg	Blister	500	comprimido	AMOXICILINA TRIHIDRATO 1000 mg	VÍA ORAL	COMPRIMIDO	1	J01CA04 - Amoxicilina	LABORATORIOS NORMON S.A.	2001-11-21	1	2011-10-20	Autorizado	2001-11-21	1	0	0	0
607767	54626	AMITRON 500 MG CÁPSULAS DURAS	Amoxicilina 500 mg cápsula	500 mg	Blister	100	cápsula	AMOXICILINA 500 mg	VÍA ORAL	CÁPSULA DURA	1	J01CA04 - Amoxicilina	LDP LABORATORIOS TORLAN S.A.	1980-05-01	1	2025-11-10	Autorizado	2013-10-28	1	0	0	0
611608	62785	AMOXICILINA NORMON 500 MG POLVO PARA SUSPENSIÓN ORAL EN SOBRES EFG	Amoxicilina 500 mg solución/suspensión oral sobre	500 mg	Sobre	500	sobre	AMOXICILINA TRIHIDRATO 500 mg	VÍA ORAL	POLVO PARA SOLUCIÓN ORAL	1	J01CA04 - Amoxicilina	LABORATORIOS NORMON S.A.	1999-11-01	0	2015-06-10	Autorizado	1999-11-01	1	0	0	0
611616	62786	AMOXICILINA NORMON 250 MG POLVO PARA SUSPENSIÓN ORAL EN SOBRE EFG	Amoxicilina 250 mg solución/suspensión oral sobre	250 mg	Sobre	500	sobre	AMOXICILINA TRIHIDRATO 250 mg	VÍA ORAL	POLVO PARA SUSPENSIÓN ORAL	1	J01CA04 - Amoxicilina	LABORATORIOS NORMON S.A.	1999-11-01	1	2011-10-20	Autorizado	1999-11-01	1	0	0	0
611624	62784	AMOXICILINA NORMON 1000 MG POLVO PARA SUSPENSIÓN ORAL EN SOBRES EFG	Amoxicilina 1.000 mg solución/suspensión oral sobre	1.000 mg	Sobre	500	sobre	AMOXICILINA TRIHIDRATO 1000 mg	VÍA ORAL	POLVO PARA SUSPENSIÓN ORAL	1	J01CA04 - Amoxicilina	LABORATORIOS NORMON S.A.	1999-11-01	0	2015-09-01	Autorizado	1999-11-01	1	0	0	0
623702	63354	AMOXICILINA NORMON 250 MG/5 ML POLVO PARA SUSPENSIÓN ORAL EFG	Amoxicilina 250 mg/5 ml solución/suspensión oral	250 mg/5 ml	Frasco	2400	ml	AMOXICILINA TRIHIDRATO 50 mg	VÍA ORAL	POLVO PARA SUSPENSIÓN ORAL	1	J01CA04 - Amoxicilina	LABORATORIOS NORMON S.A.	2000-09-26	1	2011-10-20	Autorizado	2000-09-26	1	0	0	0
644419	57417	AMOXICILINA DESGEN 500 MG CAPSULAS DURAS	Amoxicilina 500 mg cápsula	500 mg	Blister	500	cápsula	AMOXICILINA TRIHIDRATO 500 mg	VÍA ORAL	CÁPSULA DURA	1	J01CA04 - Amoxicilina	LABORATORIO GENERFARMA S.L.	1988-03-01	0	2012-01-09	Suspenso	2024-03-08	1	0	0	0
