cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
604835	48325	BRITAPEN 1 G POLVO PARA SOLUCIÓN PARA INYECCIÓN	Ampicilina 1.000 mg inyectable	1.000 mg	Vial	100	vial para inyección	AMPICILINA SODICA 1000 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE	1	J01CA01 - Ampicilina	LABORATORIO REIG JOFRE, S.A.	1969-07-01	1	2012-01-02	Autorizado	1969-07-01	1	0	0	0
624619	48101	GOBEMICINA 250 mg INYECTABLE	Ampicilina 250 mg inyectable	250 mg	Vial	100	vial para inyección	AMPICILINA SODICA 250 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE	1	J01CA01 - Ampicilina	LABORATORIOS NORMON S.A.	1969-06-01	1	2011-10-20	Autorizado	1969-06-01	1	0	0	0
624627	48100	GOBEMICINA 500 mg INYECTABLE	Ampicilina 500 mg inyectable	500 mg	Vial	100	vial para inyección	AMPICILINA SODICA 500 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE	1	J01CA01 - Ampicilina	LABORATORIOS NORMON S.A.	1969-06-01	1	2011-10-20	Autorizado	1969-06-01	1	0	0	0
624635	54341	GOBEMICINA 1g INYECTABLE	Ampicilina 1.000 mg inyectable	1.000 mg	Vial	100	vial para inyección	AMPICILINA SODICA 1000 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE	1	J01CA01 - Ampicilina	LABORATORIOS NORMON S.A.	1978-09-01	1	2011-10-20	Autorizado	1978-09-01	1	0	0	0
636266	41181	BRITAPEN 500 MG POLVO PARA SOLUCIÓN PARA INYECCIÓN	Ampicilina 500 mg inyectable	500 mg	Vial	100	vial para inyección	AMPICILINA SODICA 500 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE	1	J01CA01 - Ampicilina	LABORATORIO REIG JOFRE, S.A.	1965-07-01	1	2012-01-02	Autorizado	1965-07-01	1	0	0	0
654567	44092	BRITAPEN 500 mg CAPSULAS	Ampicilina 500 mg cápsula	500 mg	Blister	16	cápsula	AMPICILINA TRIHIDRATO 500 mg	VÍA ORAL	CÁPSULA DURA	1	J01CA01 - Ampicilina	LABORATORIO REIG JOFRE, S.A.	1967-05-01	1	2013-01-03	Autorizado	1967-05-01	1	0	0	0
654575	51887	BRITAPEN 1g COMPRIMIDOS	Ampicilina 1.000 mg comprimido	1.000 mg	Blister	12	comprimido	AMPICILINA TRIHIDRATO 1000 mg	VÍA ORAL	COMPRIMIDO	1	J01CA01 - Ampicilina	LABORATORIO REIG JOFRE, S.A.	1973-12-01	1	2013-01-03	Autorizado	1973-12-01	1	0	0	0
654577	47729	BRITAPEN 250  mg SUSPENSION	Ampicilina 250 mg/5 ml solución/suspensión oral	250 mg/5 ml	Frasco	100	ml	AMPICILINA TRIHIDRATO 50 mg	VÍA ORAL	SUSPENSIÓN ORAL	1	J01CA01 - Ampicilina	LABORATORIO REIG JOFRE, S.A.	1969-05-01	1	2013-01-03	Autorizado	1969-05-01	1	0	0	0
654820	48101	GOBEMICINA 250 mg INYECTABLE	Ampicilina 250 mg inyectable	250 mg	Vial	1	vial para inyección	AMPICILINA SODICA 250 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE	1	J01CA01 - Ampicilina	LABORATORIOS NORMON S.A.	1969-06-01	1	2014-01-02	Autorizado	1969-06-01	1	0	0	0
654821	54341	GOBEMICINA 1g INYECTABLE	Ampicilina 1.000 mg inyectable	1.000 mg	Vial	1	vial para inyección	AMPICILINA SODICA 1000 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE	1	J01CA01 - Ampicilina	LABORATORIOS NORMON S.A.	1978-09-01	1	2014-01-02	Autorizado	1978-09-01	1	0	0	0
654823	48100	GOBEMICINA 500 mg INYECTABLE	Ampicilina 500 mg inyectable	500 mg	Vial	1	vial para inyección	AMPICILINA SODICA 500 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE	1	J01CA01 - Ampicilina	LABORATORIOS NORMON S.A.	1969-06-01	1	2014-01-02	Autorizado	1969-06-01	1	0	0	0
656764	41181	BRITAPEN 500 MG POLVO PARA SOLUCIÓN PARA INYECCIÓN	Ampicilina 500 mg inyectable	500 mg	Vial	1	vial para inyección	AMPICILINA SODICA 500 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE	1	J01CA01 - Ampicilina	LABORATORIO REIG JOFRE, S.A.	1965-07-01	1	2012-01-02	Autorizado	1965-07-01	1	0	0	0
720524	44092	BRITAPEN 500 mg CAPSULAS	Ampicilina 500 mg cápsula	500 mg	Blister	8	cápsula	AMPICILINA TRIHIDRATO 500 mg	VÍA ORAL	CÁPSULA DURA	1	J01CA01 - Ampicilina	LABORATORIO REIG JOFRE, S.A.	1967-05-01	1	2012-01-02	Autorizado	1967-05-01	1	0	0	0
