cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
650813	69488	ANASTROZOL PLACASOD 1 MG COMPRIMIDOS RECUBIERTOS CON PELÍCULA EFG	Anastrozol 1 mg comprimido	1 mg	Blister	28	comprimido	ANASTROZOL 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG03 - Anastrozol	SANDOZ FARMACEUTICA S.A.	0	0	0
660116	69399	ANASTROZOL ZENTIVA 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Anastrozol 1 mg comprimido	1 mg	Blister	28	comprimido	ANASTROZOL 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG03 - Anastrozol	ZENTIVA K.S.	0	0	0
660218	69456	ANASTROZOL NORMON 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Anastrozol 1 mg comprimido	1 mg	Blister	28	comprimido	ANASTROZOL 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG03 - Anastrozol	LABORATORIOS NORMON S.A.	0	0	0
662845	70472	ANASTROZOL ACCORD 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Anastrozol 1 mg comprimido	1 mg	Blister	28	comprimido	ANASTROZOL 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG03 - Anastrozol	ACCORD HEALTHCARE S.L.U.	0	0	0
663218	69484	ANASTROZOL TARBIS 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Anastrozol 1 mg comprimido	1 mg	Blister	28	comprimido	ANASTROZOL 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG03 - Anastrozol	TARBIS FARMA S.L.	0	0	0
663243	69269	ANASTROZOL STADA 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Anastrozol 1 mg comprimido	1 mg	Blister	28	comprimido	ANASTROZOL 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG03 - Anastrozol	LABORATORIO STADA S.L.	0	0	0
663251	69374	ANASTROZOL KERN PHARMA 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Anastrozol 1 mg comprimido	1 mg	Blister	28	comprimido	ANASTROZOL 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG03 - Anastrozol	KERN PHARMA S.L.	0	0	0
663253	69480	AMENUR 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Anastrozol 1 mg comprimido	1 mg	Blister	28	comprimido	ANASTROZOL 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG03 - Anastrozol	GP PHARM S.A.	0	0	0
663256	69430	ANASTROZOL TEVA 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Anastrozol 1 mg comprimido	1 mg	Blister	28	comprimido	ANASTROZOL 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG03 - Anastrozol	TEVA PHARMA S.L.U.	0	0	0
663263	70636	ANASTROZOL PHARMAGENUS 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Anastrozol 1 mg comprimido	1 mg	Blister	28	comprimido	ANASTROZOL 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG03 - Anastrozol	ARISTO PHARMA IBERIA S.L.	0	0	0
663275	69554	ANASTROZOL VIATRIS 1 MG COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Anastrozol 1 mg comprimido	1 mg	Blister	28	comprimido	ANASTROZOL 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG03 - Anastrozol	VIATRIS LIMITED	0	0	0
663279	69384	ANASTROZOL CINFA 1 mg COMPRIMIDOS RECUBIERTOS CON PELICULA EFG	Anastrozol 1 mg comprimido	1 mg	Blister	28	comprimido	ANASTROZOL 1 mg	VÍA ORAL	COMPRIMIDO RECUBIERTO CON PELÍCULA	L02BG03 - Anastrozol	LABORATORIOS CINFA S.A.	0	0	0
