cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
694031	53541	DIPROGENTA 0,5 mg/g + 1 mg/g crema	Betametasona/Gentamicina 0,5 mg/g + 1 mg/g crema	0,5 mg/g + 1 mg/g	Tubo	50	g	BETAMETASONA DIPROPIONATO 0,5 mg|GENTAMICINA 1 mg	USO CUTÁNEO	CREMA	D07CC01 - Betametasona con antibioticos	ORGANON SALUD S.L.	0	0	0
694032	42399	CELESTODERM 1 mg/g + 1 mg/g  CREMA	Betametasona/Gentamicina 1 mg/g + 1 mg/g crema	1 mg/g + 1 mg/g	Tubo	50	g	BETAMETASONA 17-VALERATO 1 mg|GENTAMICINA 1 mg	USO CUTÁNEO	CREMA	D07CC01 - Betametasona con antibioticos	ORGANON SALUD S.L.	0	0	0
694389	15937	DIPROGENTA crema	Betametasona/Gentamicina 0,5 mg/g + 1 mg/g crema	0,5 mg/g + 1 mg/g	Tubo	30	g	BETAMETASONA DIPROPIONATO 0,5 mg|GENTAMICINA SULFATO 1 mg	USO CUTÁNEO	CREMA	D07CC01 - Betametasona con antibioticos	ORGANON HEALTHCARE GMBH	0	0	0
698723	9454504	DIPROGENTA CREMA	Betametasona/Gentamicina 0,5 mg/g + 1 mg/g crema	0,5 mg/g + 1 mg/g	Tubo	30	g	BETAMETASONA DIPROPIONATO 1 mg|GENTAMICINA SULFATO 1 mg	USO CUTÁNEO	CREMA	D07CC01 - Betametasona con antibioticos	ORGANON PORTUGAL SOCIEDADE UNIPESSOAL LDA.	0	0	0
698724	9454504IP	DIPROGENTA CREMA	Betametasona/Gentamicina 0,5 mg/g + 1 mg/g crema	0,5 mg/g + 1 mg/g	Tiras	30	g	BETAMETASONA DIPROPIONATO 0.5 mg|GENTAMICINA SULFATO 1 mg	USO CUTÁNEO	CREMA	D07CC01 - Betametasona con antibioticos	ORGANON PORTUGAL SOCIEDADE UNIPESSOAL LDA.	0	0	0
702947	9454504IP1	DIPROGENTA CREMA	Betametasona/Gentamicina 0,5 mg/g + 1 mg/g crema	0,5 mg/g + 1 mg/g	Tubo	30	g	BETAMETASONA DIPROPIONATO 0,5 mg|GENTAMICINA SULFATO 1 mg	USO CUTÁNEO	CREMA	D07CC01 - Betametasona con antibioticos	ORGANON PORTUGAL SOCIEDADE UNIPESSOAL LDA.	0	0	0
723961	9454504IP2	DIPROGENTA 0,5 MG/G + 1 MG/G CREMA	Betametasona/Gentamicina 0,5 mg/g + 1 mg/g crema	0,5 mg/g + 1 mg/g	Tubo	30	g	BETAMETASONA DIPROPIONATO 0,5 mg|GENTAMICINA 1 mg	USO CUTÁNEO	CREMA	D07CC01 - Betametasona con antibioticos	ORGANON PORTUGAL SOCIEDADE UNIPESSOAL LDA.	0	0	0
727521	9454504IP3	DIPROGENTA 0,5 MG/G + 1 MG/G CREMA	Betametasona/Gentamicina 0,5 mg/g + 1 mg/g crema	0,5 mg/g + 1 mg/g	Tubo	30	g	BETAMETASONA DIPROPIONATO 0,5 mg|GENTAMICINA 1 mg	USO CUTÁNEO	CREMA	D07CC01 - Betametasona con antibioticos	ORGANON PORTUGAL SOCIEDADE UNIPESSOAL LDA.	0	0	0
727875	42399	CELESTODERM 1 mg/g + 1 mg/g  CREMA	Betametasona/Gentamicina 1 mg/g + 1 mg/g crema	1 mg/g + 1 mg/g	Tubo	30	g	BETAMETASONA 17-VALERATO 1 mg|GENTAMICINA 1 mg	USO CUTÁNEO	CREMA	D07CC01 - Betametasona con antibioticos	ORGANON SALUD S.L.	0	0	0
731628	86198	MIBETIN 0,5 MG/G + 1 MG/G CREMA	Betametasona/Gentamicina 0,5 mg/g + 1 mg/g crema	0,5 mg/g + 1 mg/g	Tubo	30	g	BETAMETASONA DIPROPIONATO 0,5 mg|GENTAMICINA SULFATO 1 mg	USO CUTÁNEO	CREMA	D07CC01 - Betametasona con antibioticos	MIBE PHARMA ESPAÑA S.L.U.	0	0	0
731629	86198	MIBETIN 0,5 MG/G + 1 MG/G CREMA	Betametasona/Gentamicina 0,5 mg/g + 1 mg/g crema	0,5 mg/g + 1 mg/g	Tubo	50	g	BETAMETASONA DIPROPIONATO 0,5 mg|GENTAMICINA SULFATO 1 mg	USO CUTÁNEO	CREMA	D07CC01 - Betametasona con antibioticos	MIBE PHARMA ESPAÑA S.L.U.	0	0	0
745851	53541	DIPROGENTA 0,5 mg/g + 1 mg/g crema	Betametasona/Gentamicina 0,5 mg/g + 1 mg/g crema	0,5 mg/g + 1 mg/g	Tubo	30	g	BETAMETASONA DIPROPIONATO 0,5 mg|GENTAMICINA SULFATO 1 mg	USO CUTÁNEO	CREMA	D07CC01 - Betametasona con antibioticos	ORGANON SALUD S.L.	0	0	0
767694	4105707462008	CELESTODERM 1 MG/G + 1 MG/G CREMA	Betametasona/Gentamicina 1 mg/g + 1 mg/g crema	1 mg/g + 1 mg/g	Tubo	30	g	BETAMETASONA 17-VALERATO 1 mg|GENTAMICINA 1 mg	USO CUTÁNEO	CREMA	D07CC01 - Betametasona con antibioticos	ORGANON N.V.	0	0	0
