cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	sw_generico	biosimilar	radiofarmaco
654561	06340001	GANFORT 0,3 MG/ML + 5 MG/ML COLIRIO EN SOLUCION	Bimatoprost/Timolol 0,3 mg/ml + 5 mg/ml colirio	0,3 mg/ml + 5 mg/ml	Frasco	3	ml	BIMATOPROST 0,3 mg|TIMOLOL MALEATO 5 mg	VÍA OFTÁLMICA	COLIRIO EN SOLUCIÓN	S01ED51 - Timolol, combinaciones con	ABBVIE DEUTSCHLAND GMBH & CO. KG	0	0	0	0
699328	106340004	GANFORT 0,3 MG/ML + 5 MG/ML COLIRIO EN SOLUCION EN ENVASE UNIDOSIS	Bimatoprost/Timolol 0,3 mg/ml + 5 mg/ml colirio envase unidosis	0,3 mg/ml + 5 mg/ml	Envase unidosis	30	envase uso oftalmico unidosis	BIMATOPROST 0,3 mg|TIMOLOL MALEATO 5 mg	VÍA OFTÁLMICA	COLIRIO EN SOLUCIÓN EN ENVASE UNIDOSIS	S01ED51 - Timolol, combinaciones con	ABBVIE DEUTSCHLAND GMBH & CO. KG	0	0	0	0
728333	85009	ECBIRIO 0,3 MG/ML + 5 MG/ML COLIRIO EN SOLUCION	Bimatoprost/Timolol 0,3 mg/ml + 5 mg/ml colirio	0,3 mg/ml + 5 mg/ml	Frasco	3	ml	BIMATOPROST 0,3 mg|TIMOLOL MALEATO 5 mEq	VÍA OFTÁLMICA	COLIRIO EN SOLUCIÓN	S01ED51 - Timolol, combinaciones con	SIFI S.P.A.	0	0	0	0
730043	85669	BIMATOPROST/TIMOLOL ZENTIVA 0,3 MG/ML + 5 MG/ML COLIRIO EN SOLUCION	Bimatoprost/Timolol 0,3 mg/ml + 5 mg/ml colirio	0,3 mg/ml + 5 mg/ml	Frasco	3	ml	BIMATOPROST 0,3 mg|TIMOLOL MALEATO 5 mg	VÍA OFTÁLMICA	COLIRIO EN SOLUCIÓN	S01ED51 - Timolol, combinaciones con	ZENTIVA K.S.	0	0	0	0
732340	86416	VISUBLEND 0,3 MG/ML + 5 MG/ML COLIRIO EN SOLUCION	Bimatoprost/Timolol 0,3 mg/ml + 5 mg/ml colirio	0,3 mg/ml + 5 mg/ml	Frasco	3	ml	BIMATOPROST 0,3 mg|TIMOLOL MALEATO 5 mg	VÍA OFTÁLMICA	COLIRIO EN SOLUCIÓN	S01ED51 - Timolol, combinaciones con	VISUFARMA S.P.A.	0	0	0	0
738382	86288	BAPIRI 0,3 MG + 5 MG/ML COLIRIO EN SOLUCION	Bimatoprost/Timolol 0,3 mg/ml + 5 mg/ml colirio	0,3 mg/ml + 5 mg/ml	Frasco	9	ml	BIMATOPROST 0,3 mg|TIMOLOL MALEATO 5 mg	VÍA OFTÁLMICA	COLIRIO EN SOLUCIÓN	S01ED51 - Timolol, combinaciones con	BRILL PHARMA S.L.	0	0	0	0
763874	106340004IP	GANFORT 0,3 MG/ML + 5 MG/ML COLIRIO EN SOLUCION EN ENVASE UNIDOSIS	Bimatoprost/Timolol 0,3 mg/ml + 5 mg/ml colirio envase unidosis	0,3 mg/ml + 5 mg/ml	Envase unidosis	30	envase uso oftalmico unidosis	BIMATOPROST 0,3 mg|TIMOLOL MALEATO 5 mg	VÍA OFTÁLMICA	COLIRIO EN SOLUCIÓN EN ENVASE UNIDOSIS	S01ED51 - Timolol, combinaciones con	ABBVIE DEUTSCHLAND GMBH & CO. KG	0	0	0	0
765416	106340004IP1	GANFORT 0,3 MG/ML + 5 MG/ML COLIRIO EN SOLUCION EN ENVASE UNIDOSIS	Bimatoprost/Timolol 0,3 mg/ml + 5 mg/ml colirio envase unidosis	0,3 mg/ml + 5 mg/ml	Envase unidosis	30	envase uso oftalmico unidosis	BIMATOPROST 0,3 mg|TIMOLOL MALEATO 5 mg	VÍA OFTÁLMICA	COLIRIO EN SOLUCIÓN EN ENVASE UNIDOSIS	S01ED51 - Timolol, combinaciones con	ABBVIE DEUTSCHLAND GMBH & CO. KG	0	0	0	0
769108	90761	VISTALE 0,3 MG/ML + 5 MG/ML COLIRIO EN SOLUCION EN ENVASE UNIDOSIS	Bimatoprost/Timolol 0,3 mg/ml + 5 mg/ml colirio envase unidosis	En revisión	Envase unidosis				VÍA OFTÁLMICA	COLIRIO EN SOLUCIÓN EN ENVASE UNIDOSIS	S01ED51 - Timolol, combinaciones con	LABORATORIOS SALVAT S.A.	0	0	0	0
770113	106340004IP2	GANFORT 0,3 MG/ML + 5 MG/ML COLIRIO EN SOLUCION EN ENVASE UNIDOSIS	Bimatoprost/Timolol 0,3 mg/ml + 5 mg/ml colirio envase unidosis	0,3 mg/ml + 5 mg/ml	Envase unidosis	30	envase uso oftalmico unidosis	BIMATOPROST 0,3 mg|TIMOLOL MALEATO 5 mg	VÍA OFTÁLMICA	COLIRIO EN SOLUCIÓN EN ENVASE UNIDOSIS	S01ED51 - Timolol, combinaciones con	ABBVIE DEUTSCHLAND GMBH & CO. KG	0	0	0	0
