cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	sw_generico	biosimilar	radiofarmaco
608117	56403	BUPREX 0,3 mg SOLUCION INYECTABLE	Buprenorfina 0,3 mg inyectable 1 ml	0,3 mg	Ampolla	50	ampolla para inyección	BUPRENORFINA HIDROCLORURO 0,3 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE	N02AE01 - Buprenorfina	EUMEDICA PHARMACEUTICALS GMBH	0	0	0	0
662920	70804	FELIBEN 35 microgramos/HORA PARCHES TRANSDERMICOS.	Buprenorfina 35 microgramos/h (72 h) parche transdérmico	35 microgramos/h	Parche	5	parche	BUPRENORFINA 35 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	LABORATORIOS GEBRO PHARMA S.A.	0	0	0	0
662922	70804	FELIBEN 35 microgramos/HORA PARCHES TRANSDERMICOS.	Buprenorfina 35 microgramos/h (72 h) parche transdérmico	35 microgramos/h	Parche	10	parche	BUPRENORFINA 35 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	LABORATORIOS GEBRO PHARMA S.A.	0	0	0	0
662935	70805	FELIBEN 52,5 microgramos/HORA PARCHES TRANSDERMICOS.	Buprenorfina 52,5 microgramos/h (72 h) parche transdérmico	52,5 microgramos/h	Parche	5	parche	BUPRENORFINA 52,5 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	LABORATORIOS GEBRO PHARMA S.A.	0	0	0	0
662937	70805	FELIBEN 52,5 microgramos/HORA PARCHES TRANSDERMICOS.	Buprenorfina 52,5 microgramos/h (72 h) parche transdérmico	52,5 microgramos/h	Parche	10	parche	BUPRENORFINA 52,5 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	LABORATORIOS GEBRO PHARMA S.A.	0	0	0	0
662948	70806	FELIBEN 70 microgramos/HORA PARCHES TRANSDERMICOS.	Buprenorfina 70 microgramos/h (72 h) parche transdérmico	70 microgramos/h	Parche	5	parche	BUPRENORFINA 70 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	LABORATORIOS GEBRO PHARMA S.A.	0	0	0	0
662950	70806	FELIBEN 70 microgramos/HORA PARCHES TRANSDERMICOS.	Buprenorfina 70 microgramos/h (72 h) parche transdérmico	70 microgramos/h	Parche	10	parche	BUPRENORFINA 70 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	LABORATORIOS GEBRO PHARMA S.A.	0	0	0	0
679588	56403	BUPREX 0,3 mg SOLUCION INYECTABLE	Buprenorfina 0,3 mg inyectable 1 ml	0,3 mg	Ampolla	5	ampolla para inyección	BUPRENORFINA HIDROCLORURO 0.3 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	SOLUCIÓN INYECTABLE	N02AE01 - Buprenorfina	EUMEDICA PHARMACEUTICALS GMBH	0	0	0	0
707214	80067	BUPRENORFINA ANDROMACO 52,5 MICROGRAMOS/HORA PARCHE TRANSDERMICO EFG	Buprenorfina 52,5 microgramos/h (96 h) parche transdérmico	52,5 microgramos/h	Sobre	5	parche	BUPRENORFINA 52,5 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	ANDROMACO PHARMA S.L.	0	1	0	0
707215	80067	BUPRENORFINA ANDROMACO 52,5 MICROGRAMOS/HORA PARCHE TRANSDERMICO EFG	Buprenorfina 52,5 microgramos/h (96 h) parche transdérmico	52,5 microgramos/h	Sobre	10	parche	BUPRENORFINA 52,5 microgramos/h	VÍA TRANSDÉRMICA	PARCHE TRANSDÉRMICO	N02AE01 - Buprenorfina	ANDROMACO PHARMA S.L.	0	1	0	0
