cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
600252	66729	1351589	candesartan cilexetil 32 MG Oral Tablet [Atacand]	639543	EXACT			
600973	62008	1351588	candesartan cilexetil 16 MG Oral Tablet [Atacand]	639539	EXACT			
650163	66300	1351589	candesartan cilexetil 32 MG Oral Tablet [Atacand]	639543	EXACT			
650381	66439	1351589	candesartan cilexetil 32 MG Oral Tablet [Atacand]	639543	EXACT			
654039	62006	1351585	candesartan cilexetil 4 MG Oral Tablet [Atacand]	577785	EXACT			
654047	62007	1351586	candesartan cilexetil 8 MG Oral Tablet [Atacand]	577787	EXACT			
654054	62008	1351588	candesartan cilexetil 16 MG Oral Tablet [Atacand]	639539	EXACT			
654062	66729	1351589	candesartan cilexetil 32 MG Oral Tablet [Atacand]	639543	EXACT			
656872	61995	1351585	candesartan cilexetil 4 MG Oral Tablet [Atacand]	577785	EXACT			
656873	61997	1351588	candesartan cilexetil 16 MG Oral Tablet [Atacand]	639539	EXACT			
656874	61996	1351586	candesartan cilexetil 8 MG Oral Tablet [Atacand]	577787	EXACT			
663633	61894	1351588	candesartan cilexetil 16 MG Oral Tablet [Atacand]	639539	EXACT			
663658	61892	1351585	candesartan cilexetil 4 MG Oral Tablet [Atacand]	577785	EXACT			
667379	71961	1351585	candesartan cilexetil 4 MG Oral Tablet [Atacand]	577785	EXACT			
667403	71963	1351586	candesartan cilexetil 8 MG Oral Tablet [Atacand]	577787	EXACT			
667423	71965	1351588	candesartan cilexetil 16 MG Oral Tablet [Atacand]	639539	EXACT			
667446	71994	1351589	candesartan cilexetil 32 MG Oral Tablet [Atacand]	639543	EXACT			
673853	73697	1351589	candesartan cilexetil 32 MG Oral Tablet [Atacand]	639543	EXACT			
673870	73699	1351588	candesartan cilexetil 16 MG Oral Tablet [Atacand]	639539	EXACT			
673876	73701	1351586	candesartan cilexetil 8 MG Oral Tablet [Atacand]	577787	EXACT			
676573	73116	1351586	candesartan cilexetil 8 MG Oral Tablet [Atacand]	577787	EXACT			
676574	73117	1351588	candesartan cilexetil 16 MG Oral Tablet [Atacand]	639539	EXACT			
679570	73879	1351588	candesartan cilexetil 16 MG Oral Tablet [Atacand]	639539	EXACT			
679572	73880	1351589	candesartan cilexetil 32 MG Oral Tablet [Atacand]	639543	EXACT			
679958	73977	1351589	candesartan cilexetil 32 MG Oral Tablet [Atacand]	639543	EXACT			
683563	74641	1351586	candesartan cilexetil 8 MG Oral Tablet [Atacand]	577787	EXACT			
683582	74642	1351585	candesartan cilexetil 4 MG Oral Tablet [Atacand]	577785	EXACT			
683593	74643	1351589	candesartan cilexetil 32 MG Oral Tablet [Atacand]	639543	EXACT			
683612	74644	1351588	candesartan cilexetil 16 MG Oral Tablet [Atacand]	639539	EXACT			
684641	74775	1351586	candesartan cilexetil 8 MG Oral Tablet [Atacand]	577787	EXACT			
684642	74776	1351588	candesartan cilexetil 16 MG Oral Tablet [Atacand]	639539	EXACT			
684643	74777	1351589	candesartan cilexetil 32 MG Oral Tablet [Atacand]	639543	EXACT			
686208	75106	1351589	candesartan cilexetil 32 MG Oral Tablet [Atacand]	639543	EXACT			
687190	75337	1351586	candesartan cilexetil 8 MG Oral Tablet [Atacand]	577787	EXACT			
687191	75338	1351588	candesartan cilexetil 16 MG Oral Tablet [Atacand]	639539	EXACT			
687192	75339	1351589	candesartan cilexetil 32 MG Oral Tablet [Atacand]	639543	EXACT			
687198	75340	1351586	candesartan cilexetil 8 MG Oral Tablet [Atacand]	577787	EXACT			
687216	75341	1351588	candesartan cilexetil 16 MG Oral Tablet [Atacand]	639539	EXACT			
687232	75342	1351589	candesartan cilexetil 32 MG Oral Tablet [Atacand]	639543	EXACT			
687503	75391	1351585	candesartan cilexetil 4 MG Oral Tablet [Atacand]	577785	EXACT			
687512	75395	1351586	candesartan cilexetil 8 MG Oral Tablet [Atacand]	577787	EXACT			
687546	75397	1351588	candesartan cilexetil 16 MG Oral Tablet [Atacand]	639539	EXACT			
688729	75655	1351588	candesartan cilexetil 16 MG Oral Tablet [Atacand]	639539	EXACT			
688730	75656	1351586	candesartan cilexetil 8 MG Oral Tablet [Atacand]	577787	EXACT			
