cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
621326	63175	974702	candesartan cilexetil 16 MG / hydrochlorothiazide 12.5 MG Oral Tablet	578325	EXACT	corrected from brand-specific Atacand HCT concept on non-Atacand product		2026-03-15
654080	63175	974702	candesartan cilexetil 16 MG / hydrochlorothiazide 12.5 MG Oral Tablet	578325	EXACT	corrected from brand-specific Atacand HCT concept on non-Atacand product		2026-03-15
663072	71021	19121339	candesartan cilexetil 32 MG / hydrochlorothiazide 12.5 MG Oral Tablet	578330	EXACT			2026-03-12
663106	71026	19121339	candesartan cilexetil 32 MG / hydrochlorothiazide 12.5 MG Oral Tablet	578330	EXACT			2026-03-12
663107	71028	19131518	candesartan cilexetil 32 MG / hydrochlorothiazide 25 MG Oral Tablet	802749	EXACT			2026-03-12
663118	71022	19131518	candesartan cilexetil 32 MG / hydrochlorothiazide 25 MG Oral Tablet	802749	EXACT			2026-03-12
663135	71062	19121339	candesartan cilexetil 32 MG / hydrochlorothiazide 12.5 MG Oral Tablet	578330	EXACT			2026-03-12
663234	71068	19131518	candesartan cilexetil 32 MG / hydrochlorothiazide 25 MG Oral Tablet	802749	EXACT			2026-03-12
673815	73690	974702	candesartan cilexetil 16 MG / hydrochlorothiazide 12.5 MG Oral Tablet	578325	EXACT			2026-03-12
683632	74645	974702	candesartan cilexetil 16 MG / hydrochlorothiazide 12.5 MG Oral Tablet	578325	EXACT	corrected from brand-specific Atacand HCT concept on non-Atacand product		2026-03-15
686215	75109	43211712	candesartan 8 MG / Hydrochlorothiazide 12.5 MG Oral Tablet	OMOP447597	BROAD	local RxNorm search found no exact candesartan cilexetil 8/12.5 tablet concept	candesartan cilexetil 8 MG / hydrochlorothiazide 12.5 MG Oral Tablet	2026-03-15
686234	75110	974702	candesartan cilexetil 16 MG / hydrochlorothiazide 12.5 MG Oral Tablet	578325	EXACT			2026-03-12
686255	75111	19121339	candesartan cilexetil 32 MG / hydrochlorothiazide 12.5 MG Oral Tablet	578330	EXACT			2026-03-12
686274	75112	19131518	candesartan cilexetil 32 MG / hydrochlorothiazide 25 MG Oral Tablet	802749	EXACT			2026-03-12
688060	75526	974702	candesartan cilexetil 16 MG / hydrochlorothiazide 12.5 MG Oral Tablet	578325	EXACT	corrected from brand-specific Atacand HCT concept on non-Atacand product		2026-03-15
689163	75760	19121339	candesartan cilexetil 32 MG / hydrochlorothiazide 12.5 MG Oral Tablet	578330	EXACT			2026-03-12
689177	75761	19131518	candesartan cilexetil 32 MG / hydrochlorothiazide 25 MG Oral Tablet	802749	EXACT			2026-03-12
689781	75886	19121339	candesartan cilexetil 32 MG / hydrochlorothiazide 12.5 MG Oral Tablet	578330	EXACT			2026-03-12
689975	75930	19131518	candesartan cilexetil 32 MG / hydrochlorothiazide 25 MG Oral Tablet	802749	EXACT			2026-03-12
690144	63209	19131973	candesartan cilexetil 16 MG / hydrochlorothiazide 12.5 MG Oral Tablet [Atacand HCT]	805863	EXACT			2026-03-12
692454	76301	974702	candesartan cilexetil 16 MG / hydrochlorothiazide 12.5 MG Oral Tablet	578325	EXACT	corrected from brand-specific Atacand HCT concept on non-Atacand product		2026-03-15
692488	76313	974702	candesartan cilexetil 16 MG / hydrochlorothiazide 12.5 MG Oral Tablet	578325	EXACT	corrected from brand-specific Atacand HCT concept on non-Atacand product		2026-03-15
692585	76319	974702	candesartan cilexetil 16 MG / hydrochlorothiazide 12.5 MG Oral Tablet	578325	EXACT	corrected from brand-specific Atacand HCT concept on non-Atacand product		2026-03-15
