cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
711742	81094	CASPOFUNGINA STADA 50 mg POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Caspofungina 50 mg inyectable pefusion	50 mg	Vial	1	vial para inyección	CASPOFUNGINA ACETATO 50 mg	VÍA INTRAVENOSA	POLVO PARA CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	J02AX04 - Caspofungina	LABORATORIO STADA S.L.	2017-03-07	0	2024-10-03	Anulado	2024-10-03	1	0	0	0
711743	81095	CASPOFUNGINA STADA 70 mg POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Caspofungina 70 mg inyectable pefusion	70 mg	Vial	1	vial para inyección	CASPOFUNGINA ACETATO 70 mg	VÍA INTRAVENOSA	POLVO PARA CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	J02AX04 - Caspofungina	LABORATORIO STADA S.L.	2017-03-07	0	2024-10-03	Anulado	2024-10-03	1	0	0	0
713143	81315	CASPOFUNGINA GENFARMA 50 MG POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Caspofungina 50 mg inyectable pefusion	50 mg	Vial	1	vial para inyección	CASPOFUNGINA ACETATO 50 mg	VÍA INTRAVENOSA	POLVO PARA CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	J02AX04 - Caspofungina	GENFARMA LABORATORIO S.L.	2016-10-13	0	2021-08-04	Anulado	2021-08-04	1	0	0	0
713144	81316	CASPOFUNGINA GENFARMA 70 MG POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Caspofungina 70 mg inyectable pefusion	70 mg	Vial	1	vial para inyección	CASPOFUNGINA ACETATO 75 mg	VÍA INTRAVENOSA	POLVO PARA CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	J02AX04 - Caspofungina	GENFARMA LABORATORIO S.L.	2016-10-13	0	2021-08-04	Anulado	2021-08-04	1	0	0	0
713553	81412	CASPOFUNGINA SANDOZ FARMACÉUTICA 50 mg POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Caspofungina 50 mg inyectable pefusion	50 mg	Vial	1	vial para inyección	CASPOFUNGINA 50 mg	VÍA INTRAVENOSA	POLVO PARA CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	J02AX04 - Caspofungina	SANDOZ FARMACEUTICA S.A.	2016-11-15	0	2024-11-15	Anulado	2024-11-15	1	0	0	0
713554	81413	CASPOFUNGINA SANDOZ FARMACÉUTICA 70 mg POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Caspofungina 70 mg inyectable pefusion	70 mg	Vial	1	vial para inyección	CASPOFUNGINA 70 mg	VÍA INTRAVENOSA	POLVO PARA CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	J02AX04 - Caspofungina	SANDOZ FARMACEUTICA S.A.	2016-11-15	0	2024-11-15	Anulado	2024-11-15	1	0	0	0
713571	81424	CASPOFUNGINA TEVA 50 MG POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Caspofungina 50 mg inyectable pefusion	50 mg	Vial	1	vial para inyección	CASPOFUNGINA 50 mg	VÍA INTRAVENOSA	POLVO PARA CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	J02AX04 - Caspofungina	TEVA PHARMA S.L.U.	2017-01-18	0	2019-11-26	Anulado	2019-11-26	1	0	0	0
713572	81425	CASPOFUNGINA TEVA 70 MG POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Caspofungina 70 mg inyectable pefusion	70 mg	Vial	1	vial para inyección	CASPOFUNGINA 70 mg	VÍA INTRAVENOSA	POLVO PARA CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	J02AX04 - Caspofungina	TEVA PHARMA S.L.U.	2017-01-18	0	2020-04-29	Anulado	2020-04-29	1	0	0	0
714037	81549	CASPOFUNGINA FRESENIUS KABI 50 MG POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Caspofungina 50 mg inyectable pefusion	50 mg	Vial	1	vial para inyección	CASPOFUNGINA ACETATO 50 mg	VÍA INTRAVENOSA	POLVO PARA CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	J02AX04 - Caspofungina	FRESENIUS KABI ESPAÑA, S.A.U.	2017-04-26	0	2025-02-13	Anulado	2025-02-13	1	0	0	0
714038	81550	CASPOFUNGINA FRESENIUS KABI 70 MG POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION EFG	Caspofungina 70 mg inyectable pefusion	70 mg	Vial	1	vial para inyección	CASPOFUNGINA ACETATO 70 mg	VÍA INTRAVENOSA	POLVO PARA CONCENTRADO PARA SOLUCIÓN PARA PERFUSIÓN	1	J02AX04 - Caspofungina	FRESENIUS KABI ESPAÑA, S.A.U.	2017-04-26	0	2025-02-13	Anulado	2025-02-13	1	0	0	0
