cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
640680	58819	19103316	cefixime 200 MG Oral Capsule	410018	EXACT			
645432	60469	19103288	cefixime 400 MG Oral Capsule	409823	EXACT			
650286	66397	19103288	cefixime 400 MG Oral Capsule	409823	EXACT			
650287	66398	19103316	cefixime 200 MG Oral Capsule	410018	EXACT			
650288	66398	19103316	cefixime 200 MG Oral Capsule	410018	EXACT			
690016	60469	19103288	cefixime 400 MG Oral Capsule	409823	EXACT			
693803	66398	19103316	cefixime 200 MG Oral Capsule	410018	EXACT			
693805	66398	19103316	cefixime 200 MG Oral Capsule	410018	EXACT			
694982	58819	19103316	cefixime 200 MG Oral Capsule	410018	EXACT			
694983	58819	19103316	cefixime 200 MG Oral Capsule	410018	EXACT			
727482	84692	19018845	cefixime 200 MG Oral Tablet	197450	EXACT			
727483	84692	19018845	cefixime 200 MG Oral Tablet	197450	EXACT			
727485	84693	1796438	cefixime 400 MG Oral Tablet	197451				
767687	90326	1796438	cefixime 400 MG Oral Tablet	197451	EXACT			
767691	90326	1796438	cefixime 400 MG Oral Tablet	197451	EXACT			
767712	90331	19018845	cefixime 200 MG Oral Tablet	197450	EXACT			
767713	90331	19018845	cefixime 200 MG Oral Tablet	197450	EXACT			
767714	90332	1796438	cefixime 400 MG Oral Tablet	197451				
798991	65856	19103288	cefixime 400 MG Oral Capsule	409823	EXACT			
