cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
600251	66863	CEFTAZIDIMA ACCORD 1 g POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EFG	Ceftazidima 1.000 mg inyectable	1.000 mg	Vial	50	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 1000 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	J01DD02 - Ceftazidima	ACCORD HEALTHCARE S.L.U.	0	0	0
600256	66865	CEFTAZIDIMA ACCORD 2 g POLVO  PARA PERFUSION EFG	Ceftazidima 2.000 mg inyectable perfusión	2.000 mg	Vial	50	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 2000 mg	VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN PARA PERFUSIÓN	J01DD02 - Ceftazidima	ACCORD HEALTHCARE S.L.U.	0	0	0
600257	66866	CEFTAZIDIMA ACCORD 1 g POLVO PARA PERFUSION EFG	Ceftazidima 1.000 mg inyectable perfusión	1.000 mg	Vial	50	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 1000 mg	VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN PARA PERFUSIÓN	J01DD02 - Ceftazidima	ACCORD HEALTHCARE S.L.U.	0	0	0
600291	67006	CEFTAZIDIMA NORMON 1 g POLVO PARA SOLUCION PARA PERFUSION EFG	Ceftazidima 1.000 mg inyectable perfusión	1.000 mg	Vial	50	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 1000 mg	VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN PARA PERFUSIÓN	J01DD02 - Ceftazidima	LABORATORIOS NORMON S.A.	0	0	0
600292	67007	CEFTAZIDIMA NORMON 1 g POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EFG	Ceftazidima 1.000 mg inyectable	1.000 mg	Vial	50	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 1000 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	J01DD02 - Ceftazidima	LABORATORIOS NORMON S.A.	0	0	0
600293	67008	CEFTAZIDIMA NORMON 2 g POLVO PARA SOLUCION PARA PERFUSION EFG	Ceftazidima 2.000 mg inyectable perfusión	2.000 mg	Vial	50	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 2000 mg	VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN PARA PERFUSIÓN	J01DD02 - Ceftazidima	LABORATORIOS NORMON S.A.	0	0	0
600294	67009	CEFTAZIDIMA NORMON 500 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EFG	Ceftazidima 500 mg inyectable	500 mg	Vial	50	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 500 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	J01DD02 - Ceftazidima	LABORATORIOS NORMON S.A.	0	0	0
600633	67871	CEFTAZIDIMA SALA 1.000 mg POLVO PARA SOLUCION PARA PERFUSION EFG	Ceftazidima 1.000 mg inyectable perfusión	1.000 mg	Vial	50	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 1000 mg	VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN PARA PERFUSIÓN	J01DD02 - Ceftazidima	LABORATORIO REIG JOFRE, S.A.	0	0	0
600634	67872	CEFTAZIDIMA SALA 2.000 mg POLVO PARA SOLUCION PARA PERFUSION EFG	Ceftazidima 2.000 mg inyectable perfusión	2.000 mg	Vial	50	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 2000 mg	VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN PARA PERFUSIÓN	J01DD02 - Ceftazidima	LABORATORIO REIG JOFRE, S.A.	0	0	0
600637	67873	CEFTAZIDIMA SALA 1.000 mg POLVO PARA SOLUCION INYECTABLE EFG	Ceftazidima 1.000 mg inyectable	1.000 mg	Vial	50	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 1000 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE	J01DD02 - Ceftazidima	LABORATORIO REIG JOFRE, S.A.	0	0	0
600754	68121	CEFTAZIDIMA LDP TORLAN 1.000 mg POLVO PARA SOLUCION PARA PERFUSION EFG	Ceftazidima 1.000 mg inyectable perfusión	1.000 mg	Vial	50	vial para inyección	CEFTAZIDIMA 1000 mg	VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN PARA PERFUSIÓN	J01DD02 - Ceftazidima	LDP LABORATORIOS TORLAN S.A.	0	0	0
600755	68122	CEFTAZIDIMA LDP TORLAN 2 G POLVO PARA SOLUCION PARA PERFUSION EFG	Ceftazidima 2.000 mg inyectable perfusión	2.000 mg	Vial	50	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 2000 mg	VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN PARA PERFUSIÓN	J01DD02 - Ceftazidima	LDP LABORATORIOS TORLAN S.A.	0	0	0
600756	68123	CEFTAZIDIMA LDP TORLAN 500 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EFG	Ceftazidima 500 mg inyectable	500 mg	Vial	50	vial para inyección	CEFTAZIDIMA 500 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	J01DD02 - Ceftazidima	LDP LABORATORIOS TORLAN S.A.	0	0	0
600757	68124	CEFTAZIDIMA LDP TORLAN 1.000 mg polvo y disolvente para solución inyectable EFG	Ceftazidima 1.000 mg inyectable	1.000 mg	Vial	50	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 1000 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	J01DD02 - Ceftazidima	LDP LABORATORIOS TORLAN S.A.	0	0	0
603248	71574	CEFTAZIDIMA KABI 1 g POLVO PARA SOLUCION INYECTABLE EFG	Ceftazidima 1.000 mg inyectable	1.000 mg	Vial	10	vial para inyección	CEFTAZIDIMA 1000 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	J01DD02 - Ceftazidima	FRESENIUS KABI ESPAÑA, S.A.U.	0	0	0
605910	72674	CEFTAZIDIMA KABI 2 g POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG	Ceftazidima 2.000 mg inyectable perfusión	2.000 mg	Frasco	10	frasco perfusión	CEFTAZIDIMA 2000 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	J01DD02 - Ceftazidima	FRESENIUS KABI ESPAÑA, S.A.U.	0	0	0
607080	79991	CEFTAZIDIMA MIP 1 G POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG	Ceftazidima 1.000 mg inyectable	1.000 mg	Vial	10	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 1000 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	J01DD02 - Ceftazidima	MIP PHARMA GMBH	0	0	0
607081	79992	CEFTAZIDIMA MIP 2 G POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG	Ceftazidima 2.000 mg inyectable perfusión	2.000 mg	Vial	10	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 2000 mg	VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	J01DD02 - Ceftazidima	MIP PHARMA GMBH	0	0	0
607178	83901	CEFTAZIDIMA QILU 1 G POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG	Ceftazidima 1.000 mg inyectable	1.000 mg	Vial	50	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 1000 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	J01DD02 - Ceftazidima	QILU PHARMA SPAIN S.L.	0	0	0
607179	83902	CEFTAZIDIMA QILU 2 G POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG	Ceftazidima 2.000 mg inyectable perfusión	2.000 mg	Vial	50	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 2000 mg	VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	J01DD02 - Ceftazidima	QILU PHARMA SPAIN S.L.	0	0	0
607514	68122	CEFTAZIDIMA LDP TORLAN 2 G POLVO PARA SOLUCION PARA PERFUSION EFG	Ceftazidima 2.000 mg inyectable perfusión	2.000 mg	Vial	10	vial para inyección	CEFTAZIDIMA 2000 mg	VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN PARA PERFUSIÓN	J01DD02 - Ceftazidima	LDP LABORATORIOS TORLAN S.A.	0	0	0
607842	89855	CEFTAZIDIMA LDP TORLAN 1 G POLVO PARA SOLUCIÓN INYECTABLE Y PARA PERFUSION EFG	Ceftazidima 1.000 mg inyectable	1.000 mg	Vial	10	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 1000 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	J01DD02 - Ceftazidima	LDP LABORATORIOS TORLAN S.A.	0	0	0
635052	56612	FORTAM 1 g  POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE	Ceftazidima 1.000 mg inyectable	1.000 mg	Vial	50	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 1000 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	J01DD02 - Ceftazidima	GLAXOSMITHKLINE S.A.	0	0	0
635078	56613	FORTAM 2 g POLVO PARA SOLUCION PARA PERFUSION	Ceftazidima 2.000 mg inyectable perfusión	2.000 mg	Vial	50	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 2000 mg	VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN PARA PERFUSIÓN	J01DD02 - Ceftazidima	GLAXOSMITHKLINE S.A.	0	0	0
652070	67007	CEFTAZIDIMA NORMON 1 g POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EFG	Ceftazidima 1.000 mg inyectable	1.000 mg	Vial	1	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 1000 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	J01DD02 - Ceftazidima	LABORATORIOS NORMON S.A.	0	0	0
652071	67008	CEFTAZIDIMA NORMON 2 g POLVO PARA SOLUCION PARA PERFUSION EFG	Ceftazidima 2.000 mg inyectable perfusión	2.000 mg	Vial	1	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 2000 mg	VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN PARA PERFUSIÓN	J01DD02 - Ceftazidima	LABORATORIOS NORMON S.A.	0	0	0
652072	67009	CEFTAZIDIMA NORMON 500 mg POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE EFG	Ceftazidima 500 mg inyectable	500 mg	Vial	1	vial para inyección	CEFTAZIDIMA PENTAHIDRATO 500 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	J01DD02 - Ceftazidima	LABORATORIOS NORMON S.A.	0	0	0
