cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
603177	71057	CEFTRIAXONA LDP TORLAN 250 MG POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE INTRAVENOSA EFG	Ceftriaxona 250 mg inyectable IV	250 mg	Vial	100	vial para inyección	CEFTRIAXONA 250 mg	VÍA INTRAVENOSA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	1	J01DD04 - Ceftriaxona	LDP LABORATORIOS TORLAN S.A.	2009-06-17	1	2012-10-23	Autorizado	2009-06-17	1	0	0	0
605923	64405	CEFTRIAXONA REIG JOFRE 1G POLVO Y SOLUCIÓN PARA SOLUCIÓN INYECTABLE INTRAMUSCULAR EFG	Ceftriaxona 1.000 mg inyectable IM	1.000 mg	Vial	100	vial para inyección	CEFTRIAXONA 1000 mg	VÍA INTRAMUSCULAR	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	2	J01DD04 - Ceftriaxona	LABORATORIO REIG JOFRE, S.A.	2001-11-26	1	2012-01-02	Autorizado	2001-11-26	1	0	0	0
607097	83553	MEDAXONE 1 G POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG	Ceftriaxona 1.000 mg inyectable IV	1000 mg	Vial	100	vial para inyección	CEFTRIAXONA 1000 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	J01DD04 - Ceftriaxona	MEDOCHEMIE LIMITED	2018-10-31	1	2019-06-06	Autorizado	2018-11-01	1	0	0	0
607098	83554	MEDAXONE 2 G POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG	Ceftriaxona 2.000 mg inyectable IV	2.000 mg	Vial	100	vial para inyección	CEFTRIAXONA 2000 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	J01DD04 - Ceftriaxona	MEDOCHEMIE LIMITED	2018-10-31	1	2019-06-06	Autorizado	2018-11-01	1	0	0	0
607180	83903	CEFTRIAXONA QILU 1 G POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG	Ceftriaxona 1.000 mg inyectable IV	1.000 mg	Vial	100	vial para inyección	CEFTRIAXONA SODICA 1000 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	J01DD04 - Ceftriaxona	QILU PHARMA SPAIN S.L.	2019-03-06	1	2020-09-02	Autorizado	2019-03-07	1	0	0	0
607182	83905	CEFTRIAXONA QILU 2 G POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG	Ceftriaxona 2.000 mg inyectable IV	2.000 mg	Vial	100	vial para inyección	CEFTRIAXONA SODICA 2000 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	J01DD04 - Ceftriaxona	QILU PHARMA SPAIN S.L.	2019-03-06	1	2020-09-08	Autorizado	2019-03-07	1	0	0	0
607505	87362	CEFTRIAXONA LDP TORLAN 1 G POLVO PARA SOLUCION INYECTABLE Y PARA PERFUSION EFG	Ceftriaxona 1.000 mg inyectable IV	1.000 mg	Vial	10	vial para inyección	CEFTRIAXONA 1000 mg	VÍA INTRAMUSCULAR|VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	J01DD04 - Ceftriaxona	LDP LABORATORIOS TORLAN S.A.	2022-05-23	1	2022-09-06	Autorizado	2022-05-24	1	0	0	0
608158	64538	CEFTRIAXONA FRESENIUS KABI 1 G, POLVO PARA SOLUCION INYECTABLE INTRAVENOSA EFG	Ceftriaxona 1.000 mg inyectable IV	1.000 mg	Vial	100	vial para inyección	CEFTRIAXONA SODICA 1000 mg	VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN INYECTABLE	1	J01DD04 - Ceftriaxona	FRESENIUS KABI ESPAÑA, S.A.U.	2002-02-04	0	2021-06-23	Autorizado	2002-02-04	1	0	0	0
608208	64539	CEFTRIAXONA FRESENIUS KABI 2 g POLVO PARA SOLUCIÓN PARA PERFUSIÓN EFG	Ceftriaxona 2.000 mg inyectable IV	2.000 mg	Vial	100	vial para inyección	CEFTRIAXONA SODICA 2000 mg	VÍA INTRAVENOSA	POLVO PARA SOLUCIÓN PARA PERFUSIÓN	1	J01DD04 - Ceftriaxona	FRESENIUS KABI ESPAÑA, S.A.U.	2002-02-04	0	2022-05-19	Autorizado	2002-02-04	1	0	0	0
608216	64540	CEFTRIAXONA FRESENIUS KABI 1 g POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE INTRAMUSCULAR EFG	Ceftriaxona 1.000 mg inyectable IM	1.000 mg	Vial	100	vial para inyección	CEFTRIAXONA SODICA 1000 mg	VÍA INTRAMUSCULAR	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	1	J01DD04 - Ceftriaxona	FRESENIUS KABI ESPAÑA, S.A.U.	2002-02-04	0	2021-06-23	Autorizado	2002-02-04	1	0	0	0
