cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
600747	68114	19075001	cefuroxime 250 MG Oral Tablet	309097	EXACT			2026-03-13
600748	68115	19075002	cefuroxime 500 MG Oral Tablet	309098	EXACT			2026-03-13
606818	76098	46287413	cefuroxime Injection	1665443	BROAD		cefuroxime 50 MG Injection	2026-03-13
602470	68473	46287413	cefuroxime Injection	1665443	BROAD		cefuroxime 250 MG Injection	2026-03-13
603017	69956	19075002	cefuroxime 500 MG Oral Tablet	309098	EXACT			2026-03-13
607313	84566	46287414	cefuroxime 1500 MG Injection	1665444	EXACT			2026-03-12
607314	84567	46287419	cefuroxime 750 MG Injection	1665449	EXACT			2026-03-12
618751	62908	46287419	cefuroxime 750 MG Injection	1665449	EXACT			2026-03-13
618769	62907	46287414	cefuroxime 1500 MG Injection	1665444	EXACT			2026-03-13
618777	62909	46287413	cefuroxime Injection	1665443	BROAD		cefuroxime 250 MG Injection	2026-03-13
625889	64948	46287419	cefuroxime 750 MG Injection	1665449	EXACT			2026-03-13
626085	64949	46287414	cefuroxime 1500 MG Injection	1665444	EXACT			2026-03-13
638551	58309	19075002	cefuroxime 500 MG Oral Tablet	309098	EXACT			2026-03-13
638569	58305	19006516	cefuroxime 250 MG Oral Tablet [Zinnat]	105186	EXACT			2026-03-12
662785	70909	19075001	cefuroxime 250 MG Oral Tablet	309097	EXACT			2026-03-12
662894	70910	19075002	cefuroxime 500 MG Oral Tablet	309098	EXACT			2026-03-13
694023	68114	19075001	cefuroxime 250 MG Oral Tablet	309097	EXACT			2026-03-13
694024	68114	19075001	cefuroxime 250 MG Oral Tablet	309097	EXACT			2026-03-13
694025	68114	19075001	cefuroxime 250 MG Oral Tablet	309097	EXACT			2026-03-13
694027	68115	19075002	cefuroxime 500 MG Oral Tablet	309098	EXACT			2026-03-13
694028	68115	19075002	cefuroxime 500 MG Oral Tablet	309098	EXACT			2026-03-13
694029	68115	19075002	cefuroxime 500 MG Oral Tablet	309098	EXACT			2026-03-13
694348	71020	19075002	cefuroxime 500 MG Oral Tablet	309098	EXACT			2026-03-13
694350	71020	19075002	cefuroxime 500 MG Oral Tablet	309098	EXACT			2026-03-13
694712	70909	19075001	cefuroxime 250 MG Oral Tablet	309097	EXACT			2026-03-12
694713	70909	19075001	cefuroxime 250 MG Oral Tablet	309097	EXACT			2026-03-12
694714	70909	19075001	cefuroxime 250 MG Oral Tablet	309097	EXACT			2026-03-12
694715	70910	19075002	cefuroxime 500 MG Oral Tablet	309098	EXACT			2026-03-13
694716	70910	19075002	cefuroxime 500 MG Oral Tablet	309098	EXACT			2026-03-13
