cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
606248	77903	CELECOXIB TARBIS FARMA 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	100	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	TARBIS FARMA S.L.	2013-09-09	1	2019-10-17	Autorizado	2019-02-18	1	0	0	0
606528	78919	CELECOXIB VIR 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	100	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	INDUSTRIA QUIMICA Y FARMACEUTICA VIR S.A.	2014-11-25	0	2020-11-18	Anulado	2020-11-18	1	0	0	0
652981	63072	CELEBREX 100 MG CAPSULAS DURAS	Celecoxib 100 mg cápsula	100 mg	Blister	60	cápsula	CELECOXIB 100 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	VIATRIS HEALTHCARE LIMITED	2000-04-10	1	2012-04-09	Autorizado	2000-04-10	1	0	0	0
694444	76749	CELECOXIB TEVA 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	TEVA PHARMA S.L.U.	2012-11-12	1	2014-10-11	Autorizado	2014-10-01	1	0	0	0
694446	76750	CELECOXIB RATIOPHARM 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	TEVA PHARMA S.L.U.	2012-11-12	0	2023-02-15	Anulado	2023-02-15	1	0	0	0
697507	77379	CELECOXIB TECNIGEN 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	TECNIMEDE ESPAÑA INDUSTRIA FARMACEUTICA S.A.	2013-04-07	1	2014-09-18	Autorizado	2014-08-20	1	0	0	0
697824	77466	CELECOXIB MYLAN PHARMACEUTICALS  200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	MYLAN PHARMACEUTICALS S.L.	2013-04-24	0	2024-01-18	Anulado	2024-01-18	1	0	0	0
699136	77859	CELENIB 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	NEURAXPHARM SPAIN S.L.U.	2013-08-19	1	2014-10-02	Autorizado	2014-09-24	1	0	0	0
699329	77902	CELECOXIB MABO 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	MABO FARMA S.A.	2013-09-09	1	2014-10-10	Autorizado	2014-09-24	1	0	0	0
699424	77903	CELECOXIB TARBIS FARMA 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	TARBIS FARMA S.L.	2013-09-09	1	2019-02-26	Autorizado	2019-02-18	1	0	0	0
699842	78034	CELECOXIB PHARMAKERN 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	KERN PHARMA S.L.	2013-10-07	0	2023-02-15	Anulado	2023-02-15	1	0	0	0
700849	63891	ARTILOG 200 mg CAPSULAS DURAS	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	VIATRIS HEALTHCARE LIMITED	2002-06-07	1	2011-10-17	Autorizado	2002-06-07	1	0	0	0
701153	78364	CELECOXIB ZENTIVA 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	ZENTIVA K.S.	2014-01-09	0	2020-04-18	Anulado	2020-04-18	1	0	0	0
701642	78506	CELECOXIB KRKA 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	KRKA D.D. NOVO MESTO	2014-03-05	1	2014-10-15	Autorizado	2014-08-28	1	0	0	0
701646	78508	CELECOXIB KRKA 100 MG CAPSULAS DURAS EFG	Celecoxib 100 mg cápsula	100 mg	Blister	60	cápsula	CELECOXIB 100 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	KRKA D.D. NOVO MESTO	2014-03-05	0	2021-12-29	Anulado	2021-12-29	1	0	0	0
701793	78565	CELECOXIB CINFA 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	LABORATORIOS CINFA S.A.	2014-03-12	1	2014-09-15	Autorizado	2014-09-15	1	0	0	0
701825	78577	CELECOXIB STADA 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	LABORATORIO STADA S.L.	2014-03-21	1	2014-10-08	Autorizado	2014-03-21	1	0	0	0
701829	78578	CELECOXIB COMBIX 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	LABORATORIOS COMBIX S.L.U.	2014-03-21	1	2014-10-11	Autorizado	2014-10-10	1	0	0	0
702116	78687	CELECOXIB NORMON 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	LABORATORIOS NORMON S.A.	2014-04-16	1	2014-10-10	Autorizado	2014-04-16	1	0	0	0
702120	78688	CELECOXIB AMNEAL 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	AMNEAL PHARMA EUROPE LIMITED	2014-04-16	0	2019-03-20	Anulado	2019-03-20	1	0	0	0
702156	78702	CELECOXIB ACTAVIS 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	ACTAVIS GROUP PTC EHF.	2014-04-28	0	2020-02-14	Anulado	2020-02-14	1	0	0	0
702380	78770	CELECOXIB APOTEX 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	APOTEX EUROPE B.V.	2014-05-21	0	2021-03-08	Anulado	2021-03-08	1	0	0	0
702622	78823	CELECOXIB ALMUS 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	ALMUS FARMACEUTICA S.A.U.	2014-07-17	1	2014-10-14	Autorizado	2014-07-17	1	0	0	0
702781	78861	CELECOXIB SANDOZ 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	SANDOZ FARMACEUTICA S.A.	2014-07-17	1	2014-10-14	Autorizado	2014-07-17	1	0	0	0
703049	78919	CELECOXIB VIR 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	20	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	INDUSTRIA QUIMICA Y FARMACEUTICA VIR S.A.	2014-11-25	0	2020-11-18	Anulado	2020-11-18	1	0	0	0
703050	78919	CELECOXIB VIR 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	INDUSTRIA QUIMICA Y FARMACEUTICA VIR S.A.	2014-11-25	0	2020-11-18	Anulado	2020-11-18	1	0	0	0
703560	79034	CELECOXIB ALTER 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	LABORATORIOS ALTER S.A.	2014-09-15	1	2014-10-11	Autorizado	2014-09-15	1	0	0	0
703564	79035	METICEL 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	LABORATORIOS ALTER S.A.	2014-09-15	1	2014-10-11	Autorizado	2014-09-15	1	0	0	0
706038	79704	CELECOXIB VIATRIS 200 MG CAPSULAS DURAS EFG	Celecoxib 200 mg cápsula	200 mg	Blister	30	cápsula	CELECOXIB 200 mg	VÍA ORAL	CÁPSULA DURA	1	M01AH01 - Celecoxib	VIATRIS LIMITED	2015-08-26	1	2021-07-12	Autorizado	2021-02-16	1	0	0	0
