cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
656346	68158	950098	ciclopirox	21090	BROAD			
667857	61719	36259737	ciclopirox 0.08 MG/MG Medicated nail lacquer	OMOP3110612				
669362	72143	36259737	ciclopirox 0.08 MG/MG Medicated nail lacquer	OMOP3110612				
678200	73001	950098	ciclopirox	21090	BROAD			
683799	74682	36259737	ciclopirox 0.08 MG/MG Medicated nail lacquer	OMOP3110612				
686296	75114	950098	ciclopirox	21090	BROAD			
687438	75380	950098	ciclopirox	21090	BROAD			
696750	77129	36259737	ciclopirox 0.08 MG/MG Medicated nail lacquer	OMOP3110612				
696751	77129	36259737	ciclopirox 0.08 MG/MG Medicated nail lacquer	OMOP3110612				
696940	77178	36259737	ciclopirox 0.08 MG/MG Medicated nail lacquer	OMOP3110612				
697304	77305	36259737	ciclopirox 0.08 MG/MG Medicated nail lacquer	OMOP3110612				
697647	61719	36259737	ciclopirox 0.08 MG/MG Medicated nail lacquer	OMOP3110612				
709252	80496	950098	ciclopirox	21090	BROAD			
724981	83868	950098	ciclopirox	21090	BROAD			
725760	84137	36259737	ciclopirox 0.08 MG/MG Medicated nail lacquer	OMOP3110612				
725761	84137	36259737	ciclopirox 0.08 MG/MG Medicated nail lacquer	OMOP3110612				
726569	84423	36259737	ciclopirox 0.08 MG/MG Medicated nail lacquer	OMOP3110612				
726590	84430	36259737	ciclopirox 0.08 MG/MG Medicated nail lacquer	OMOP3110612				
926527	56884	950098	ciclopirox	21090	BROAD			
967612	56884	950098	ciclopirox	21090	BROAD			
968560	56941	950098	ciclopirox	21090	BROAD			
969345	56990	950098	ciclopirox	21090	BROAD			
