cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
608612	49154	CITARABINA PFIZER 100 mg POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	Citarabina 100 mg inyectable	100 mg	Vial	100	vial para inyección	CITARABINA 100 mg	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	1	L01BC01 - Citarabina	PFIZER S.L.	1970-12-01	1	2011-02-11	Autorizado	1970-12-01	1	0	0	0
608661	56463	CITARABINA PFIZER 500 mg POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	Citarabina 500 mg inyectable	500 mg	Vial	25	vial para inyección	CITARABINA 500 mg	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	POLVO Y DISOLVENTE PARA SOLUCIÓN INYECTABLE	1	L01BC01 - Citarabina	PFIZER S.L.	1984-11-01	0	2011-02-11	Autorizado	2025-09-22	1	0	0	0
682432	74455	CITARABINA ACCORD 100 mg/ml SOLUCION INYECTABLE Y PARA PERFUSION	Citarabina 100 mg inyectable	100 mg/ml inyectable 1 ml	Vial	1	vial para inyección	CITARABINA 100 mg	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	L01BC01 - Citarabina	ACCORD HEALTHCARE S.L.U.	2011-07-20	1	2011-12-23	Autorizado	2011-07-20	1	0	0	0
682433	74455	CITARABINA ACCORD 100 mg/ml SOLUCION INYECTABLE Y PARA PERFUSION	Citarabina 500 mg inyectable	100 mg/ml inyectable 5 ml	Vial	1	vial para inyección	CITARABINA 100 mg	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	L01BC01 - Citarabina	ACCORD HEALTHCARE S.L.U.	2011-07-20	1	2011-12-23	Autorizado	2011-07-20	1	0	0	0
682434	74455	CITARABINA ACCORD 100 mg/ml SOLUCION INYECTABLE Y PARA PERFUSION	Citarabina 1.000 mg inyectable 10 ml	100 mg/ml inyectable 10 ml	Vial	1	vial para inyección	CITARABINA 100 mg	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	L01BC01 - Citarabina	ACCORD HEALTHCARE S.L.U.	2011-07-20	1	2011-12-23	Autorizado	2011-07-20	1	0	0	0
697290	74455	CITARABINA ACCORD 100 mg/ml SOLUCION INYECTABLE Y PARA PERFUSION	Citarabina 2.000 mg inyectable 20 ml	100 mg en inyectable 20 ml	Vial	1	vial para inyección	CITARABINA 100 mg	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	L01BC01 - Citarabina	ACCORD HEALTHCARE S.L.U.	2011-07-20	1	2014-03-10	Autorizado	2011-07-20	1	0	0	0
697473	77352	CITARABINA KABI 100MG/ML SOLUCION INYECTABLE O PARA PERFUSION	Citarabina 100 mg inyectable	100 mg/ml inyectable 1 ml	Vial	1	vial para inyección	CITARABINA 100 mg	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	L01BC01 - Citarabina	FRESENIUS KABI ESPAÑA, S.A.U.	2013-07-01	0	2018-06-12	Suspenso	2024-08-02	1	0	0	0
697474	77352	CITARABINA KABI 100MG/ML SOLUCION INYECTABLE O PARA PERFUSION	Citarabina 500 mg inyectable	100 mg/ml inyectable 5 ml	Vial	1	vial para inyección	CITARABINA 100 mg	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	L01BC01 - Citarabina	FRESENIUS KABI ESPAÑA, S.A.U.	2013-07-01	0	2018-06-12	Suspenso	2024-08-02	1	0	0	0
697475	77352	CITARABINA KABI 100MG/ML SOLUCION INYECTABLE O PARA PERFUSION	Citarabina 1.000 mg inyectable 10 ml	100 mg/ml inyectable 10 ml	Vial	1	vial para inyección	CITARABINA 100 mg	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	L01BC01 - Citarabina	FRESENIUS KABI ESPAÑA, S.A.U.	2013-07-01	0	2022-09-15	Suspenso	2024-08-02	1	0	0	0
697476	77352	CITARABINA KABI 100MG/ML SOLUCION INYECTABLE O PARA PERFUSION	Citarabina 2.000 mg inyectable 20 ml	100 mg inyectable 20 ml	Vial	1	vial para inyección	CITARABINA 100 mg	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE Y PARA PERFUSIÓN	1	L01BC01 - Citarabina	FRESENIUS KABI ESPAÑA, S.A.U.	2013-07-01	0	2018-06-12	Suspenso	2024-08-02	1	0	0	0
