cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
698557	77713	19064246	citicoline 100 MG/ML Oral Solution	251062	EXACT			
709199	80477	19064246	citicoline 100 MG/ML Oral Solution	251062	EXACT			
709200	80478	19064246	citicoline 100 MG/ML Oral Solution	251062	EXACT			
709219	80483	19064246	citicoline 100 MG/ML Oral Solution	251062	EXACT			
720391	82773	19064246	citicoline 100 MG/ML Oral Solution	251062	EXACT			
720609	80478	19064246	citicoline 100 MG/ML Oral Solution	251062	EXACT			
722043	80478	19064246	citicoline 100 MG/ML Oral Solution	251062	EXACT			
730228	80477	19064246	citicoline 100 MG/ML Oral Solution	251062	EXACT			
733070	86655	19064246	citicoline 100 MG/ML Oral Solution	251062	EXACT			
733071	86655	19064246	citicoline 100 MG/ML Oral Solution	251062	EXACT			
769495	80478	19064246	citicoline 100 MG/ML Oral Solution	251062	EXACT			
