cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
607551	88294	BACTISEPTIC PHARMA 20 MG/ML + 0,70 ML/ML SOLUCIÓN CUTÁNEA	Clorhexidina/Alcohol isopropílico 20 mg/ml + 0,7 ml/ml líquido uso tópico	20 mg/ml + 0,7 mg/ml	Frasco	1800	ml	CLORHEXIDINA DIGLUCONATO 20 mg|ISOPROPIL ALCOHOL 0,7 mg	USO CUTÁNEO	SOLUCIÓN CUTÁNEA	2	D08AC52 - Clorhexidina, combinaciones con	VESISMIN S.L.U.	2022-11-21	1	2023-02-24	Autorizado	2022-11-22	0	0	0	0
607552	88294	BACTISEPTIC PHARMA 20 MG/ML + 0,70 ML/ML SOLUCIÓN CUTÁNEA	Clorhexidina/Alcohol isopropílico 20 mg/ml + 0,7 ml/ml líquido uso tópico	20 mg/ml + 0,7 mg/ml	Frasco	4500	ml	CLORHEXIDINA DIGLUCONATO 20 mg|ISOPROPIL ALCOHOL 0,7 mg	USO CUTÁNEO	SOLUCIÓN CUTÁNEA	2	D08AC52 - Clorhexidina, combinaciones con	VESISMIN S.L.U.	2022-11-21	1	2023-02-24	Autorizado	2022-11-22	0	0	0	0
607553	88294	BACTISEPTIC PHARMA 20 MG/ML + 0,70 ML/ML SOLUCIÓN CUTÁNEA	Clorhexidina/Alcohol isopropílico 20 mg/ml + 0,7 ml/ml líquido uso tópico	20 mg/ml + 0,7 mg/ml	Frasco	3750	ml	CLORHEXIDINA DIGLUCONATO 20 mg|ISOPROPIL ALCOHOL 0,7 mg	USO CUTÁNEO	SOLUCIÓN CUTÁNEA	2	D08AC52 - Clorhexidina, combinaciones con	VESISMIN S.L.U.	2022-11-21	1	2023-02-24	Autorizado	2022-11-22	0	0	0	0
607554	88295	BACTISEPTIC PHARMA ORANGE 20 MG/ML + 0,70 ML/ML SOLUCIÓN CUTÁNEA	Clorhexidina/Alcohol isopropílico 20 mg/ml + 0,7 ml/ml líquido uso tópico	20 mg/ml + 0,7 mg/ml	Frasco	1800	ml	CLORHEXIDINA DIGLUCONATO 20 mg|ISOPROPIL ALCOHOL 0,7 mg	USO CUTÁNEO	SOLUCIÓN CUTÁNEA	2	D08AC52 - Clorhexidina, combinaciones con	VESISMIN S.L.U.	2022-11-21	1	2023-02-24	Autorizado	2022-11-22	0	0	0	0
607555	88295	BACTISEPTIC PHARMA ORANGE 20 MG/ML + 0,70 ML/ML SOLUCIÓN CUTÁNEA	Clorhexidina/Alcohol isopropílico 20 mg/ml + 0,7 ml/ml líquido uso tópico	20 mg/ml + 0,7 mg/ml	Frasco	3750	ml	CLORHEXIDINA DIGLUCONATO 20 mg|ISOPROPIL ALCOHOL 0,7 mg	USO CUTÁNEO	SOLUCIÓN CUTÁNEA	2	D08AC52 - Clorhexidina, combinaciones con	VESISMIN S.L.U.	2022-11-21	1	2023-02-24	Autorizado	2022-11-22	0	0	0	0
607611	88467	QUIROCROM 20 MG/ML + 0,70 ML/ML SOLUCION CUTANEA	Clorhexidina/Alcohol isopropílico 20 mg/ml + 0,7 ml/ml líquido uso tópico	20 mg/ml + 0,70 mg/ml	Frasco	3750	ml	CLORHEXIDINA DIGLUCONATO 20 mg|ISOPROPIL ALCOHOL 0,7 mg	USO CUTÁNEO	SOLUCIÓN CUTÁNEA	2	D08AC52 - Clorhexidina, combinaciones con	LABORATORIOS SALVAT S.A.	2022-12-28	1	2023-01-31	Autorizado	2022-12-29	0	0	0	0
607612	88469	CRISTALMINA PLUS 20 MG/ML + 0,70 ML/ML SOLUCIÓN PARA PULVERIZACIÓN CUTÁNEA	Clorhexidina/Alcohol isopropílico 20 mg/ml + 0,7 ml/ml líquido uso tópico	20 mg/ml + 0,7 mg/ml	Frasco	3750	ml	CLORHEXIDINA 20 mg|ISOPROPIL ALCOHOL 0,7 mg	USO CUTÁNEO	SOLUCIÓN PARA PULVERIZACIÓN CUTÁNEA	2	D08AC52 - Clorhexidina, combinaciones con	LABORATORIOS SALVAT S.A.	2022-12-30	1	2023-01-31	Autorizado	2022-12-31	0	0	0	0
607613	88469	CRISTALMINA PLUS 20 MG/ML + 0,70 ML/ML SOLUCIÓN PARA PULVERIZACIÓN CUTÁNEA	Clorhexidina/Alcohol isopropílico 20 mg/ml + 0,7 ml/ml líquido uso tópico	20 mg/ml + 0,7 mg/ml	Envase	5000	ml	CLORHEXIDINA 20 mg|ISOPROPIL ALCOHOL 0,7 mg	USO CUTÁNEO	SOLUCIÓN PARA PULVERIZACIÓN CUTÁNEA	2	D08AC52 - Clorhexidina, combinaciones con	LABORATORIOS SALVAT S.A.	2022-12-30	1	2023-01-31	Autorizado	2022-12-31	0	0	0	0
607827	88295	BACTISEPTIC PHARMA ORANGE 20 MG/ML + 0,70 ML/ML SOLUCIÓN CUTÁNEA	Clorhexidina/Alcohol isopropílico 20 mg/ml + 0,7 ml/ml líquido uso tópico	20 mg/ml + 0,7 mg/ml	Frasco	7500	ml	CLORHEXIDINA DIGLUCONATO 20 mg|ISOPROPIL ALCOHOL 0,7 mg	USO CUTÁNEO	SOLUCIÓN CUTÁNEA	2	D08AC52 - Clorhexidina, combinaciones con	VESISMIN S.L.U.	2022-11-21	1	2024-10-09	Autorizado	2022-11-22	0	0	0	0
702314	78759	CHLORAPREP INCOLORO 20 MG/ML + 0,70 ML/ML SOLUCION CUTANEA	Clorhexidina/Alcohol isopropílico 20 mg/ml + 0,7 ml/ml líquido uso tópico envase unidosis	20 mg/ml + 0,7 mg/ml	Aplicador	25	envase uso tópico unidosis	CLORHEXIDINA DIGLUCONATO 20 mg|ISOPROPIL ALCOHOL 0,7 ml	USO CUTÁNEO	SOLUCIÓN CUTÁNEA	2	D08AC52 - Clorhexidina, combinaciones con	BECTON DICKINSON FRANCE	2014-05-21	1	2016-04-22	Autorizado	2014-05-21	0	0	0	0
702318	78759	CHLORAPREP INCOLORO 20 MG/ML + 0,70 ML/ML SOLUCION CUTANEA	Clorhexidina/Alcohol isopropílico 20 mg/ml + 0,7 ml/ml líquido uso tópico envase unidosis	20 mg/ml + 0,7 mg/ml	Aplicador	20	envase uso tópico unidosis	CLORHEXIDINA DIGLUCONATO 20 mg|ISOPROPIL ALCOHOL 0,7 mg	USO CUTÁNEO	SOLUCIÓN CUTÁNEA	2	D08AC52 - Clorhexidina, combinaciones con	BECTON DICKINSON FRANCE	2014-05-21	1	2016-04-22	Autorizado	2014-05-21	0	0	0	0
702320	78759	CHLORAPREP INCOLORO 20 MG/ML + 0,70 ML/ML SOLUCION CUTANEA	Clorhexidina/Alcohol isopropílico 20 mg/ml + 0,7 ml/ml líquido uso tópico envase unidosis	20 mg/ml + 0,7 ml/ml	Aplicador	10,5	ml	CLORHEXIDINA DIGLUCONATO 20 mg|ISOPROPIL ALCOHOL 0,70 ml	USO CUTÁNEO	SOLUCIÓN CUTÁNEA	2	D08AC52 - Clorhexidina, combinaciones con	BECTON DICKINSON FRANCE	2014-05-21	1	2018-10-31	Autorizado	2014-05-21	0	0	0	0
702326	78760	CHLORAPREP ANARANJADO 20MG/ML + 0,70 ML/ML SOLUCION CUTANEA	Clorhexidina/Alcohol isopropílico 20 mg/ml + 0,7 ml/ml líquido uso tópico envase unidosis	20 mg/ml + 0,7 ml/ml	Aplicador	25	envase uso tópico unidosis	CLORHEXIDINA DIGLUCONATO 20 mg|ISOPROPIL ALCOHOL 0,7 ml	USO CUTÁNEO	SOLUCIÓN CUTÁNEA	2	D08AC52 - Clorhexidina, combinaciones con	BECTON DICKINSON FRANCE	2014-05-21	1	2016-04-22	Autorizado	2014-05-21	0	0	0	0
702328	78760	CHLORAPREP ANARANJADO 20MG/ML + 0,70 ML/ML SOLUCION CUTANEA	Clorhexidina/Alcohol isopropílico 20 mg/ml + 0,7 ml/ml líquido uso tópico envase unidosis	20 mg/ml + 0,7 ml/ml	Aplicador	25	envase uso tópico unidosis	CLORHEXIDINA DIGLUCONATO 20 mg|ISOPROPIL ALCOHOL 0,7 ml	USO CUTÁNEO	SOLUCIÓN CUTÁNEA	2	D08AC52 - Clorhexidina, combinaciones con	BECTON DICKINSON FRANCE	2014-05-21	1	2016-04-22	Autorizado	2014-05-21	0	0	0	0
702330	78760	CHLORAPREP ANARANJADO 20MG/ML + 0,70 ML/ML SOLUCION CUTANEA	Clorhexidina/Alcohol isopropílico 20 mg/ml + 0,7 ml/ml líquido uso tópico envase unidosis	20 mg/ml + 0,7 mg/ml	Aplicador	25	envase uso tópico unidosis	CLORHEXIDINA DIGLUCONATO 20 mg|ISOPROPIL ALCOHOL 0,7 ml	USO CUTÁNEO	SOLUCIÓN CUTÁNEA	2	D08AC52 - Clorhexidina, combinaciones con	BECTON DICKINSON FRANCE	2014-05-21	1	2016-04-22	Autorizado	2014-05-21	0	0	0	0
