cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	atc	laboratorio_titular	sw_base_a_plantas	biosimilar	radiofarmaco
651002	01185051	ARANESP 60 microgramos SOLUCION INYECTABLE EN PLUMA PRECARGADA	Darbepoetina alfa 60 microgramos inyectable 0,3 ml pluma precargada	60 microgramos	Pluma precargada	1	pluma precargada	DARBEPOETINA ALFA 200 microgramos	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN PLUMA PRECARGADA	B03XA02 - Darbepoetina alfa	AMGEN EUROPE B.V.	0	0	0
651003	01185052	ARANESP 80 microgramos SOLUCION INYECTABLE EN PLUMA PRECARGADA	Darbepoetina alfa 80 microgramos inyectable 0,4 ml pluma precargada	80 microgramos	Pluma precargada	1	pluma precargada	DARBEPOETINA ALFA 200 microgramos	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN PLUMA PRECARGADA	B03XA02 - Darbepoetina alfa	AMGEN EUROPE B.V.	0	0	0
651004	01185053	ARANESP 100 microgramos SOLUCION INYECTABLE EN PLUMA PRECARGADA	Darbepoetina alfa 100 microgramos inyectable 0,5 ml pluma precargada	100 microgramos	Pluma precargada	1	pluma precargada	DARBEPOETINA ALFA 200 microgramos	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN PLUMA PRECARGADA	B03XA02 - Darbepoetina alfa	AMGEN EUROPE B.V.	0	0	0
651005	01185054	ARANESP 150 microgramos SOLUCION INYECTABLE EN PLUMA PRECARGADA	Darbepoetina alfa 150 microgramos inyectable 0,3 ml pluma precargada	150 microgramos	Pluma precargada	1	pluma precargada	DARBEPOETINA ALFA 500 microgramos	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN PLUMA PRECARGADA	B03XA02 - Darbepoetina alfa	AMGEN EUROPE B.V.	0	0	0
651006	01185055	ARANESP 300 microgramos SOLUCION INYECTABLE EN PLUMA PRECARGADA	Darbepoetina alfa 300 microgramos inyectable 0,6 ml pluma precargada	300 microgramos	Pluma precargada	1	pluma precargada	DARBEPOETINA ALFA 500 microgramos	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN PLUMA PRECARGADA	B03XA02 - Darbepoetina alfa	AMGEN EUROPE B.V.	0	0	0
651007	01185056	ARANESP 500 microgramos SOLUCION INYECTABLE EN PLUMA PRECARGADA	Darbepoetina alfa 500 microgramos inyectable 1 ml pluma precargada	500 microgramos	Pluma precargada	1	pluma precargada	DARBEPOETINA ALFA 500 microgramos	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN PLUMA PRECARGADA	B03XA02 - Darbepoetina alfa	AMGEN EUROPE B.V.	0	0	0
651009	01185049	ARANESP 40 microgramos SOLUCION INYECTABLE EN PLUMA PRECARGADA	Darbepoetina alfa 40 microgramos inyectable 0,4 ml pluma precargada	40 microgramos	Pluma precargada	1	pluma precargada	DARBEPOETINA ALFA 100 microgramos	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN PLUMA PRECARGADA	B03XA02 - Darbepoetina alfa	AMGEN EUROPE B.V.	0	0	0
651010	01185047	ARANESP 20 microgramos SOLUCION INYECTABLE EN PLUMA PRECARGADA	Darbepoetina alfa 20 microgramos inyectable 0,5 ml pluma precargada	20 microgramos	Pluma precargada	1	pluma precargada	DARBEPOETINA ALFA 40 microgramos	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN PLUMA PRECARGADA	B03XA02 - Darbepoetina alfa	AMGEN EUROPE B.V.	0	0	0
663006	01185081	ARANESP 30 microgramos SOLUCION INYECTABLE EN JERINGA PRECARGADA	Darbepoetina alfa 30 microgramos inyectable 0,3 ml jeringa precargada	30 microgramos	Jeringa precargada	4	jeringa precargada	DARBEPOETINA ALFA 100 microgramos	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN JERINGA PRECARGADA	B03XA02 - Darbepoetina alfa	AMGEN EUROPE B.V.	0	0	0
663007	01185083	ARANESP 40 microgramos SOLUCION INYECTABLE EN JERINGA PRECARGADA	Darbepoetina alfa 40 microgramos inyectable 0,4 ml jeringa precargada	40 microgramos	Jeringa precargada	4	jeringa precargada	DARBEPOETINA ALFA 100 microgramos	VÍA INTRAVENOSA|VÍA SUBCUTÁNEA	SOLUCIÓN INYECTABLE EN JERINGA PRECARGADA	B03XA02 - Darbepoetina alfa	AMGEN EUROPE B.V.	0	0	0
