cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
605398	73850	DEFLAZACORT NORMON 30 mg COMPRIMIDOS EFG	Deflazacort 30 mg comprimido	30 mg	Blister	500	comprimido	DEFLAZACORT 30 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	LABORATORIOS NORMON S.A.	2011-04-12	1	2011-11-04	Autorizado	2011-04-12	1	0	0	0
639666	57817	DEZACOR 6 mg COMPRIMIDOS	Deflazacort 6 mg comprimido	6 mg	Blister	500	comprimido	DEFLAZACORT 6 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	FAES FARMA S.A.	1990-03-01	0	2024-07-11	Autorizado	1990-03-01	1	0	0	0
639674	57816	DEZACOR 30 mg COMPRIMIDOS	Deflazacort 30 mg comprimido	30 mg	Blister	500	comprimido	DEFLAZACORT 30 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	FAES FARMA S.A.	1990-03-01	0	2024-07-11	Autorizado	1990-03-01	1	0	0	0
640235	58654	ZAMENE 6 mg COMPRIMIDOS	Deflazacort 6 mg comprimido	6 mg	Blister	500	comprimido	DEFLAZACORT 6 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	LABORATORIOS MENARINI S.A.	1990-07-01	1	2011-10-13	Autorizado	1990-07-01	1	0	0	0
640243	58655	ZAMENE 30 mg COMPRIMIDOS	Deflazacort 30 mg comprimido	30 mg	Blister	500	comprimido	DEFLAZACORT 30 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	LABORATORIOS MENARINI S.A.	1990-07-01	1	2011-10-13	Autorizado	1990-07-01	1	0	0	0
651965	66989	DEFLAZACORT STADA 6 mg COMPRIMIDOS EFG	Deflazacort 6 mg comprimido	6 mg	Blister	20	comprimido	DEFLAZACORT 6 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	LABORATORIO STADA S.L.	2005-08-04	0	2025-03-07	Anulado	2025-03-07	1	0	0	0
651966	66990	DEFLAZACORT STADA 30 mg COMPRIMIDOS EFG	Deflazacort 30 mg comprimido	30 mg	Blister	10	comprimido	DEFLAZACORT 30 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	LABORATORIO STADA S.L.	2005-08-04	0	2025-03-07	Anulado	2025-03-07	1	0	0	0
653235	64812	DEFLAZACORT ALTER 30 mg COMPRIMIDOS EFG	Deflazacort 30 mg comprimido	30 mg	Blister	10	comprimido	DEFLAZACORT 30 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	LABORATORIOS ALTER S.A.	2002-06-03	1	2011-11-11	Autorizado	2002-06-03	1	0	0	0
653236	64813	DEFLAZACORT ALTER 6 mg COMPRIMIDOS EFG	Deflazacort 6 mg comprimido	6 mg	Blister	20	comprimido	DEFLAZACORT 6 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	LABORATORIOS ALTER S.A.	2002-06-03	1	2011-11-11	Autorizado	2002-06-03	1	0	0	0
660596	69632	DEFAL 6 MG COMPRIMIDOS EFG	Deflazacort 6 mg comprimido	6 mg	Blister	20	comprimido	DEFLAZACORT 6 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	FAES FARMA S.A.	2008-02-22	1	2012-01-02	Autorizado	2008-02-22	1	0	0	0
660598	69633	DEFAL 30 MG COMPRIMIDOS EFG	Deflazacort 30 mg comprimido	30 mg	Blister	10	comprimido	DEFLAZACORT 30 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	FAES FARMA S.A.	2008-02-22	1	2012-01-02	Autorizado	2008-02-22	1	0	0	0
664131	66993	DEFLAZACORT KERN PHARMA 30 mg COMPRIMIDOS EFG	Deflazacort 30 mg comprimido	30 mg	Blister	10	comprimido	DEFLAZACORT 30 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	KERN PHARMA S.L.	2005-09-05	0	2023-04-25	Suspenso	2025-03-05	1	0	0	0
664132	66992	DEFLAZACORT KERN PHARMA 6 mg COMPRIMIDOS EFG	Deflazacort 6 mg comprimido	6 mg	Blister	20	comprimido	DEFLAZACORT 6 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	KERN PHARMA S.L.	2005-09-05	0	2024-05-15	Autorizado	2005-09-05	1	0	0	0
664793	71890	DEFLAZACORT SUN 30 mg COMPRIMIDOS EFG	Deflazacort 30 mg comprimido	30 mg	Blister	10	comprimido	DEFLAZACORT 30 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.	2010-02-16	0	2024-09-02	Anulado	2024-09-02	1	0	0	0
665360	72321	DEFLAZACORT TARBIS 30 MG COMPRIMIDOS EFG	Deflazacort 30 mg comprimido	30 mg	Blister	10	comprimido	DEFLAZACORT 30 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	TARBIS FARMA S.L.	2010-05-26	1	2014-11-12	Autorizado	2010-05-26	1	0	0	0
679488	73849	DEFLAZACORT NORMON 6 mg COMPRIMIDOS EFG	Deflazacort 6 mg comprimido	6 mg	Blister	20	comprimido	DEFLAZACORT 6 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	LABORATORIOS NORMON S.A.	2011-04-12	1	2011-11-04	Autorizado	2011-04-12	1	0	0	0
679489	73850	DEFLAZACORT NORMON 30 mg COMPRIMIDOS EFG	Deflazacort 30 mg comprimido	30 mg	Blister	10	comprimido	DEFLAZACORT 30 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	LABORATORIOS NORMON S.A.	2011-04-12	1	2011-11-04	Autorizado	2011-04-12	1	0	0	0
679561	73872	DEFLAZACORT CINFA 6 mg COMPRIMIDOS EFG	Deflazacort 6 mg comprimido	6 mg	Blister	20	comprimido	DEFLAZACORT 6 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	LABORATORIOS CINFA S.A.	2011-04-13	1	2011-10-25	Autorizado	2011-04-13	1	0	0	0
679562	73873	DEFLAZACORT CINFA 30 mg COMPRIMIDOS EFG	Deflazacort 30 mg comprimido	30 mg	Blister	10	comprimido	DEFLAZACORT 30 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	LABORATORIOS CINFA S.A.	2011-04-13	1	2011-10-25	Autorizado	2011-04-13	1	0	0	0
679575	73882	DEFLAZACORT PENSA 30 MG COMPRIMIDOS EFG	Deflazacort 30 mg comprimido	30 mg	Blister	10	comprimido	DEFLAZACORT 30 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	TOWA PHARMACEUTICAL S.A.	2011-04-13	0	2023-05-24	Autorizado	2011-04-13	1	0	0	0
679576	73883	DEFLAZACORT PENSA 6 MG COMPRIMIDOS EFG	Deflazacort 6 mg comprimido	6 mg	Blister	20	comprimido	DEFLAZACORT 6 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	TOWA PHARMACEUTICAL S.A.	2011-04-13	0	2011-10-25	Suspenso	2025-03-03	1	0	0	0
679969	61050	ZAMENE 22,75 mg/ml  GOTAS ORALES EN SUSPENSION	Deflazacort 22,75 mg/ml solución/suspensión gotas orales	22,75 mg/ml	Frasco	13	ml	DEFLAZACORT 22,75 mg	VÍA ORAL	GOTAS ORALES EN SUSPENSIÓN	1	H02AB13 - Deflazacort	LABORATORIOS MENARINI S.A.	1996-11-01	1	2011-10-13	Autorizado	1996-11-01	1	0	0	0
679977	61049	DEZACOR 22,75 mg/ml GOTAS ORALES EN SUSPENSION	Deflazacort 22,75 mg/ml solución/suspensión gotas orales	22,75 mg/ml	Frasco	13	ml	DEFLAZACORT 22,75 mg	VÍA ORAL	GOTAS ORALES EN SUSPENSIÓN	1	H02AB13 - Deflazacort	FAES FARMA S.A.	1996-11-01	1	2011-10-26	Autorizado	1996-11-01	1	0	0	0
714901	81739	DEFLAZACORT EFARMES 30 MG COMPRIMIDOS EFG	Deflazacort 30 mg comprimido	30 mg	Blister	10	comprimido	DEFLAZACORT 30 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	LACER S.A.	2017-02-14	0	2023-10-23	Autorizado	2017-02-15	1	0	0	0
714902	81740	DEFLAZACORT SUN 6 MG COMPRIMIDOS EFG	Deflazacort 6 mg comprimido	6 mg	Blister	20	comprimido	DEFLAZACORT 6 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.	2017-02-14	0	2024-09-02	Anulado	2024-09-02	1	0	0	0
719559	64708	DEFLAZACORT VIR 30 mg COMPRIMIDOS EFG	Deflazacort 30 mg comprimido	30 mg	Blister	10	comprimido	DEFLAZACORT 30 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	INDUSTRIA QUIMICA Y FARMACEUTICA VIR S.A.	2002-04-23	1	2015-09-15	Autorizado	2002-04-23	1	0	0	0
719682	64709	DEFLAZACORT VIR  6 mg COMPRIMIDOS EFG	Deflazacort 6 mg comprimido	6 mg	Blister	20	comprimido	DEFLAZACORT 6 mg	VÍA ORAL	COMPRIMIDO	1	H02AB13 - Deflazacort	INDUSTRIA QUIMICA Y FARMACEUTICA VIR S.A.	2002-04-23	1	2015-07-07	Autorizado	2002-04-23	1	0	0	0
