cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
602958	66819	43030773	Dexketoprofen 25 MG Granules for Oral Solution	OMOP4845842				
606135	77504	41054885	Dexketoprofen 25 MG/ML Injectable Solution	OMOP2252847				
606170	77594	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
606171	77594	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
606182	77629	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
606183	77629	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
606218	77751	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
606266	77970	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
619239	64887	41054885	Dexketoprofen 25 MG/ML Injectable Solution	OMOP2252847				
647768	60928	19101779	dexketoprofen 25 MG Oral Tablet	389243				
651368	66819	43030773	Dexketoprofen 25 MG Granules for Oral Solution	OMOP4845842				
651369	66820	43030773	Dexketoprofen 25 MG Granules for Oral Solution	OMOP4845842				
651370	66821	43030773	Dexketoprofen 25 MG Granules for Oral Solution	OMOP4845842				
662877	70883	43030773	Dexketoprofen 25 MG Granules for Oral Solution	OMOP4845842				
662878	70882	43030773	Dexketoprofen 25 MG Granules for Oral Solution	OMOP4845842				
662879	70879	43030773	Dexketoprofen 25 MG Granules for Oral Solution	OMOP4845842				
681890	60932	19101779	dexketoprofen 25 MG Oral Tablet	389243				
681924	60930	19101779	dexketoprofen 25 MG Oral Tablet	389243				
681957	60928	19101779	dexketoprofen 25 MG Oral Tablet	389243				
697578	77394	43030773	Dexketoprofen 25 MG Granules for Oral Solution	OMOP4845842				
697579	77395	19101779	dexketoprofen 25 MG Oral Tablet	389243				
698030	77504	41054885	Dexketoprofen 25 MG/ML Injectable Solution	OMOP2252847				
698216	77593	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
698220	77594	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
698221	77594	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
698222	77594	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
698223	77594	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
698224	77595	19101779	dexketoprofen 25 MG Oral Tablet	389243				
698337	77629	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
698339	77629	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
698669	77751	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
698715	77772	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
699031	77825	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
699061	77834	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
699065	77836	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
699070	77838	19101779	dexketoprofen 25 MG Oral Tablet	389243				
699073	77839	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
699146	77866	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
699154	77871	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
699457	77933	19101779	dexketoprofen 25 MG Oral Tablet	389243				
699626	77970	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
699628	77971	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
699643	77976	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
699649	77979	19101779	dexketoprofen 25 MG Oral Tablet	389243				
699651	77980	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
713945	81517	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
729361	85457	19101779	dexketoprofen 25 MG Oral Tablet	389243				
730940	60932	19101779	dexketoprofen 25 MG Oral Tablet	389243				
730941	70883	43030773	Dexketoprofen 25 MG Granules for Oral Solution	OMOP4845842				
731116	66821	43030773	Dexketoprofen 25 MG Granules for Oral Solution	OMOP4845842				
757998	77979	19101779	dexketoprofen 25 MG Oral Tablet	389243				
761826	77593	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
762292	85479	19101779	dexketoprofen 25 MG Oral Tablet	389243				
762541	88796	19101779	dexketoprofen 25 MG Oral Tablet	389243				
762823	88870	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
763288	77866	19101779	dexketoprofen 25 MG Oral Tablet	389243	EXACT			
764095	77595	19101779	dexketoprofen 25 MG Oral Tablet	389243				
764096	77595	19101779	dexketoprofen 25 MG Oral Tablet	389243				
764128	89270	19101779	dexketoprofen 25 MG Oral Tablet	389243				
764494	89424	19101779	dexketoprofen 25 MG Oral Tablet	389243				
764882	89549	43030773	Dexketoprofen 25 MG Granules for Oral Solution	OMOP4845842				
764884	89550	43030773	Dexketoprofen 25 MG Granules for Oral Solution	OMOP4845842				
765385	89710	19101779	dexketoprofen 25 MG Oral Tablet	389243				
765386	89711	19101779	dexketoprofen 25 MG Oral Tablet	389243				
766374	60932	19101779	dexketoprofen 25 MG Oral Tablet	389243				
768955	70883	43030773	Dexketoprofen 25 MG Granules for Oral Solution	OMOP4845842				
780684	64887	41054885	Dexketoprofen 25 MG/ML Injectable Solution	OMOP2252847				
