cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
664596	71833	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
664597	71833	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
689656	75859	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
689657	75859	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
692380	76266	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
692381	76266	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
695773	76948	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
695774	76948	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
696958	77181	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
697462	77181	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
697514	77377	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
697515	77377	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
701767	78551	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
701768	78551	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
701770	78552	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
701773	78552	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
701808	78572	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
702344	78572	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
710909	80875	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
710910	80875	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
717000	82288	40181781	dienogest / estradiol Oral Tablet	978943	BROAD	No exact strength-specific dienogest 2 MG / estradiol valerate 1 MG oral-tablet concept found in local RxNorm.	dienogest 2 MG / estradiol valerate 1 MG Oral Tablet	2026-03-15
717001	82288	40181781	dienogest / estradiol Oral Tablet	978943	BROAD	No exact strength-specific dienogest 2 MG / estradiol valerate 1 MG oral-tablet concept found in local RxNorm.	dienogest 2 MG / estradiol valerate 1 MG Oral Tablet	2026-03-15
701006	78334	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
701007	78334	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
702249	5279161	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
702250	5279161	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
711690	5279179IP	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
712501	5271179	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
712502	5271179	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
714419	81666	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
714420	81666	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
726189	84284	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
726191	84284	19106315	dienogest 2 MG / ethinyl estradiol 0.03 MG Oral Tablet	428023	EXACT			2026-03-15
