cod_nacion	nro_definitivo	des_nomco	des_dcp	des_dosific	envase	contenido	unidad_contenido	principios_activos	vias_administracion	forma_farmaceutica	nro_pactiv	atc	laboratorio_titular	fecha_autorizacion	sw_comercializado	fec_comer	situacion_registro	fecha_situacion_registro	sw_receta	sw_base_a_plantas	biosimilar	radiofarmaco
701633	113837001	TECFIDERA 120 MG CAPSULAS DURAS GASTRORRESISTENTES	Dimetilfumarato 120 mg cápsula	120 mg	Blister	14	cápsula	FUMARATO DE DIMETILO 120 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	L04AX07 - Dimetil fumarato	BIOGEN NETHERLANDS B.V.	2014-02-28	1	2015-01-08	Autorizado	2014-02-28	1	0	0	0
701634	113837002	TECFIDERA 240 MG CAPSULAS DURAS GASTRORRESISTENTES	Dimetilfumarato 240 mg cápsula	240 mg	Blister	56	cápsula	FUMARATO DE DIMETILO 240 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	L04AX07 - Dimetil fumarato	BIOGEN NETHERLANDS B.V.	2014-02-28	1	2015-01-08	Autorizado	2014-02-28	1	0	0	0
718534	1171201001	SKILARENCE 30 MG COMPRIMIDOS GASTRORRESISTENTES	Dimetilfumarato 30 mg comprimido	30 mg	Blister	42	comprimido	FUMARATO DE DIMETILO 30 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	L04AX07 - Dimetil fumarato	ALMIRALL S.A.	2017-10-02	1	2018-07-27	Autorizado	2017-10-03	1	0	0	0
718535	1171201004	SKILARENCE 120 MG COMPRIMIDOS GASTRORRESISTENTES	Dimetilfumarato 120 mg comprimido	120 mg	Blister	90	comprimido	FUMARATO DE DIMETILO 120 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	L04AX07 - Dimetil fumarato	ALMIRALL S.A.	2017-10-02	1	2018-07-27	Autorizado	2017-10-03	1	0	0	0
718536	1171201004	SKILARENCE 120 MG COMPRIMIDOS GASTRORRESISTENTES	Dimetilfumarato 120 mg comprimido	120 mg	Blister	180	comprimido	FUMARATO DE DIMETILO 120 mg	VÍA ORAL	COMPRIMIDO GASTRORRESISTENTE	1	L04AX07 - Dimetil fumarato	ALMIRALL S.A.	2017-10-02	1	2018-07-27	Autorizado	2017-10-03	1	0	0	0
745789	1221634002	FUMARATO DE DIMETILO MYLAN 120 MG CAPSULAS DURAS GASTRORRESISTENTES EFG	Dimetilfumarato 120 mg cápsula	120 mg	Blister	14	cápsula	FUMARATO DE DIMETILO 120 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	L04AX07 - Dimetil fumarato	MYLAN IRELAND LIMITED	2022-06-06	0	2023-12-19	Anulado	2023-12-19	1	0	0	0
745790	1221634006	FUMARATO DE DIMETILO MYLAN 240 MG CAPSULAS DURAS GASTRORRESISTENTES EFG	Dimetilfumarato 240 mg cápsula	240 mg	Blister	56	cápsula	FUMARATO DE DIMETILO 240 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	L04AX07 - Dimetil fumarato	MYLAN IRELAND LIMITED	2022-06-06	0	2023-12-19	Anulado	2023-12-19	1	0	0	0
755304	1221637001	FUMARATO DE DIMETILO NEURAXPHARM 120 MG CAPSULAS DURAS GASTRORRESISTENTES EFG	Dimetilfumarato 120 mg cápsula	120 mg	Blister	14	cápsula	FUMARATO DE DIMETILO 120 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	L04AX07 - Dimetil fumarato	LABORATORIOS LESVI SL	2022-05-26	0	2023-12-20	Anulado	2023-12-20	1	0	0	0
755305	1221637004	FUMARATO DE DIMETILO NEURAXPHARM 240 MG CAPSULAS DURAS GASTRORRESISTENTES EFG	Dimetilfumarato 240 mg cápsula	240 mg	Blister	56	cápsula	FUMARATO DE DIMETILO 240 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	L04AX07 - Dimetil fumarato	LABORATORIOS LESVI SL	2022-05-26	0	2023-12-20	Anulado	2023-12-20	1	0	0	0
758186	88052	FUMARATO DE DIMETILO KERN PHARMA 120 MG CAPSULAS DURAS GASTRORRESISTENTES EFG	Dimetilfumarato 120 mg cápsula	120 mg	Blister	14	cápsula	FUMARATO DE DIMETILO 120 mg	VÍA ORAL	CÁPSULA DURA GASTRORRESISTENTE	1	L04AX07 - Dimetil fumarato	KERN PHARMA S.L.	2022-08-30	1	2025-01-14	Autorizado	2022-08-31	1	0	0	0
