cod_nacion	nro_definitivo	concept_id	concept_name	concept_code	mapping_type	comment	suggestion	last_updated_date
605966	76593	40223778	donepezil hydrochloride 5 MG Oral Tablet	997229	EXACT	generic product; corrected from Aricept-branded concept		2026-03-15
605967	76594	40223768	donepezil hydrochloride 10 MG Oral Tablet	997223	EXACT	generic product; corrected from Aricept-branded concept		2026-03-15
656444	68213	40223777	donepezil hydrochloride 5 MG Disintegrating Oral Tablet [Aricept]	997228	EXACT			2026-03-12
656446	68214	40223767	donepezil hydrochloride 10 MG Disintegrating Oral Tablet [Aricept]	997222	EXACT			2026-03-12
662295	70586	40223778	donepezil hydrochloride 5 MG Oral Tablet	997229	EXACT	generic product; corrected from Aricept-branded concept		2026-03-15
662297	70587	40223768	donepezil hydrochloride 10 MG Oral Tablet	997223	EXACT	generic product; corrected from Aricept-branded concept		2026-03-15
664060	61870	40223769	donepezil hydrochloride 10 MG Oral Tablet [Aricept]	997224	EXACT			2026-03-12
664078	61869	40223779	donepezil hydrochloride 5 MG Oral Tablet [Aricept]	997230	EXACT			2026-03-12
664105	71572	40223768	donepezil hydrochloride 10 MG Oral Tablet	997223	EXACT	generic product; corrected from Aricept-branded concept		2026-03-15
664106	71570	40223778	donepezil hydrochloride 5 MG Oral Tablet	997229	EXACT	generic product; corrected from Aricept-branded concept		2026-03-15
665432	70482	40223768	donepezil hydrochloride 10 MG Oral Tablet	997223	EXACT	generic product; corrected from Aricept-branded concept		2026-03-15
665433	70479	40223778	donepezil hydrochloride 5 MG Oral Tablet	997229	EXACT	generic product; corrected from Aricept-branded concept		2026-03-15
678415	73333	40223776	donepezil hydrochloride 5 MG Disintegrating Oral Tablet	997226	EXACT	generic product; corrected from Aricept-branded concept		2026-03-15
678427	73334	40223766	donepezil hydrochloride 10 MG Disintegrating Oral Tablet	997220	EXACT	generic product; corrected from Aricept-branded concept		2026-03-15
678999	73393	40223776	donepezil hydrochloride 5 MG Disintegrating Oral Tablet	997226	EXACT	generic product; corrected from Aricept-branded concept		2026-03-15
679010	73394	40223766	donepezil hydrochloride 10 MG Disintegrating Oral Tablet	997220	EXACT	generic product; corrected from Aricept-branded concept		2026-03-15
679984	73987	40223778	donepezil hydrochloride 5 MG Oral Tablet	997229	EXACT	generic EFG; corrected from BROAD to non-branded concept		2026-03-12
680004	73988	40223768	donepezil hydrochloride 10 MG Oral Tablet	997223	EXACT	generic EFG; corrected from BROAD to non-branded concept		2026-03-12
